"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"BIEN"	"SEMILLA"	"MLP"	"PODEMOS"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17826"	"4"	"17"	"7"	"2"	"380"	"148"	"140"	"1"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"2"	"6"	"0"	"307"	"307"	"1"	"0"
"17827"	"4"	"17"	"7"	"2"	"308"	"98"	"108"	"3"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"1"	"1"	"0"	"222"	"222"	"1"	"0"
"17828"	"4"	"17"	"7"	"2"	"307"	"88"	"92"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"11"	"3"	"0"	"204"	"204"	"1"	"0"
"17829"	"4"	"17"	"7"	"2"	"380"	"103"	"103"	"6"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"9"	"0"	"247"	"247"	"1"	"0"
"17830"	"4"	"17"	"7"	"2"	"380"	"102"	"115"	"5"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"19"	"6"	"0"	"264"	"264"	"1"	"0"
"17831"	"4"	"17"	"7"	"2"	"380"	"97"	"121"	"7"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"7"	"0"	"267"	"267"	"1"	"0"
"17832"	"4"	"17"	"7"	"2"	"380"	"90"	"110"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"7"	"4"	"0"	"224"	"224"	"1"	"0"
"17833"	"4"	"17"	"7"	"2"	"380"	"99"	"113"	"3"	"21"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"7"	"1"	"0"	"250"	"250"	"1"	"0"
"17834"	"4"	"17"	"7"	"2"	"378"	"85"	"99"	"4"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"15"	"5"	"0"	"230"	"230"	"1"	"0"
"17835"	"4"	"17"	"7"	"2"	"380"	"73"	"111"	"3"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"13"	"12"	"0"	"228"	"228"	"1"	"0"
