"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"UNIDOS"	"EG"	"PPT"	"SEMILLA"	"LIBRE"	"URNG_MAIZ"	"UNIONISTA"	"VICTORIA"	"PHG"	"PC"	"FCN_NACION"	"AVANZA"	"PAN"	"VALOR"	"BIEN"	"CREO"	"UNE"	"MLP"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3344"	"4"	"1"	"10"	"1"	"400"	"120"	"4"	"30"	"0"	"0"	"0"	"0"	"0"	"4"	"19"	"0"	"4"	"1"	"6"	"3"	"3"	"1"	"2"	"0"	"18"	"0"	"4"	"1"	"6"	"3"	"3"	"1"	"2"	"0"	"18"	"218"	"218"	"12"	"5"	"0"	"235"	"235"	"1"	"0"
"3345"	"4"	"1"	"10"	"1"	"395"	"124"	"2"	"13"	"2"	"3"	"0"	"2"	"0"	"10"	"14"	"5"	"5"	"1"	"5"	"2"	"1"	"1"	"1"	"2"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"5"	"1"	"6"	"212"	"212"	"1"	"0"
"3346"	"4"	"1"	"10"	"1"	"401"	"148"	"2"	"16"	"3"	"1"	"0"	"0"	"0"	"4"	"12"	"5"	"2"	"1"	"1"	"2"	"2"	"1"	"4"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"4"	"1"	"0"	"217"	"217"	"1"	"0"
"3347"	"4"	"1"	"10"	"1"	"403"	"105"	"5"	"12"	"3"	"0"	"3"	"0"	"0"	"4"	"13"	"3"	"8"	"0"	"4"	"2"	"3"	"1"	"4"	"0"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"6"	"4"	"0"	"194"	"194"	"1"	"0"
"3348"	"4"	"1"	"10"	"1"	"400"	"125"	"3"	"19"	"3"	"1"	"0"	"2"	"1"	"5"	"18"	"6"	"7"	"0"	"6"	"2"	"1"	"0"	"4"	"3"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"11"	"3"	"0"	"238"	"238"	"1"	"0"
"3349"	"4"	"1"	"10"	"1"	"399"	"124"	"7"	"16"	"0"	"2"	"2"	"1"	"0"	"4"	"18"	"5"	"7"	"1"	"15"	"3"	"6"	"1"	"5"	"2"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"4"	"1"	"0"	"245"	"245"	"1"	"0"
"3350"	"4"	"1"	"10"	"1"	"400"	"130"	"2"	"22"	"2"	"4"	"2"	"1"	"0"	"4"	"18"	"4"	"6"	"0"	"6"	"4"	"3"	"5"	"3"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"224"	"13"	"3"	"0"	"250"	"240"	"0"	"0"
"3351"	"4"	"1"	"10"	"1"	"400"	"128"	"4"	"14"	"2"	"2"	"1"	"0"	"6"	"20"	"6"	"3"	"1"	"5"	"1"	"4"	"0"	"5"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"223"	"18"	"3"	"0"	"246"	"244"	"0"	"0"
"3352"	"4"	"1"	"10"	"1"	"400"	"127"	"10"	"17"	"0"	"2"	"2"	"4"	"1"	"8"	"10"	"1"	"4"	"2"	"4"	"3"	"5"	"3"	"3"	"3"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"11"	"3"	"0"	"240"	"240"	"1"	"0"
"3353"	"4"	"1"	"10"	"1"	"403"	"130"	"6"	"18"	"1"	"1"	"1"	"3"	"0"	"11"	"19"	"1"	"11"	"0"	"5"	"1"	"4"	"0"	"4"	"6"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"15"	"8"	"0"	"267"	"267"	"1"	"0"
