"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VALOR"	"WINAQ"	"UNE"	"FUERZA"	"MLP"	"PODEMOS"	"CREO"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9407"	"4"	"9"	"4"	"2"	"220"	"19"	"5"	"48"	"1"	"6"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"1"	"4"	"0"	"92"	"92"	"1"	"0"
"9408"	"4"	"9"	"4"	"2"	"222"	"23"	"0"	"29"	"0"	"4"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"4"	"2"	"0"	"70"	"70"	"1"	"0"
"9409"	"4"	"9"	"4"	"2"	"380"	"31"	"23"	"26"	"6"	"15"	"41"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"14"	"7"	"0"	"187"	"187"	"1"	"0"
"9410"	"4"	"9"	"4"	"2"	"380"	"39"	"21"	"37"	"8"	"16"	"54"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"8"	"7"	"0"	"207"	"207"	"1"	"0"
"9411"	"4"	"9"	"4"	"2"	"380"	"27"	"23"	"35"	"3"	"12"	"39"	"27"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"13"	"1"	"0"	"188"	"188"	"1"	"0"
"9412"	"4"	"9"	"4"	"2"	"380"	"32"	"22"	"41"	"2"	"18"	"33"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"8"	"5"	"0"	"177"	"177"	"1"	"0"
"9413"	"4"	"9"	"4"	"2"	"353"	"19"	"12"	"32"	"5"	"20"	"35"	"12"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"6"	"3"	"0"	"151"	"151"	"1"	"0"
"9414"	"4"	"9"	"4"	"2"	"352"	"27"	"16"	"29"	"2"	"12"	"40"	"16"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"8"	"1"	"0"	"158"	"158"	"1"	"0"
"9415"	"4"	"9"	"4"	"2"	"381"	"22"	"5"	"127"	"2"	"18"	"8"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"10"	"8"	"0"	"210"	"210"	"1"	"0"
"9416"	"4"	"9"	"4"	"2"	"377"	"30"	"15"	"86"	"5"	"13"	"11"	"13"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"13"	"6"	"0"	"202"	"202"	"1"	"0"
"9417"	"4"	"9"	"4"	"2"	"380"	"26"	"15"	"90"	"4"	"11"	"9"	"11"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"12"	"6"	"0"	"199"	"199"	"1"	"0"
"9418"	"4"	"9"	"4"	"2"	"328"	"20"	"15"	"79"	"2"	"8"	"8"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"4"	"3"	"0"	"157"	"157"	"1"	"0"
"9419"	"4"	"9"	"4"	"2"	"331"	"15"	"7"	"75"	"4"	"12"	"5"	"10"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"5"	"4"	"0"	"157"	"157"	"1"	"0"
"9420"	"4"	"9"	"4"	"2"	"600"	"15"	"10"	"40"	"1"	"6"	"18"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"4"	"5"	"0"	"101"	"101"	"1"	"0"
"9421"	"4"	"9"	"4"	"2"	"599"	"16"	"3"	"39"	"4"	"3"	"13"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"88"	"88"	"9"	"2"	"0"	"99"	"99"	"1"	"0"
"9422"	"4"	"9"	"4"	"2"	"474"	"13"	"8"	"24"	"4"	"2"	"4"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"2"	"3"	"0"	"69"	"69"	"1"	"0"
"9423"	"4"	"9"	"4"	"2"	"474"	"7"	"3"	"12"	"1"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"28"	"28"	"0"	"0"	"0"	"28"	"28"	"1"	"0"
