"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"BIEN"	"VIVA"	"TODOS"	"FCN_NACION"	"SEMILLA"	"VALOR"	"LIBRE"	"PC"	"PODEMOS"	"FUERZA"	"VAMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16543"	"4"	"16"	"5"	"2"	"315"	"1"	"42"	"52"	"0"	"0"	"2"	"93"	"19"	"2"	"50"	"1"	"0"	"2"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"1"	"2"	"0"	"281"	"281"	"1"	"0"
"16544"	"4"	"16"	"5"	"2"	"380"	"3"	"40"	"86"	"1"	"0"	"2"	"98"	"13"	"0"	"71"	"2"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"6"	"5"	"0"	"334"	"334"	"1"	"0"
"16545"	"4"	"16"	"5"	"2"	"380"	"1"	"38"	"98"	"2"	"1"	"5"	"81"	"21"	"1"	"74"	"3"	"1"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"340"	"340"	"4"	"7"	"0"	"351"	"351"	"1"	"0"
"16546"	"4"	"16"	"5"	"2"	"380"	"1"	"33"	"97"	"1"	"1"	"9"	"74"	"34"	"1"	"64"	"1"	"0"	"1"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"10"	"1"	"0"	"340"	"340"	"1"	"0"
"16547"	"4"	"16"	"5"	"2"	"380"	"3"	"38"	"102"	"1"	"2"	"9"	"85"	"15"	"0"	"57"	"1"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"4"	"1"	"0"	"332"	"332"	"1"	"0"
"16548"	"4"	"16"	"5"	"2"	"380"	"1"	"39"	"93"	"1"	"1"	"3"	"94"	"28"	"2"	"64"	"0"	"1"	"0"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"344"	"344"	"4"	"1"	"0"	"349"	"349"	"1"	"0"
"16549"	"4"	"16"	"5"	"2"	"380"	"2"	"41"	"103"	"0"	"1"	"4"	"80"	"19"	"2"	"66"	"1"	"1"	"1"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"336"	"336"	"6"	"0"	"0"	"342"	"342"	"1"	"0"
"16550"	"4"	"16"	"5"	"2"	"376"	"3"	"36"	"84"	"1"	"1"	"4"	"78"	"15"	"2"	"69"	"3"	"0"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"10"	"4"	"0"	"320"	"320"	"1"	"0"
"16551"	"4"	"16"	"5"	"2"	"380"	"1"	"38"	"84"	"0"	"1"	"4"	"88"	"17"	"1"	"60"	"4"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"6"	"0"	"0"	"313"	"313"	"1"	"0"
"16552"	"4"	"16"	"5"	"2"	"214"	"0"	"21"	"48"	"0"	"1"	"3"	"62"	"16"	"1"	"30"	"0"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"2"	"0"	"0"	"193"	"193"	"1"	"0"
"16553"	"4"	"16"	"5"	"2"	"213"	"1"	"17"	"48"	"1"	"0"	"4"	"44"	"11"	"1"	"58"	"0"	"0"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"1"	"3"	"0"	"196"	"196"	"1"	"0"
