"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PAN"	"UCN"	"TODOS"	"FUERZA"	"PC"	"VIVA"	"BIEN"	"SEMILLA"	"VALOR"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6841"	"4"	"5"	"7"	"2"	"395"	"76"	"2"	"14"	"39"	"11"	"0"	"59"	"16"	"19"	"5"	"6"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"18"	"8"	"0"	"311"	"311"	"1"	"0"
"6842"	"4"	"5"	"7"	"2"	"400"	"69"	"5"	"7"	"39"	"17"	"1"	"61"	"15"	"13"	"3"	"4"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"3"	"0"	"284"	"284"	"1"	"0"
"6843"	"4"	"5"	"7"	"2"	"394"	"69"	"5"	"7"	"40"	"12"	"2"	"62"	"15"	"10"	"2"	"3"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"6"	"4"	"0"	"261"	"261"	"1"	"0"
"6844"	"4"	"5"	"7"	"2"	"393"	"68"	"5"	"6"	"27"	"19"	"4"	"44"	"21"	"17"	"6"	"5"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"4"	"0"	"269"	"269"	"1"	"0"
"6845"	"4"	"5"	"7"	"2"	"400"	"67"	"3"	"5"	"22"	"16"	"2"	"53"	"21"	"9"	"4"	"7"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"11"	"2"	"0"	"256"	"256"	"1"	"0"
"6846"	"4"	"5"	"7"	"2"	"399"	"75"	"1"	"8"	"27"	"11"	"1"	"63"	"13"	"12"	"4"	"1"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"16"	"2"	"0"	"264"	"264"	"1"	"0"
"6847"	"4"	"5"	"7"	"2"	"400"	"79"	"1"	"8"	"29"	"16"	"2"	"43"	"16"	"9"	"4"	"11"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"17"	"5"	"0"	"282"	"282"	"1"	"0"
"6848"	"4"	"5"	"7"	"2"	"400"	"64"	"3"	"6"	"20"	"18"	"0"	"59"	"25"	"3"	"8"	"4"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"15"	"2"	"0"	"263"	"263"	"1"	"0"
"6849"	"4"	"5"	"7"	"2"	"394"	"68"	"4"	"4"	"30"	"13"	"1"	"44"	"12"	"5"	"14"	"6"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"18"	"2"	"0"	"250"	"250"	"1"	"0"
"6850"	"4"	"5"	"7"	"2"	"394"	"76"	"6"	"11"	"23"	"11"	"2"	"70"	"16"	"11"	"8"	"10"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"4"	"3"	"0"	"280"	"280"	"1"	"0"
