"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"BIEN"	"FUERZA"	"VALOR"	"CONVERGENCIA"	"FCN_NACION"	"CREO"	"SEMILLA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9453"	"4"	"9"	"6"	"2"	"366"	"37"	"38"	"45"	"5"	"25"	"14"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"10"	"9"	"0"	"195"	"195"	"1"	"0"
"9454"	"4"	"9"	"6"	"2"	"372"	"60"	"111"	"28"	"10"	"10"	"33"	"14"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"9"	"6"	"0"	"284"	"284"	"1"	"0"
"9455"	"4"	"9"	"6"	"2"	"381"	"62"	"104"	"30"	"15"	"12"	"32"	"18"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"15"	"0"	"302"	"302"	"1"	"0"
"9456"	"4"	"9"	"6"	"2"	"380"	"54"	"97"	"32"	"7"	"14"	"27"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"17"	"11"	"0"	"277"	"277"	"1"	"0"
"9457"	"4"	"9"	"6"	"2"	"380"	"65"	"93"	"37"	"5"	"14"	"22"	"24"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"11"	"0"	"289"	"289"	"1"	"0"
"9458"	"4"	"9"	"6"	"2"	"378"	"50"	"102"	"33"	"2"	"13"	"21"	"20"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"9"	"8"	"0"	"262"	"262"	"1"	"0"
"9459"	"4"	"9"	"6"	"2"	"377"	"37"	"93"	"34"	"8"	"15"	"34"	"12"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"1"	"4"	"0"	"243"	"243"	"1"	"0"
"9460"	"4"	"9"	"6"	"2"	"310"	"32"	"77"	"28"	"5"	"12"	"23"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"8"	"7"	"0"	"204"	"204"	"1"	"0"
"9461"	"4"	"9"	"6"	"2"	"308"	"35"	"88"	"33"	"8"	"9"	"23"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"2"	"2"	"0"	"214"	"214"	"1"	"0"
"9462"	"4"	"9"	"6"	"2"	"266"	"32"	"156"	"4"	"3"	"5"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"6"	"2"	"0"	"219"	"219"	"1"	"0"
