"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"EG"	"CREO"	"UNE"	"VALOR"	"UNIONISTA"	"VICTORIA"	"FCN_NACION"	"UCN"	"SEMILLA"	"PPT"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2171"	"4"	"1"	"5"	"2"	"374"	"4"	"29"	"69"	"18"	"2"	"9"	"4"	"8"	"38"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"7"	"6"	"0"	"207"	"207"	"1"	"0"
"2172"	"4"	"1"	"5"	"2"	"235"	"2"	"27"	"34"	"22"	"5"	"8"	"2"	"4"	"13"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"4"	"1"	"0"	"131"	"131"	"1"	"0"
"2173"	"4"	"1"	"5"	"2"	"234"	"7"	"22"	"37"	"18"	"2"	"7"	"3"	"7"	"11"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"4"	"1"	"0"	"133"	"133"	"1"	"0"
"2174"	"4"	"1"	"5"	"2"	"380"	"12"	"31"	"41"	"2"	"0"	"1"	"0"	"12"	"15"	"0"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"9"	"7"	"0"	"174"	"174"	"1"	"0"
"2175"	"4"	"1"	"5"	"2"	"376"	"8"	"36"	"56"	"8"	"2"	"1"	"1"	"10"	"8"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"18"	"8"	"0"	"206"	"206"	"1"	"0"
"2176"	"4"	"1"	"5"	"2"	"376"	"13"	"28"	"66"	"8"	"2"	"1"	"2"	"11"	"12"	"0"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"13"	"5"	"0"	"204"	"204"	"1"	"0"
"2177"	"4"	"1"	"5"	"2"	"376"	"5"	"43"	"68"	"5"	"0"	"1"	"2"	"9"	"6"	"0"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"29"	"9"	"0"	"221"	"221"	"1"	"0"
"2178"	"4"	"1"	"5"	"2"	"376"	"12"	"40"	"65"	"8"	"3"	"1"	"3"	"16"	"7"	"1"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"17"	"8"	"0"	"217"	"217"	"1"	"0"
"2179"	"4"	"1"	"5"	"2"	"376"	"4"	"31"	"51"	"8"	"2"	"1"	"3"	"10"	"6"	"1"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"13"	"9"	"1"	"190"	"190"	"1"	"0"
"2180"	"4"	"1"	"5"	"2"	"373"	"6"	"36"	"50"	"6"	"2"	"1"	"0"	"6"	"2"	"0"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"11"	"11"	"0"	"181"	"181"	"1"	"0"
"2181"	"4"	"1"	"5"	"2"	"302"	"5"	"28"	"43"	"6"	"1"	"0"	"1"	"3"	"4"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"5"	"6"	"0"	"128"	"128"	"1"	"0"
"2182"	"4"	"1"	"5"	"2"	"297"	"7"	"26"	"46"	"6"	"1"	"0"	"3"	"3"	"7"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"8"	"2"	"0"	"144"	"144"	"1"	"0"
"2183"	"4"	"1"	"5"	"2"	"375"	"9"	"43"	"35"	"3"	"1"	"0"	"14"	"20"	"9"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"14"	"5"	"0"	"162"	"162"	"1"	"0"
"2184"	"4"	"1"	"5"	"2"	"376"	"19"	"31"	"35"	"4"	"0"	"1"	"25"	"8"	"10"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"9"	"5"	"0"	"167"	"167"	"1"	"0"
"2185"	"4"	"1"	"5"	"2"	"376"	"17"	"38"	"49"	"2"	"1"	"0"	"23"	"17"	"8"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"178"	"18"	"6"	"0"	"201"	"202"	"0"	"0"
"2186"	"4"	"1"	"5"	"2"	"377"	"30"	"42"	"53"	"3"	"1"	"3"	"19"	"15"	"6"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"13"	"10"	"1"	"212"	"211"	"0"	"0"
"2187"	"4"	"1"	"5"	"2"	"376"	"16"	"44"	"45"	"3"	"1"	"1"	"25"	"16"	"7"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"12"	"4"	"0"	"190"	"190"	"1"	"0"
"2188"	"4"	"1"	"5"	"2"	"380"	"17"	"27"	"27"	"0"	"0"	"0"	"25"	"10"	"8"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"8"	"7"	"0"	"137"	"137"	"1"	"0"
"2189"	"4"	"1"	"5"	"2"	"364"	"18"	"41"	"25"	"2"	"0"	"1"	"12"	"20"	"11"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"12"	"6"	"0"	"164"	"164"	"1"	"0"
"2190"	"4"	"1"	"5"	"2"	"393"	"20"	"44"	"37"	"1"	"0"	"0"	"21"	"15"	"5"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"7"	"2"	"0"	"169"	"169"	"1"	"0"
"2191"	"4"	"1"	"5"	"2"	"374"	"2"	"22"	"71"	"16"	"10"	"5"	"4"	"10"	"22"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"6"	"5"	"0"	"196"	"196"	"1"	"0"
"2192"	"4"	"1"	"5"	"2"	"376"	"11"	"11"	"72"	"13"	"8"	"2"	"7"	"12"	"21"	"6"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"6"	"4"	"0"	"195"	"195"	"1"	"0"
"2193"	"4"	"1"	"5"	"2"	"375"	"3"	"15"	"73"	"17"	"9"	"3"	"4"	"15"	"19"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"7"	"1"	"0"	"184"	"184"	"1"	"0"
"2194"	"4"	"1"	"5"	"2"	"374"	"5"	"19"	"68"	"17"	"7"	"4"	"1"	"15"	"26"	"5"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"7"	"3"	"10"	"192"	"192"	"1"	"0"
"2195"	"4"	"1"	"5"	"2"	"376"	"7"	"26"	"70"	"13"	"10"	"4"	"4"	"5"	"27"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"10"	"1"	"0"	"189"	"189"	"1"	"0"
"2196"	"4"	"1"	"5"	"2"	"262"	"4"	"9"	"42"	"10"	"2"	"2"	"2"	"8"	"16"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"9"	"6"	"0"	"123"	"123"	"1"	"0"
"2197"	"4"	"1"	"5"	"2"	"266"	"2"	"6"	"43"	"11"	"2"	"0"	"2"	"11"	"15"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"7"	"4"	"0"	"110"	"110"	"1"	"0"
"2198"	"4"	"1"	"5"	"2"	"276"	"29"	"35"	"47"	"2"	"3"	"0"	"2"	"11"	"8"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"16"	"6"	"0"	"170"	"170"	"1"	"0"
"2199"	"4"	"1"	"5"	"2"	"380"	"34"	"32"	"56"	"10"	"1"	"0"	"4"	"12"	"5"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"13"	"6"	"0"	"193"	"193"	"1"	"0"
"2200"	"4"	"1"	"5"	"2"	"376"	"39"	"29"	"58"	"11"	"0"	"0"	"2"	"18"	"8"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"16"	"2"	"0"	"204"	"204"	"1"	"0"
"2201"	"4"	"1"	"5"	"2"	"376"	"41"	"31"	"46"	"9"	"0"	"0"	"1"	"16"	"10"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"21"	"11"	"0"	"203"	"203"	"1"	"0"
"2202"	"4"	"1"	"5"	"2"	"371"	"36"	"26"	"37"	"12"	"0"	"0"	"2"	"10"	"14"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"12"	"9"	"0"	"165"	"165"	"1"	"0"
"2203"	"4"	"1"	"5"	"2"	"380"	"28"	"34"	"43"	"2"	"1"	"2"	"1"	"11"	"6"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"11"	"5"	"0"	"159"	"158"	"0"	"0"
"2204"	"4"	"1"	"5"	"2"	"324"	"34"	"22"	"33"	"4"	"1"	"1"	"1"	"9"	"4"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"14"	"3"	"0"	"138"	"138"	"1"	"0"
"2205"	"4"	"1"	"5"	"2"	"326"	"25"	"33"	"37"	"8"	"1"	"0"	"0"	"10"	"6"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"6"	"7"	"0"	"145"	"145"	"1"	"0"
"2206"	"4"	"1"	"5"	"2"	"594"	"9"	"26"	"48"	"15"	"4"	"2"	"8"	"16"	"20"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"9"	"2"	"0"	"167"	"167"	"1"	"0"
"2207"	"4"	"1"	"5"	"2"	"596"	"12"	"26"	"45"	"11"	"6"	"4"	"12"	"20"	"17"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"7"	"4"	"0"	"179"	"179"	"1"	"1"
"2208"	"4"	"1"	"5"	"2"	"363"	"4"	"12"	"27"	"10"	"2"	"2"	"3"	"11"	"11"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"5"	"3"	"0"	"100"	"100"	"1"	"0"
"2209"	"4"	"1"	"5"	"2"	"363"	"3"	"9"	"11"	"2"	"1"	"2"	"3"	"2"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"40"	"40"	"2"	"2"	"0"	"44"	"44"	"1"	"0"
