"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"LA_MUTA"	"UNE"	"VALOR"	"VIVA"	"LIBRE"	"CONVERGENCIA"	"CREO"	"TODOS"	"PPT"	"PHG"	"CHIQUMULA_VERDE"	"AVANZA"	"PAN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19227"	"4"	"20"	"1"	"2"	"400"	"14"	"70"	"11"	"30"	"17"	"27"	"0"	"6"	"16"	"1"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"202"	"15"	"3"	"0"	"222"	"220"	"0"	"0"
"19228"	"4"	"20"	"1"	"2"	"396"	"28"	"69"	"17"	"30"	"20"	"30"	"4"	"9"	"16"	"0"	"8"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"11"	"3"	"0"	"257"	"257"	"1"	"0"
"19229"	"4"	"20"	"1"	"2"	"405"	"39"	"69"	"18"	"19"	"12"	"35"	"1"	"6"	"19"	"2"	"6"	"14"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"2"	"0"	"254"	"254"	"1"	"0"
"19230"	"4"	"20"	"1"	"2"	"396"	"25"	"67"	"17"	"30"	"13"	"31"	"0"	"8"	"14"	"1"	"10"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"8"	"0"	"0"	"241"	"241"	"1"	"0"
"19231"	"4"	"20"	"1"	"2"	"400"	"19"	"59"	"15"	"27"	"11"	"20"	"5"	"5"	"11"	"1"	"5"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"5"	"9"	"0"	"208"	"208"	"1"	"0"
"19232"	"4"	"20"	"1"	"2"	"400"	"24"	"70"	"24"	"18"	"11"	"34"	"2"	"12"	"9"	"1"	"11"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"10"	"1"	"0"	"242"	"242"	"1"	"0"
"19233"	"4"	"20"	"1"	"2"	"400"	"29"	"71"	"18"	"45"	"14"	"31"	"2"	"15"	"10"	"1"	"2"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"5"	"1"	"0"	"258"	"258"	"1"	"0"
"19234"	"4"	"20"	"1"	"2"	"400"	"22"	"57"	"16"	"28"	"14"	"29"	"4"	"11"	"16"	"1"	"5"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"15"	"3"	"0"	"235"	"235"	"1"	"0"
"19235"	"4"	"20"	"1"	"2"	"400"	"20"	"48"	"13"	"22"	"11"	"20"	"0"	"9"	"12"	"0"	"3"	"10"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"4"	"1"	"0"	"177"	"177"	"1"	"0"
"19236"	"4"	"20"	"1"	"2"	"395"	"19"	"37"	"9"	"17"	"8"	"13"	"1"	"10"	"11"	"1"	"7"	"10"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"8"	"1"	"0"	"155"	"155"	"1"	"0"
"19237"	"4"	"20"	"1"	"2"	"395"	"15"	"45"	"8"	"34"	"9"	"22"	"2"	"11"	"14"	"0"	"3"	"10"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"6"	"1"	"0"	"185"	"185"	"1"	"0"
"19238"	"4"	"20"	"1"	"2"	"396"	"27"	"42"	"36"	"22"	"4"	"34"	"4"	"16"	"12"	"2"	"10"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"220"	"25"	"9"	"0"	"254"	"254"	"0"	"1"
"19239"	"4"	"20"	"1"	"2"	"400"	"25"	"54"	"44"	"15"	"6"	"55"	"1"	"21"	"11"	"2"	"12"	"11"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"4"	"0"	"279"	"279"	"1"	"0"
"19240"	"4"	"20"	"1"	"2"	"400"	"23"	"58"	"38"	"14"	"6"	"51"	"2"	"11"	"3"	"3"	"6"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"8"	"1"	"0"	"238"	"238"	"1"	"0"
"19241"	"4"	"20"	"1"	"2"	"400"	"27"	"64"	"43"	"17"	"6"	"38"	"0"	"14"	"12"	"3"	"12"	"11"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"7"	"5"	"0"	"268"	"268"	"1"	"0"
"19242"	"4"	"20"	"1"	"2"	"372"	"21"	"55"	"25"	"13"	"5"	"40"	"0"	"6"	"9"	"1"	"5"	"9"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"8"	"4"	"0"	"207"	"207"	"1"	"0"
"19243"	"4"	"20"	"1"	"2"	"368"	"23"	"47"	"30"	"15"	"4"	"21"	"3"	"8"	"8"	"2"	"9"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"6"	"3"	"0"	"198"	"198"	"1"	"0"
"19244"	"4"	"20"	"1"	"2"	"396"	"30"	"71"	"15"	"6"	"6"	"41"	"3"	"12"	"8"	"1"	"16"	"13"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"16"	"3"	"0"	"248"	"248"	"1"	"0"
"19245"	"4"	"20"	"1"	"2"	"400"	"27"	"49"	"21"	"13"	"13"	"40"	"3"	"5"	"10"	"2"	"11"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"10"	"7"	"0"	"225"	"225"	"1"	"0"
"19246"	"4"	"20"	"1"	"2"	"400"	"31"	"79"	"18"	"16"	"10"	"38"	"2"	"9"	"25"	"0"	"9"	"13"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"3"	"2"	"1"	"260"	"260"	"1"	"0"
"19247"	"4"	"20"	"1"	"2"	"400"	"29"	"68"	"21"	"17"	"9"	"39"	"1"	"8"	"17"	"2"	"8"	"15"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"9"	"3"	"0"	"253"	"253"	"1"	"0"
"19248"	"4"	"20"	"1"	"2"	"394"	"34"	"62"	"16"	"15"	"9"	"42"	"4"	"21"	"14"	"1"	"13"	"16"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"10"	"8"	"0"	"271"	"271"	"1"	"0"
"19249"	"4"	"20"	"1"	"2"	"396"	"28"	"50"	"9"	"16"	"6"	"28"	"5"	"14"	"15"	"2"	"14"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"6"	"0"	"0"	"210"	"210"	"1"	"0"
"19250"	"4"	"20"	"1"	"2"	"400"	"28"	"76"	"14"	"15"	"11"	"45"	"0"	"6"	"10"	"3"	"0"	"13"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"228"	"4"	"4"	"1"	"262"	"236"	"0"	"0"
"19251"	"4"	"20"	"1"	"2"	"396"	"30"	"74"	"14"	"14"	"13"	"36"	"3"	"10"	"13"	"5"	"9"	"10"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"1"	"0"	"247"	"247"	"1"	"0"
"19252"	"4"	"20"	"1"	"2"	"400"	"33"	"70"	"14"	"12"	"11"	"42"	"2"	"11"	"15"	"3"	"13"	"17"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"4"	"0"	"259"	"259"	"1"	"0"
"19253"	"4"	"20"	"1"	"2"	"400"	"39"	"77"	"26"	"17"	"13"	"35"	"3"	"14"	"9"	"3"	"10"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"2"	"0"	"276"	"276"	"1"	"0"
"19254"	"4"	"20"	"1"	"2"	"400"	"34"	"74"	"21"	"12"	"11"	"36"	"2"	"7"	"14"	"2"	"15"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"1"	"2"	"250"	"250"	"1"	"0"
"19255"	"4"	"20"	"1"	"2"	"396"	"28"	"65"	"16"	"17"	"6"	"55"	"4"	"11"	"13"	"2"	"9"	"9"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"3"	"0"	"254"	"254"	"1"	"0"
"19256"	"4"	"20"	"1"	"2"	"400"	"26"	"56"	"14"	"13"	"9"	"27"	"2"	"5"	"9"	"1"	"17"	"12"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"7"	"2"	"0"	"208"	"208"	"1"	"0"
"19257"	"4"	"20"	"1"	"2"	"396"	"31"	"49"	"11"	"13"	"5"	"37"	"1"	"6"	"7"	"3"	"6"	"11"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"3"	"3"	"0"	"190"	"190"	"1"	"0"
"19258"	"4"	"20"	"1"	"2"	"218"	"14"	"29"	"6"	"6"	"6"	"25"	"2"	"9"	"7"	"1"	"8"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"2"	"2"	"0"	"127"	"127"	"1"	"0"
"19259"	"4"	"20"	"1"	"2"	"218"	"15"	"22"	"9"	"7"	"8"	"16"	"4"	"11"	"3"	"0"	"5"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"3"	"1"	"0"	"110"	"110"	"1"	"0"
"19260"	"4"	"20"	"1"	"2"	"400"	"25"	"50"	"14"	"23"	"13"	"37"	"1"	"7"	"24"	"1"	"16"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"9"	"2"	"0"	"231"	"231"	"1"	"0"
"19261"	"4"	"20"	"1"	"2"	"396"	"32"	"55"	"14"	"28"	"13"	"32"	"4"	"8"	"11"	"5"	"11"	"9"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"5"	"0"	"0"	"232"	"232"	"1"	"0"
"19262"	"4"	"20"	"1"	"2"	"397"	"35"	"54"	"18"	"17"	"16"	"48"	"3"	"10"	"11"	"2"	"12"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"0"	"0"	"242"	"242"	"1"	"0"
"19263"	"4"	"20"	"1"	"2"	"347"	"27"	"43"	"13"	"17"	"14"	"32"	"3"	"11"	"9"	"3"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"7"	"3"	"0"	"199"	"199"	"1"	"0"
"19264"	"4"	"20"	"1"	"2"	"346"	"22"	"27"	"9"	"17"	"12"	"26"	"2"	"6"	"9"	"0"	"9"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"6"	"2"	"8"	"160"	"160"	"1"	"0"
"19265"	"4"	"20"	"1"	"2"	"334"	"4"	"4"	"24"	"32"	"6"	"5"	"1"	"1"	"6"	"1"	"1"	"8"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"21"	"7"	"0"	"128"	"128"	"1"	"0"
"19266"	"4"	"20"	"1"	"2"	"334"	"4"	"4"	"11"	"30"	"7"	"5"	"2"	"2"	"4"	"0"	"0"	"8"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"80"	"80"	"19"	"12"	"0"	"111"	"111"	"1"	"0"
"19267"	"4"	"20"	"1"	"2"	"381"	"15"	"7"	"19"	"25"	"9"	"18"	"0"	"4"	"18"	"0"	"7"	"57"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"6"	"6"	"0"	"200"	"200"	"1"	"0"
"19268"	"4"	"20"	"1"	"2"	"380"	"13"	"10"	"30"	"39"	"8"	"16"	"2"	"5"	"37"	"2"	"2"	"49"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"23"	"6"	"0"	"245"	"245"	"1"	"0"
"19269"	"4"	"20"	"1"	"2"	"380"	"10"	"5"	"28"	"34"	"5"	"10"	"2"	"10"	"54"	"0"	"1"	"39"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"28"	"11"	"0"	"241"	"241"	"1"	"0"
"19270"	"4"	"20"	"1"	"2"	"380"	"18"	"5"	"17"	"43"	"7"	"17"	"0"	"3"	"19"	"1"	"5"	"67"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"17"	"5"	"0"	"233"	"233"	"1"	"0"
"19271"	"4"	"20"	"1"	"2"	"0"	"12"	"5"	"15"	"30"	"3"	"17"	"1"	"5"	"17"	"0"	"6"	"59"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"10"	"5"	"0"	"192"	"192"	"1"	"0"
"19272"	"4"	"20"	"1"	"2"	"380"	"10"	"7"	"21"	"29"	"14"	"17"	"3"	"3"	"20"	"0"	"2"	"42"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"25"	"4"	"0"	"204"	"204"	"1"	"0"
"19273"	"4"	"20"	"1"	"2"	"380"	"16"	"11"	"18"	"33"	"10"	"13"	"1"	"9"	"18"	"0"	"5"	"51"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"8"	"6"	"0"	"201"	"201"	"1"	"0"
"19274"	"4"	"20"	"1"	"2"	"326"	"13"	"5"	"16"	"20"	"4"	"12"	"1"	"6"	"18"	"1"	"2"	"21"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"18"	"9"	"0"	"150"	"150"	"1"	"0"
"19275"	"4"	"20"	"1"	"2"	"326"	"9"	"8"	"12"	"10"	"3"	"5"	"1"	"3"	"11"	"0"	"4"	"27"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"13"	"6"	"0"	"114"	"114"	"1"	"0"
"19276"	"4"	"20"	"1"	"2"	"380"	"5"	"16"	"65"	"5"	"5"	"4"	"0"	"1"	"22"	"0"	"0"	"13"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"20"	"9"	"0"	"172"	"172"	"1"	"0"
"19277"	"4"	"20"	"1"	"2"	"376"	"4"	"15"	"57"	"14"	"5"	"3"	"0"	"0"	"26"	"0"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"25"	"4"	"0"	"165"	"165"	"1"	"0"
"19278"	"4"	"20"	"1"	"2"	"380"	"8"	"3"	"57"	"8"	"7"	"1"	"0"	"2"	"21"	"0"	"0"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"27"	"6"	"0"	"150"	"150"	"1"	"0"
"19279"	"4"	"20"	"1"	"2"	"380"	"9"	"13"	"46"	"9"	"6"	"5"	"0"	"0"	"25"	"0"	"1"	"13"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"13"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"24"	"6"	"0"	"163"	"163"	"1"	"0"
"19280"	"4"	"20"	"1"	"2"	"376"	"11"	"13"	"41"	"14"	"5"	"0"	"1"	"3"	"20"	"1"	"5"	"8"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"22"	"10"	"0"	"159"	"159"	"1"	"0"
"19281"	"4"	"20"	"1"	"2"	"380"	"8"	"14"	"39"	"10"	"4"	"4"	"0"	"1"	"14"	"0"	"1"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"24"	"9"	"0"	"143"	"143"	"1"	"0"
"19282"	"4"	"20"	"1"	"2"	"213"	"5"	"5"	"19"	"8"	"2"	"1"	"1"	"1"	"7"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"57"	"57"	"17"	"6"	"0"	"80"	"80"	"1"	"0"
"19283"	"4"	"20"	"1"	"2"	"212"	"3"	"13"	"21"	"3"	"2"	"2"	"0"	"0"	"12"	"0"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"63"	"63"	"17"	"7"	"0"	"87"	"87"	"1"	"0"
"19284"	"4"	"20"	"1"	"2"	"376"	"2"	"16"	"33"	"11"	"25"	"12"	"1"	"1"	"1"	"0"	"2"	"7"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"38"	"10"	"0"	"168"	"168"	"1"	"0"
"19285"	"4"	"20"	"1"	"2"	"380"	"4"	"6"	"44"	"13"	"24"	"4"	"0"	"2"	"3"	"2"	"1"	"18"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"30"	"8"	"0"	"170"	"170"	"1"	"0"
"19286"	"4"	"20"	"1"	"2"	"380"	"4"	"6"	"46"	"15"	"22"	"3"	"2"	"1"	"2"	"0"	"1"	"25"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"47"	"14"	"0"	"196"	"196"	"1"	"0"
"19287"	"4"	"20"	"1"	"2"	"380"	"8"	"10"	"38"	"7"	"33"	"2"	"3"	"0"	"3"	"2"	"0"	"14"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"38"	"11"	"0"	"177"	"177"	"1"	"0"
"19288"	"4"	"20"	"1"	"2"	"380"	"4"	"7"	"32"	"12"	"30"	"5"	"1"	"1"	"2"	"0"	"1"	"15"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"29"	"10"	"0"	"153"	"153"	"1"	"0"
"19289"	"4"	"20"	"1"	"2"	"380"	"4"	"15"	"40"	"6"	"29"	"2"	"0"	"2"	"1"	"1"	"1"	"13"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"33"	"9"	"0"	"166"	"166"	"1"	"0"
"19290"	"4"	"20"	"1"	"2"	"380"	"2"	"14"	"39"	"11"	"23"	"0"	"0"	"1"	"3"	"1"	"0"	"11"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"39"	"5"	"0"	"158"	"158"	"1"	"0"
"19291"	"4"	"20"	"1"	"2"	"231"	"1"	"10"	"17"	"5"	"10"	"2"	"0"	"0"	"2"	"0"	"1"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"55"	"28"	"4"	"0"	"87"	"87"	"1"	"0"
"19292"	"4"	"20"	"1"	"2"	"231"	"4"	"4"	"22"	"11"	"12"	"2"	"0"	"0"	"2"	"1"	"1"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"68"	"20"	"7"	"0"	"95"	"95"	"1"	"0"
"19293"	"4"	"20"	"1"	"2"	"376"	"19"	"80"	"15"	"31"	"8"	"20"	"0"	"4"	"20"	"0"	"4"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"16"	"7"	"0"	"233"	"233"	"1"	"0"
"19294"	"4"	"20"	"1"	"2"	"376"	"15"	"90"	"14"	"39"	"11"	"21"	"2"	"11"	"15"	"1"	"4"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"25"	"7"	"0"	"265"	"265"	"1"	"0"
"19295"	"4"	"20"	"1"	"2"	"380"	"14"	"95"	"14"	"43"	"11"	"32"	"1"	"4"	"6"	"2"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"11"	"8"	"0"	"247"	"247"	"1"	"0"
"19296"	"4"	"20"	"1"	"2"	"380"	"16"	"89"	"14"	"26"	"4"	"16"	"2"	"5"	"12"	"1"	"1"	"7"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"8"	"5"	"0"	"211"	"211"	"1"	"0"
"19297"	"4"	"20"	"1"	"2"	"380"	"31"	"78"	"22"	"26"	"4"	"22"	"4"	"7"	"10"	"0"	"2"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"6"	"6"	"0"	"226"	"226"	"1"	"0"
"19298"	"4"	"20"	"1"	"2"	"380"	"18"	"72"	"18"	"23"	"9"	"17"	"2"	"11"	"5"	"1"	"3"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"12"	"3"	"0"	"206"	"206"	"1"	"0"
"19299"	"4"	"20"	"1"	"2"	"331"	"9"	"47"	"14"	"17"	"10"	"13"	"1"	"5"	"11"	"1"	"6"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"13"	"6"	"0"	"166"	"166"	"1"	"0"
"19300"	"4"	"20"	"1"	"2"	"330"	"15"	"45"	"14"	"22"	"5"	"12"	"1"	"6"	"9"	"1"	"7"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"5"	"3"	"0"	"150"	"150"	"1"	"0"
"19301"	"4"	"20"	"1"	"2"	"380"	"52"	"44"	"7"	"48"	"10"	"13"	"1"	"5"	"16"	"13"	"3"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"11"	"4"	"0"	"236"	"236"	"1"	"0"
