"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"LA_MUTA"	"UNE"	"VALOR"	"VIVA"	"LIBRE"	"CONVERGENCIA"	"CREO"	"TODOS"	"PPT"	"PHG"	"CHIQUMULA_VERDE"	"AVANZA"	"PAN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19333"	"4"	"20"	"1"	"2"	"596"	"13"	"46"	"11"	"13"	"10"	"12"	"0"	"5"	"11"	"0"	"3"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"9"	"3"	"0"	"146"	"146"	"1"	"0"
"19334"	"4"	"20"	"1"	"2"	"605"	"16"	"44"	"14"	"7"	"15"	"21"	"1"	"4"	"4"	"1"	"3"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"15"	"6"	"0"	"158"	"158"	"1"	"0"
"19335"	"4"	"20"	"1"	"2"	"596"	"10"	"58"	"10"	"12"	"9"	"24"	"0"	"7"	"7"	"6"	"2"	"7"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"9"	"2"	"0"	"173"	"173"	"1"	"0"
"19336"	"4"	"20"	"1"	"2"	"596"	"12"	"43"	"9"	"6"	"14"	"25"	"0"	"3"	"5"	"1"	"6"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"7"	"4"	"0"	"147"	"147"	"1"	"0"
"19337"	"4"	"20"	"1"	"2"	"596"	"10"	"56"	"15"	"12"	"12"	"31"	"4"	"8"	"9"	"3"	"1"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"5"	"2"	"7"	"180"	"180"	"1"	"0"
"19338"	"4"	"20"	"1"	"2"	"596"	"15"	"44"	"11"	"15"	"5"	"20"	"1"	"5"	"8"	"1"	"6"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"11"	"2"	"0"	"154"	"154"	"1"	"0"
"19339"	"4"	"20"	"1"	"2"	"596"	"16"	"39"	"7"	"10"	"12"	"17"	"2"	"7"	"8"	"0"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"16"	"3"	"0"	"148"	"148"	"1"	"0"
"19340"	"4"	"20"	"1"	"2"	"596"	"12"	"27"	"9"	"11"	"8"	"13"	"2"	"0"	"6"	"1"	"5"	"7"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"2"	"1"	"0"	"111"	"111"	"1"	"0"
"19341"	"4"	"20"	"1"	"2"	"596"	"12"	"28"	"7"	"3"	"2"	"12"	"3"	"3"	"7"	"0"	"5"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"3"	"2"	"0"	"97"	"97"	"1"	"0"
"19342"	"4"	"20"	"1"	"2"	"376"	"5"	"7"	"3"	"0"	"1"	"8"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"27"	"27"	"4"	"1"	"0"	"32"	"32"	"1"	"0"
"19343"	"4"	"20"	"1"	"2"	"380"	"4"	"5"	"6"	"4"	"2"	"2"	"0"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"29"	"0"	"1"	"0"	"30"	"30"	"1"	"0"
