"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"VAMOS"	"FUERZA"	"WINAQ"	"CONVERGENCIA"	"TODOS"	"VIVA"	"UNIONISTA"	"SEMILLA"	"LIBRE"	"FCN_NACION"	"BIEN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13487"	"4"	"13"	"9"	"2"	"380"	"4"	"81"	"21"	"1"	"10"	"5"	"11"	"30"	"36"	"2"	"8"	"0"	"31"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"19"	"10"	"0"	"275"	"275"	"1"	"0"
"13488"	"4"	"13"	"9"	"2"	"380"	"0"	"102"	"39"	"4"	"6"	"6"	"5"	"28"	"33"	"4"	"0"	"1"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"27"	"6"	"0"	"288"	"288"	"1"	"0"
"13489"	"4"	"13"	"9"	"2"	"380"	"2"	"77"	"29"	"2"	"3"	"4"	"19"	"29"	"23"	"3"	"7"	"0"	"14"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"19"	"14"	"0"	"252"	"252"	"1"	"0"
"13490"	"4"	"13"	"9"	"2"	"380"	"5"	"83"	"32"	"4"	"5"	"4"	"18"	"28"	"23"	"1"	"8"	"0"	"15"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"15"	"0"	"269"	"269"	"1"	"0"
"13491"	"4"	"13"	"9"	"2"	"311"	"2"	"61"	"13"	"1"	"3"	"1"	"13"	"28"	"16"	"5"	"5"	"2"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"23"	"21"	"0"	"212"	"212"	"1"	"0"
"13492"	"4"	"13"	"9"	"2"	"311"	"2"	"64"	"21"	"1"	"6"	"1"	"6"	"23"	"30"	"2"	"4"	"2"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"10"	"4"	"2"	"198"	"198"	"1"	"0"
"13493"	"4"	"13"	"9"	"2"	"380"	"47"	"59"	"5"	"0"	"11"	"7"	"47"	"17"	"25"	"2"	"2"	"1"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"26"	"23"	"0"	"293"	"293"	"1"	"0"
"13494"	"4"	"13"	"9"	"2"	"380"	"72"	"45"	"8"	"3"	"14"	"5"	"47"	"19"	"22"	"1"	"4"	"0"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"29"	"14"	"0"	"301"	"301"	"1"	"0"
"13495"	"4"	"13"	"9"	"2"	"377"	"52"	"41"	"7"	"7"	"11"	"9"	"50"	"23"	"21"	"4"	"1"	"0"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"24"	"19"	"0"	"292"	"292"	"1"	"0"
"13496"	"4"	"13"	"9"	"2"	"380"	"39"	"43"	"8"	"4"	"13"	"3"	"43"	"20"	"37"	"2"	"1"	"1"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"3"	"12"	"0"	"252"	"252"	"1"	"0"
"13497"	"4"	"13"	"9"	"2"	"380"	"36"	"44"	"6"	"1"	"9"	"7"	"42"	"22"	"28"	"2"	"1"	"2"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"19"	"8"	"0"	"252"	"252"	"1"	"0"
"13498"	"4"	"13"	"9"	"2"	"380"	"40"	"45"	"6"	"6"	"7"	"10"	"48"	"23"	"28"	"3"	"2"	"0"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"15"	"8"	"0"	"261"	"261"	"1"	"0"
"13499"	"4"	"13"	"9"	"2"	"380"	"40"	"59"	"2"	"8"	"16"	"3"	"40"	"18"	"24"	"3"	"2"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"30"	"18"	"0"	"275"	"275"	"1"	"0"
