"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"FCN_NACION"	"BIEN"	"EG"	"UCN"	"PAN"	"VALOR"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20478"	"4"	"22"	"3"	"2"	"396"	"42"	"4"	"109"	"7"	"1"	"41"	"2"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"13"	"4"	"0"	"254"	"254"	"1"	"0"
"20479"	"4"	"22"	"3"	"2"	"396"	"39"	"0"	"96"	"1"	"2"	"45"	"4"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"20"	"7"	"0"	"258"	"258"	"1"	"0"
"20480"	"4"	"22"	"3"	"2"	"396"	"35"	"1"	"74"	"5"	"2"	"42"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"13"	"4"	"0"	"222"	"222"	"1"	"0"
"20481"	"4"	"22"	"3"	"2"	"396"	"22"	"2"	"97"	"4"	"2"	"46"	"3"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"16"	"6"	"0"	"245"	"245"	"1"	"0"
"20482"	"4"	"22"	"3"	"2"	"318"	"19"	"3"	"74"	"4"	"3"	"26"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"17"	"5"	"0"	"173"	"173"	"1"	"0"
"20483"	"4"	"22"	"3"	"2"	"318"	"14"	"2"	"84"	"1"	"2"	"36"	"1"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"4"	"5"	"0"	"173"	"173"	"1"	"0"
"20484"	"4"	"22"	"3"	"2"	"400"	"6"	"7"	"97"	"9"	"0"	"82"	"0"	"18"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"29"	"7"	"0"	"264"	"264"	"1"	"0"
"20485"	"4"	"22"	"3"	"2"	"400"	"6"	"3"	"103"	"4"	"2"	"94"	"5"	"15"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"24"	"8"	"0"	"277"	"277"	"1"	"0"
"20486"	"4"	"22"	"3"	"2"	"396"	"5"	"1"	"105"	"8"	"2"	"79"	"0"	"15"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"22"	"4"	"0"	"265"	"265"	"1"	"0"
"20487"	"4"	"22"	"3"	"2"	"394"	"4"	"3"	"97"	"9"	"3"	"87"	"2"	"16"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"25"	"9"	"0"	"281"	"281"	"1"	"0"
"20488"	"4"	"22"	"3"	"2"	"396"	"6"	"1"	"123"	"6"	"3"	"91"	"0"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"19"	"3"	"0"	"277"	"277"	"1"	"0"
"20489"	"4"	"22"	"3"	"2"	"400"	"5"	"3"	"104"	"4"	"1"	"84"	"1"	"11"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"6"	"1"	"241"	"241"	"1"	"0"
"20490"	"4"	"22"	"3"	"2"	"396"	"4"	"3"	"110"	"8"	"1"	"88"	"2"	"10"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"19"	"10"	"0"	"266"	"266"	"1"	"0"
"20491"	"4"	"22"	"3"	"2"	"400"	"1"	"0"	"107"	"7"	"2"	"94"	"1"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"21"	"5"	"0"	"257"	"257"	"1"	"0"
"20492"	"4"	"22"	"3"	"2"	"400"	"3"	"0"	"99"	"3"	"2"	"89"	"1"	"11"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"14"	"4"	"0"	"237"	"237"	"1"	"0"
"20493"	"4"	"22"	"3"	"2"	"235"	"5"	"0"	"64"	"5"	"1"	"75"	"1"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"3"	"3"	"0"	"172"	"172"	"1"	"0"
"20494"	"4"	"22"	"3"	"2"	"235"	"0"	"2"	"65"	"6"	"2"	"37"	"0"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"4"	"3"	"0"	"139"	"139"	"1"	"0"
"20495"	"4"	"22"	"3"	"2"	"599"	"2"	"4"	"44"	"4"	"8"	"57"	"0"	"25"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"11"	"2"	"0"	"163"	"163"	"1"	"0"
"20496"	"4"	"22"	"3"	"2"	"308"	"1"	"1"	"10"	"0"	"1"	"18"	"0"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"47"	"47"	"3"	"2"	"0"	"52"	"52"	"1"	"0"
"20497"	"4"	"22"	"3"	"2"	"308"	"0"	"0"	"7"	"0"	"0"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22"	"22"	"2"	"0"	"0"	"24"	"24"	"1"	"0"
