"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UNIONISTA"	"VAMOS"	"UCN"	"SEMILLA"	"MLP"	"PHG"	"FCN_NACION"	"PAN"	"BIEN"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10756"	"4"	"10"	"14"	"2"	"400"	"63"	"7"	"23"	"14"	"1"	"5"	"36"	"36"	"66"	"9"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"21"	"2"	"0"	"294"	"294"	"1"	"0"
"10757"	"4"	"10"	"14"	"2"	"400"	"67"	"6"	"21"	"12"	"1"	"4"	"40"	"38"	"63"	"14"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"26"	"6"	"0"	"312"	"312"	"1"	"0"
"10758"	"4"	"10"	"14"	"2"	"400"	"56"	"5"	"23"	"12"	"1"	"4"	"28"	"38"	"79"	"7"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"31"	"6"	"0"	"308"	"308"	"1"	"0"
"10759"	"4"	"10"	"14"	"2"	"400"	"65"	"3"	"13"	"4"	"0"	"3"	"37"	"23"	"82"	"9"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"21"	"4"	"0"	"257"	"282"	"0"	"0"
"10760"	"4"	"10"	"14"	"2"	"400"	"51"	"1"	"20"	"5"	"1"	"2"	"29"	"41"	"83"	"13"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"33"	"4"	"0"	"294"	"294"	"1"	"0"
"10761"	"4"	"10"	"14"	"2"	"400"	"58"	"7"	"20"	"10"	"0"	"4"	"27"	"34"	"65"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"29"	"11"	"0"	"273"	"273"	"1"	"0"
"10762"	"4"	"10"	"14"	"2"	"400"	"58"	"5"	"19"	"6"	"1"	"4"	"36"	"32"	"89"	"12"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"19"	"5"	"0"	"302"	"302"	"1"	"0"
"10763"	"4"	"10"	"14"	"2"	"405"	"67"	"3"	"14"	"5"	"0"	"4"	"35"	"35"	"60"	"10"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"12"	"2"	"0"	"265"	"265"	"1"	"0"
"10764"	"4"	"10"	"14"	"2"	"400"	"47"	"1"	"24"	"4"	"1"	"9"	"34"	"36"	"70"	"7"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"11"	"6"	"0"	"268"	"268"	"1"	"0"
"10765"	"4"	"10"	"14"	"2"	"400"	"47"	"4"	"25"	"5"	"1"	"4"	"35"	"34"	"71"	"8"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"4"	"0"	"265"	"265"	"1"	"0"
