"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"PC"	"PAN"	"PHG"	"TODOS"	"CREO"	"FCN_NACION"	"MLP"	"LIBRE"	"SEMILLA"	"UNIONISTA"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18567"	"4"	"18"	"3"	"2"	"355"	"1"	"42"	"3"	"8"	"60"	"3"	"4"	"46"	"58"	"4"	"1"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"6"	"5"	"0"	"252"	"252"	"1"	"0"
"18568"	"4"	"18"	"3"	"2"	"380"	"2"	"97"	"3"	"18"	"32"	"0"	"0"	"54"	"100"	"1"	"1"	"1"	"8"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"10"	"2"	"0"	"332"	"332"	"1"	"0"
"18569"	"4"	"18"	"3"	"2"	"380"	"11"	"95"	"1"	"10"	"37"	"0"	"2"	"57"	"97"	"0"	"2"	"1"	"9"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"9"	"4"	"0"	"339"	"339"	"1"	"0"
"18570"	"4"	"18"	"3"	"2"	"380"	"6"	"102"	"1"	"17"	"22"	"0"	"2"	"53"	"111"	"2"	"2"	"1"	"16"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"15"	"2"	"0"	"354"	"354"	"1"	"0"
"18571"	"4"	"18"	"3"	"2"	"380"	"6"	"100"	"1"	"15"	"33"	"1"	"1"	"40"	"91"	"0"	"1"	"0"	"16"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"16"	"4"	"0"	"329"	"329"	"1"	"0"
"18572"	"4"	"18"	"3"	"2"	"225"	"5"	"70"	"1"	"3"	"15"	"0"	"1"	"38"	"66"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"0"	"1"	"5"	"208"	"208"	"1"	"0"
"18573"	"4"	"18"	"3"	"2"	"227"	"5"	"49"	"1"	"10"	"23"	"0"	"0"	"30"	"77"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"2"	"0"	"0"	"200"	"200"	"1"	"0"
"18574"	"4"	"18"	"3"	"2"	"380"	"2"	"74"	"1"	"44"	"55"	"1"	"19"	"23"	"56"	"2"	"0"	"0"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"23"	"13"	"0"	"335"	"335"	"1"	"0"
"18575"	"4"	"18"	"3"	"2"	"385"	"4"	"39"	"2"	"45"	"60"	"0"	"7"	"30"	"59"	"2"	"0"	"0"	"34"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"27"	"4"	"1"	"315"	"315"	"1"	"0"
"18576"	"4"	"18"	"3"	"2"	"380"	"3"	"50"	"3"	"44"	"63"	"0"	"8"	"22"	"54"	"1"	"1"	"0"	"34"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"16"	"4"	"0"	"306"	"306"	"1"	"0"
"18577"	"4"	"18"	"3"	"2"	"379"	"5"	"56"	"3"	"29"	"35"	"0"	"4"	"31"	"61"	"1"	"2"	"0"	"23"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"36"	"5"	"0"	"294"	"294"	"1"	"0"
"18578"	"4"	"18"	"3"	"2"	"314"	"7"	"27"	"3"	"40"	"45"	"0"	"6"	"18"	"47"	"0"	"0"	"3"	"32"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"3"	"0"	"250"	"250"	"1"	"0"
"18579"	"4"	"18"	"3"	"2"	"313"	"1"	"21"	"2"	"36"	"65"	"0"	"9"	"25"	"45"	"0"	"2"	"0"	"34"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"6"	"1"	"0"	"249"	"249"	"1"	"0"
"18580"	"4"	"18"	"3"	"2"	"380"	"9"	"83"	"11"	"8"	"33"	"0"	"2"	"35"	"72"	"1"	"4"	"7"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"17"	"6"	"0"	"310"	"310"	"1"	"0"
