"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"URNG_MAIZ"	"CREO"	"VICTORIA"	"UNIDOS"	"FUERZA"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"PC"	"VALOR"	"PHG"	"MLP"	"LIBRE"	"UCN"	"TODOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5592"	"4"	"3"	"7"	"2"	"400"	"34"	"118"	"23"	"14"	"7"	"3"	"0"	"0"	"5"	"2"	"31"	"10"	"8"	"1"	"6"	"4"	"12"	"7"	"0"	"0"	"31"	"10"	"8"	"1"	"6"	"4"	"12"	"7"	"0"	"0"	"285"	"285"	"12"	"5"	"0"	"302"	"302"	"1"	"0"
"5593"	"4"	"3"	"7"	"2"	"396"	"42"	"115"	"27"	"11"	"12"	"3"	"0"	"1"	"5"	"3"	"28"	"5"	"15"	"3"	"12"	"7"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"1"	"0"	"305"	"305"	"1"	"0"
"5594"	"4"	"3"	"7"	"2"	"400"	"38"	"99"	"27"	"13"	"11"	"9"	"1"	"1"	"5"	"5"	"30"	"5"	"7"	"3"	"5"	"8"	"7"	"7"	"0"	"0"	"30"	"5"	"7"	"3"	"5"	"8"	"7"	"7"	"0"	"0"	"281"	"281"	"8"	"1"	"0"	"290"	"290"	"1"	"0"
"5595"	"4"	"3"	"7"	"2"	"395"	"50"	"86"	"24"	"23"	"11"	"8"	"1"	"2"	"6"	"7"	"33"	"10"	"6"	"2"	"7"	"5"	"7"	"6"	"0"	"0"	"33"	"10"	"6"	"2"	"7"	"5"	"7"	"6"	"0"	"0"	"294"	"294"	"3"	"5"	"0"	"302"	"302"	"1"	"0"
"5596"	"4"	"3"	"7"	"2"	"400"	"56"	"89"	"21"	"14"	"9"	"3"	"0"	"3"	"8"	"2"	"29"	"13"	"10"	"2"	"6"	"7"	"8"	"11"	"0"	"0"	"29"	"13"	"10"	"2"	"6"	"7"	"8"	"11"	"0"	"0"	"291"	"291"	"12"	"4"	"0"	"307"	"307"	"1"	"0"
"5597"	"4"	"3"	"7"	"2"	"396"	"43"	"84"	"19"	"13"	"9"	"11"	"1"	"4"	"2"	"2"	"34"	"11"	"1"	"2"	"1"	"9"	"9"	"5"	"0"	"0"	"34"	"11"	"1"	"2"	"1"	"9"	"9"	"5"	"0"	"0"	"260"	"260"	"3"	"3"	"0"	"266"	"266"	"1"	"0"
"5598"	"4"	"3"	"7"	"2"	"396"	"36"	"87"	"37"	"19"	"13"	"3"	"1"	"0"	"3"	"1"	"27"	"10"	"6"	"2"	"7"	"3"	"5"	"3"	"0"	"0"	"27"	"10"	"6"	"2"	"7"	"3"	"5"	"3"	"0"	"0"	"263"	"263"	"4"	"2"	"0"	"269"	"269"	"1"	"0"
"5599"	"4"	"3"	"7"	"2"	"400"	"21"	"75"	"25"	"23"	"11"	"9"	"0"	"5"	"2"	"3"	"35"	"20"	"7"	"3"	"4"	"10"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"6"	"2"	"125"	"275"	"275"	"1"	"0"
"5600"	"4"	"3"	"7"	"2"	"396"	"33"	"94"	"25"	"17"	"10"	"5"	"1"	"1"	"3"	"1"	"40"	"6"	"2"	"0"	"9"	"5"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"6"	"4"	"0"	"277"	"277"	"1"	"0"
"5601"	"4"	"3"	"7"	"2"	"400"	"33"	"108"	"33"	"15"	"4"	"2"	"1"	"2"	"4"	"2"	"38"	"11"	"7"	"0"	"2"	"5"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"7"	"0"	"0"	"293"	"293"	"1"	"0"
"5602"	"4"	"3"	"7"	"2"	"400"	"24"	"102"	"27"	"14"	"12"	"7"	"1"	"0"	"3"	"4"	"30"	"11"	"3"	"4"	"6"	"4"	"7"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"5"	"2"	"0"	"277"	"277"	"1"	"0"
"5603"	"4"	"3"	"7"	"2"	"411"	"34"	"130"	"22"	"18"	"10"	"5"	"0"	"3"	"2"	"3"	"27"	"8"	"4"	"4"	"4"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"6"	"3"	"0"	"294"	"294"	"1"	"0"
"5604"	"4"	"3"	"7"	"2"	"396"	"31"	"112"	"27"	"17"	"16"	"8"	"0"	"4"	"4"	"3"	"31"	"14"	"4"	"1"	"2"	"6"	"5"	"5"	"0"	"0"	"31"	"14"	"4"	"1"	"2"	"6"	"5"	"5"	"0"	"0"	"290"	"290"	"9"	"4"	"0"	"303"	"303"	"1"	"0"
"5605"	"4"	"3"	"7"	"2"	"400"	"37"	"88"	"26"	"13"	"14"	"4"	"0"	"1"	"4"	"5"	"33"	"18"	"6"	"1"	"3"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"7"	"0"	"283"	"283"	"1"	"0"
"5606"	"4"	"3"	"7"	"2"	"399"	"42"	"109"	"20"	"12"	"7"	"5"	"0"	"2"	"3"	"0"	"37"	"16"	"0"	"1"	"7"	"11"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"4"	"5"	"0"	"285"	"285"	"1"	"0"
"5607"	"4"	"3"	"7"	"2"	"400"	"53"	"97"	"28"	"10"	"13"	"4"	"0"	"1"	"3"	"1"	"23"	"14"	"5"	"1"	"2"	"12"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"3"	"5"	"0"	"285"	"285"	"1"	"0"
"5608"	"4"	"3"	"7"	"2"	"400"	"37"	"96"	"22"	"17"	"14"	"4"	"0"	"3"	"3"	"0"	"27"	"6"	"4"	"2"	"6"	"5"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"10"	"7"	"0"	"273"	"273"	"1"	"0"
"5609"	"4"	"3"	"7"	"2"	"400"	"26"	"76"	"17"	"14"	"9"	"9"	"0"	"0"	"5"	"1"	"35"	"16"	"3"	"7"	"6"	"5"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"5"	"1"	"0"	"251"	"251"	"1"	"0"
"5610"	"4"	"3"	"7"	"2"	"396"	"35"	"87"	"37"	"9"	"10"	"7"	"1"	"2"	"4"	"2"	"21"	"9"	"2"	"2"	"6"	"5"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"1"	"3"	"0"	"264"	"264"	"1"	"0"
"5611"	"4"	"3"	"7"	"2"	"400"	"39"	"117"	"31"	"15"	"8"	"4"	"1"	"3"	"4"	"1"	"21"	"7"	"3"	"3"	"5"	"6"	"7"	"11"	"0"	"0"	"21"	"7"	"3"	"3"	"5"	"6"	"7"	"11"	"0"	"0"	"286"	"286"	"0"	"1"	"0"	"287"	"287"	"1"	"0"
"5612"	"4"	"3"	"7"	"2"	"396"	"42"	"108"	"43"	"20"	"12"	"1"	"0"	"2"	"7"	"1"	"36"	"14"	"3"	"1"	"7"	"5"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"1"	"1"	"0"	"319"	"319"	"1"	"0"
"5613"	"4"	"3"	"7"	"2"	"274"	"30"	"82"	"31"	"12"	"6"	"0"	"0"	"2"	"3"	"0"	"25"	"14"	"6"	"2"	"2"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"1"	"1"	"0"	"227"	"227"	"1"	"0"
