"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"URNG_MAIZ"	"CREO"	"VICTORIA"	"UNIDOS"	"FUERZA"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"PC"	"VALOR"	"PHG"	"MLP"	"LIBRE"	"UCN"	"TODOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5629"	"4"	"3"	"7"	"2"	"261"	"95"	"13"	"3"	"2"	"2"	"2"	"0"	"1"	"2"	"1"	"6"	"6"	"8"	"1"	"1"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"1"	"4"	"0"	"160"	"160"	"1"	"0"
"5630"	"4"	"3"	"7"	"2"	"400"	"122"	"24"	"4"	"6"	"18"	"2"	"1"	"0"	"1"	"1"	"33"	"3"	"23"	"0"	"5"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"6"	"5"	"0"	"262"	"262"	"1"	"0"
"5631"	"4"	"3"	"7"	"2"	"376"	"90"	"32"	"3"	"4"	"10"	"2"	"2"	"0"	"3"	"2"	"35"	"6"	"30"	"0"	"7"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"9"	"11"	"0"	"249"	"249"	"1"	"0"
"5632"	"4"	"3"	"7"	"2"	"401"	"105"	"43"	"4"	"4"	"15"	"3"	"0"	"3"	"2"	"4"	"29"	"1"	"32"	"1"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"7"	"8"	"0"	"268"	"268"	"1"	"0"
"5633"	"4"	"3"	"7"	"2"	"400"	"101"	"34"	"7"	"2"	"9"	"1"	"0"	"0"	"1"	"3"	"32"	"3"	"29"	"2"	"3"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"7"	"8"	"0"	"246"	"246"	"1"	"0"
"5634"	"4"	"3"	"7"	"2"	"380"	"83"	"28"	"4"	"3"	"17"	"3"	"0"	"0"	"2"	"0"	"30"	"6"	"30"	"0"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"8"	"10"	"0"	"231"	"231"	"1"	"0"
"5635"	"4"	"3"	"7"	"2"	"378"	"98"	"41"	"2"	"6"	"13"	"2"	"1"	"0"	"0"	"2"	"33"	"3"	"31"	"1"	"5"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"7"	"7"	"0"	"255"	"255"	"1"	"0"
"5636"	"4"	"3"	"7"	"2"	"380"	"104"	"26"	"9"	"5"	"9"	"1"	"0"	"0"	"1"	"1"	"24"	"4"	"24"	"0"	"7"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"3"	"5"	"0"	"231"	"231"	"1"	"0"
"5637"	"4"	"3"	"7"	"2"	"376"	"100"	"34"	"3"	"6"	"7"	"2"	"0"	"1"	"2"	"3"	"33"	"5"	"20"	"1"	"12"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"6"	"8"	"0"	"248"	"248"	"1"	"0"
"5638"	"4"	"3"	"7"	"2"	"378"	"90"	"23"	"6"	"7"	"13"	"1"	"0"	"0"	"7"	"1"	"37"	"4"	"20"	"0"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"1"	"4"	"0"	"220"	"220"	"1"	"0"
"5639"	"4"	"3"	"7"	"2"	"400"	"78"	"45"	"6"	"4"	"19"	"1"	"1"	"1"	"2"	"4"	"37"	"3"	"24"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"6"	"2"	"0"	"237"	"237"	"1"	"0"
"5640"	"4"	"3"	"7"	"2"	"401"	"108"	"36"	"4"	"3"	"21"	"4"	"0"	"1"	"3"	"2"	"31"	"6"	"33"	"0"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"6"	"5"	"0"	"271"	"271"	"1"	"0"
"5641"	"4"	"3"	"7"	"2"	"401"	"117"	"34"	"7"	"1"	"6"	"5"	"1"	"0"	"3"	"2"	"38"	"1"	"20"	"0"	"4"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"6"	"8"	"0"	"260"	"260"	"1"	"0"
"5642"	"4"	"3"	"7"	"2"	"376"	"85"	"36"	"2"	"4"	"11"	"2"	"0"	"2"	"2"	"2"	"50"	"4"	"28"	"0"	"3"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"4"	"8"	"0"	"248"	"248"	"1"	"0"
"5643"	"4"	"3"	"7"	"2"	"378"	"107"	"25"	"1"	"3"	"20"	"1"	"0"	"0"	"4"	"1"	"21"	"1"	"19"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"5"	"11"	"0"	"223"	"223"	"1"	"0"
"5644"	"4"	"3"	"7"	"2"	"400"	"93"	"44"	"0"	"7"	"9"	"1"	"0"	"1"	"5"	"2"	"41"	"8"	"28"	"0"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"1"	"5"	"0"	"253"	"253"	"1"	"0"
"5645"	"4"	"3"	"7"	"2"	"186"	"63"	"31"	"2"	"1"	"5"	"1"	"0"	"1"	"1"	"0"	"24"	"4"	"14"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"1"	"2"	"0"	"155"	"155"	"1"	"0"
"5646"	"4"	"3"	"7"	"2"	"191"	"56"	"30"	"1"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"18"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"4"	"4"	"0"	"142"	"142"	"1"	"0"
