"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"CREO"	"PC"	"BIEN"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6116"	"4"	"4"	"5"	"2"	"250"	"66"	"43"	"9"	"77"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"1"	"2"	"0"	"200"	"200"	"1"	"0"
"6117"	"4"	"4"	"5"	"2"	"250"	"36"	"26"	"7"	"73"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"5"	"2"	"0"	"153"	"153"	"1"	"0"
"6118"	"4"	"4"	"5"	"2"	"374"	"44"	"40"	"93"	"87"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"17"	"1"	"0"	"285"	"285"	"1"	"0"
"6119"	"4"	"4"	"5"	"2"	"376"	"52"	"49"	"79"	"73"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"7"	"0"	"273"	"273"	"1"	"0"
"6120"	"4"	"4"	"5"	"2"	"374"	"59"	"41"	"89"	"68"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"17"	"9"	"26"	"287"	"287"	"1"	"0"
"6121"	"4"	"4"	"5"	"2"	"394"	"44"	"34"	"89"	"81"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"2"	"0"	"260"	"260"	"1"	"0"
"6122"	"4"	"4"	"5"	"2"	"332"	"25"	"39"	"72"	"72"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"7"	"7"	"0"	"223"	"223"	"1"	"0"
"6123"	"4"	"4"	"5"	"2"	"331"	"47"	"39"	"76"	"70"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"5"	"2"	"0"	"241"	"241"	"1"	"0"
"6124"	"4"	"4"	"5"	"2"	"334"	"30"	"20"	"12"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"2"	"2"	"0"	"87"	"87"	"1"	"0"
"6125"	"4"	"4"	"5"	"2"	"333"	"28"	"11"	"5"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"69"	"1"	"1"	"0"	"71"	"71"	"1"	"0"
