"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"TODOS"	"FUERZA"	"VAMOS"	"WINAQ"	"SEMILLA"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13889"	"4"	"13"	"17"	"2"	"206"	"21"	"52"	"5"	"9"	"43"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"1"	"3"	"0"	"137"	"137"	"1"	"0"
"13890"	"4"	"13"	"17"	"2"	"206"	"24"	"58"	"7"	"8"	"39"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"1"	"1"	"0"	"142"	"142"	"1"	"1"
"13891"	"4"	"13"	"17"	"2"	"400"	"49"	"81"	"7"	"37"	"48"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"12"	"13"	"25"	"255"	"255"	"1"	"0"
"13892"	"4"	"13"	"17"	"2"	"400"	"48"	"96"	"10"	"32"	"54"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"10"	"137"	"263"	"263"	"1"	"0"
"13893"	"4"	"13"	"17"	"2"	"400"	"44"	"81"	"9"	"29"	"68"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"6"	"147"	"253"	"253"	"1"	"0"
"13894"	"4"	"13"	"17"	"2"	"396"	"48"	"71"	"7"	"4"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"136"	"6"	"7"	"0"	"209"	"149"	"0"	"0"
"13895"	"4"	"13"	"17"	"2"	"325"	"29"	"75"	"6"	"22"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"6"	"5"	"2"	"176"	"176"	"1"	"0"
"13896"	"4"	"13"	"17"	"2"	"400"	"41"	"53"	"6"	"39"	"52"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"2"	"4"	"0"	"200"	"200"	"1"	"0"
"13897"	"4"	"13"	"17"	"2"	"377"	"63"	"78"	"8"	"30"	"9"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"12"	"7"	"0"	"212"	"212"	"1"	"0"
"13898"	"4"	"13"	"17"	"2"	"380"	"70"	"83"	"4"	"30"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"18"	"7"	"0"	"222"	"222"	"1"	"0"
"13899"	"4"	"13"	"17"	"2"	"380"	"69"	"78"	"5"	"14"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"5"	"5"	"0"	"183"	"183"	"1"	"0"
"13900"	"4"	"13"	"17"	"2"	"373"	"71"	"43"	"7"	"6"	"8"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"5"	"4"	"1"	"147"	"147"	"1"	"0"
"13901"	"4"	"13"	"17"	"2"	"380"	"62"	"56"	"5"	"12"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"6"	"11"	"0"	"160"	"160"	"1"	"0"
"13902"	"4"	"13"	"17"	"2"	"380"	"73"	"53"	"4"	"21"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"8"	"7"	"0"	"174"	"174"	"1"	"0"
"13903"	"4"	"13"	"17"	"2"	"380"	"60"	"59"	"5"	"31"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"8"	"11"	"0"	"187"	"187"	"1"	"0"
"13904"	"4"	"13"	"17"	"2"	"232"	"53"	"45"	"4"	"11"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"5"	"0"	"0"	"126"	"126"	"1"	"0"
"13905"	"4"	"13"	"17"	"2"	"230"	"42"	"45"	"4"	"16"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"4"	"3"	"0"	"129"	"129"	"1"	"0"
"13906"	"4"	"13"	"17"	"2"	"597"	"39"	"48"	"11"	"10"	"55"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"8"	"2"	"3"	"180"	"180"	"1"	"0"
"13907"	"4"	"13"	"17"	"2"	"324"	"17"	"19"	"3"	"9"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"67"	"1"	"2"	"0"	"70"	"70"	"1"	"0"
"13908"	"4"	"13"	"17"	"2"	"313"	"12"	"8"	"2"	"1"	"9"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"35"	"0"	"3"	"0"	"38"	"38"	"1"	"0"
