"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VALOR"	"UNE"	"FCN_NACION"	"BIEN"	"MLP"	"PODEMOS"	"UNIDOS"	"FUERZA"	"PPT"	"UCN"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11216"	"4"	"11"	"6"	"2"	"400"	"17"	"5"	"36"	"115"	"16"	"17"	"11"	"14"	"3"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"16"	"5"	"0"	"266"	"266"	"1"	"0"
"11217"	"4"	"11"	"6"	"2"	"400"	"12"	"10"	"38"	"144"	"20"	"13"	"3"	"14"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"21"	"13"	"0"	"292"	"292"	"1"	"0"
"11218"	"4"	"11"	"6"	"2"	"384"	"10"	"7"	"34"	"121"	"15"	"9"	"3"	"12"	"3"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"10"	"0"	"248"	"248"	"1"	"0"
"11219"	"4"	"11"	"6"	"2"	"409"	"4"	"4"	"29"	"109"	"15"	"14"	"9"	"15"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"15"	"4"	"0"	"229"	"229"	"1"	"0"
"11220"	"4"	"11"	"6"	"2"	"235"	"5"	"5"	"22"	"55"	"14"	"5"	"2"	"3"	"1"	"3"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"9"	"3"	"0"	"134"	"134"	"1"	"0"
"11221"	"4"	"11"	"6"	"2"	"231"	"7"	"2"	"24"	"75"	"15"	"11"	"4"	"6"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"8"	"1"	"0"	"160"	"160"	"1"	"0"
"11222"	"4"	"11"	"6"	"2"	"380"	"53"	"13"	"13"	"8"	"78"	"13"	"9"	"12"	"2"	"7"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"8"	"0"	"237"	"237"	"1"	"0"
"11223"	"4"	"11"	"6"	"2"	"380"	"34"	"19"	"11"	"20"	"99"	"5"	"2"	"28"	"0"	"10"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"19"	"4"	"0"	"258"	"258"	"1"	"0"
"11224"	"4"	"11"	"6"	"2"	"380"	"53"	"13"	"10"	"16"	"69"	"7"	"2"	"10"	"0"	"9"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"19"	"3"	"0"	"217"	"217"	"1"	"0"
"11225"	"4"	"11"	"6"	"2"	"233"	"27"	"9"	"11"	"15"	"45"	"3"	"5"	"5"	"1"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"14"	"6"	"0"	"151"	"151"	"1"	"0"
"11226"	"4"	"11"	"6"	"2"	"233"	"43"	"9"	"9"	"6"	"45"	"1"	"5"	"7"	"0"	"7"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"4"	"2"	"0"	"143"	"143"	"1"	"0"
"11227"	"4"	"11"	"6"	"2"	"380"	"38"	"29"	"16"	"14"	"55"	"1"	"16"	"16"	"1"	"12"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"14"	"8"	"0"	"244"	"244"	"1"	"0"
"11228"	"4"	"11"	"6"	"2"	"380"	"46"	"17"	"18"	"12"	"51"	"6"	"14"	"17"	"1"	"11"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"23"	"6"	"0"	"241"	"241"	"1"	"0"
