"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"CREO"	"TODOS"	"EG"	"EL_ZOMPOPO"	"PHG"	"FCN_NACION"	"PPT"	"UNE"	"CASA"	"PODEMOS"	"CHICH"	"FUERZA"	"PC"	"BIEN"	"UNIONISTA"	"UCN"	"MLP"	"SOL"	"LIBRE"	"SEMILLA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5148"	"4"	"3"	"1"	"2"	"398"	"20"	"9"	"4"	"4"	"32"	"5"	"2"	"4"	"45"	"30"	"8"	"27"	"13"	"6"	"8"	"0"	"0"	"1"	"12"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"9"	"0"	"0"	"256"	"256"	"1"	"0"
"5149"	"4"	"3"	"1"	"2"	"400"	"27"	"3"	"4"	"10"	"22"	"4"	"1"	"7"	"38"	"39"	"6"	"27"	"14"	"6"	"6"	"1"	"0"	"5"	"12"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"0"	"0"	"259"	"259"	"1"	"0"
"5150"	"4"	"3"	"1"	"2"	"331"	"22"	"4"	"2"	"2"	"24"	"6"	"1"	"5"	"31"	"22"	"9"	"23"	"9"	"3"	"10"	"2"	"1"	"4"	"12"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"3"	"0"	"0"	"206"	"206"	"1"	"0"
"5151"	"4"	"3"	"1"	"2"	"331"	"15"	"8"	"6"	"3"	"25"	"4"	"0"	"1"	"44"	"31"	"11"	"29"	"11"	"6"	"5"	"0"	"1"	"3"	"14"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"3"	"0"	"0"	"236"	"236"	"1"	"0"
"5152"	"4"	"3"	"1"	"2"	"398"	"17"	"1"	"2"	"5"	"23"	"5"	"4"	"5"	"61"	"38"	"13"	"49"	"4"	"2"	"5"	"3"	"1"	"3"	"8"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"5"	"0"	"276"	"276"	"1"	"0"
"5153"	"4"	"3"	"1"	"2"	"380"	"21"	"6"	"6"	"0"	"38"	"4"	"2"	"0"	"62"	"32"	"7"	"38"	"4"	"7"	"6"	"2"	"3"	"1"	"13"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"8"	"7"	"0"	"274"	"274"	"1"	"0"
"5154"	"4"	"3"	"1"	"2"	"400"	"23"	"3"	"3"	"3"	"41"	"5"	"3"	"5"	"50"	"46"	"3"	"50"	"9"	"4"	"13"	"1"	"1"	"3"	"16"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"3"	"3"	"0"	"295"	"295"	"1"	"0"
"5155"	"4"	"3"	"1"	"2"	"400"	"16"	"3"	"11"	"3"	"47"	"6"	"1"	"2"	"62"	"34"	"3"	"33"	"8"	"1"	"7"	"6"	"1"	"2"	"14"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"3"	"1"	"286"	"286"	"1"	"0"
"5156"	"4"	"3"	"1"	"2"	"400"	"19"	"7"	"5"	"2"	"40"	"3"	"0"	"3"	"65"	"47"	"6"	"34"	"2"	"2"	"8"	"0"	"2"	"5"	"16"	"3"	"6"	"34"	"2"	"2"	"8"	"0"	"2"	"5"	"16"	"3"	"287"	"287"	"8"	"4"	"0"	"299"	"299"	"1"	"0"
"5157"	"4"	"3"	"1"	"2"	"400"	"11"	"3"	"7"	"3"	"41"	"1"	"3"	"0"	"38"	"51"	"4"	"42"	"14"	"4"	"12"	"2"	"0"	"4"	"11"	"0"	"4"	"42"	"14"	"4"	"12"	"2"	"0"	"4"	"11"	"0"	"259"	"259"	"9"	"4"	"0"	"272"	"272"	"1"	"0"
"5158"	"4"	"3"	"1"	"2"	"396"	"13"	"2"	"2"	"1"	"33"	"1"	"4"	"3"	"51"	"36"	"7"	"50"	"13"	"2"	"5"	"2"	"0"	"4"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"2"	"0"	"257"	"257"	"1"	"0"
"5159"	"4"	"3"	"1"	"2"	"396"	"14"	"4"	"2"	"2"	"43"	"3"	"2"	"0"	"59"	"29"	"9"	"43"	"11"	"5"	"7"	"4"	"1"	"3"	"21"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"12"	"0"	"0"	"282"	"282"	"1"	"0"
"5160"	"4"	"3"	"1"	"2"	"400"	"18"	"3"	"4"	"1"	"36"	"3"	"2"	"2"	"52"	"43"	"6"	"33"	"9"	"1"	"16"	"4"	"1"	"6"	"17"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"2"	"5"	"0"	"274"	"274"	"1"	"0"
"5161"	"4"	"3"	"1"	"2"	"396"	"25"	"4"	"7"	"6"	"39"	"5"	"2"	"0"	"40"	"42"	"7"	"45"	"9"	"4"	"7"	"4"	"0"	"2"	"16"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"6"	"1"	"0"	"282"	"282"	"1"	"0"
"5162"	"4"	"3"	"1"	"2"	"393"	"18"	"3"	"3"	"4"	"42"	"2"	"2"	"3"	"60"	"44"	"10"	"36"	"7"	"4"	"7"	"1"	"1"	"8"	"14"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"11"	"4"	"0"	"296"	"296"	"1"	"0"
"5163"	"4"	"3"	"1"	"2"	"400"	"23"	"7"	"6"	"2"	"50"	"1"	"5"	"1"	"47"	"30"	"7"	"45"	"10"	"2"	"5"	"1"	"0"	"2"	"11"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"1"	"0"	"281"	"281"	"1"	"0"
"5164"	"4"	"3"	"1"	"2"	"396"	"13"	"4"	"5"	"0"	"35"	"4"	"3"	"5"	"55"	"33"	"6"	"23"	"10"	"2"	"5"	"1"	"0"	"6"	"13"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"6"	"5"	"0"	"247"	"247"	"1"	"0"
"5165"	"4"	"3"	"1"	"2"	"400"	"14"	"2"	"2"	"3"	"24"	"3"	"2"	"4"	"53"	"36"	"9"	"32"	"12"	"2"	"6"	"1"	"0"	"1"	"19"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"232"	"8"	"8"	"0"	"250"	"248"	"0"	"0"
"5166"	"4"	"3"	"1"	"2"	"348"	"19"	"2"	"0"	"4"	"37"	"3"	"4"	"1"	"47"	"34"	"5"	"45"	"8"	"1"	"5"	"1"	"1"	"3"	"12"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"1"	"0"	"243"	"243"	"1"	"0"
"5167"	"4"	"3"	"1"	"2"	"347"	"10"	"5"	"3"	"0"	"37"	"6"	"4"	"1"	"45"	"30"	"3"	"42"	"5"	"1"	"9"	"5"	"1"	"2"	"10"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"2"	"1"	"0"	"230"	"230"	"1"	"0"
"5168"	"4"	"3"	"1"	"2"	"396"	"37"	"5"	"4"	"11"	"25"	"4"	"2"	"4"	"38"	"24"	"8"	"46"	"4"	"6"	"8"	"0"	"1"	"8"	"11"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"0"	"0"	"261"	"261"	"1"	"0"
"5169"	"4"	"3"	"1"	"2"	"400"	"19"	"3"	"4"	"3"	"30"	"4"	"6"	"2"	"48"	"32"	"13"	"34"	"11"	"10"	"2"	"1"	"2"	"0"	"14"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"2"	"0"	"261"	"261"	"1"	"0"
"5170"	"4"	"3"	"1"	"2"	"396"	"14"	"7"	"4"	"4"	"31"	"4"	"4"	"4"	"55"	"28"	"5"	"53"	"10"	"8"	"10"	"1"	"1"	"3"	"12"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"19"	"2"	"0"	"286"	"286"	"1"	"0"
"5171"	"4"	"3"	"1"	"2"	"400"	"13"	"5"	"3"	"5"	"24"	"4"	"0"	"5"	"42"	"35"	"7"	"40"	"11"	"2"	"6"	"2"	"2"	"5"	"13"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"236"	"18"	"5"	"0"	"269"	"259"	"0"	"0"
"5172"	"4"	"3"	"1"	"2"	"396"	"26"	"4"	"2"	"8"	"36"	"6"	"7"	"9"	"41"	"43"	"11"	"33"	"5"	"2"	"5"	"0"	"2"	"4"	"13"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"6"	"5"	"0"	"280"	"280"	"1"	"0"
"5173"	"4"	"3"	"1"	"2"	"398"	"24"	"5"	"2"	"6"	"34"	"8"	"2"	"4"	"57"	"42"	"5"	"44"	"8"	"3"	"8"	"1"	"1"	"3"	"16"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"14"	"3"	"0"	"304"	"304"	"1"	"0"
"5174"	"4"	"3"	"1"	"2"	"394"	"27"	"4"	"2"	"5"	"34"	"3"	"1"	"6"	"51"	"39"	"9"	"35"	"8"	"0"	"9"	"1"	"2"	"2"	"17"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"274"	"17"	"3"	"0"	"295"	"294"	"0"	"0"
"5175"	"4"	"3"	"1"	"2"	"400"	"23"	"6"	"7"	"3"	"23"	"4"	"2"	"3"	"42"	"31"	"20"	"33"	"15"	"1"	"11"	"2"	"1"	"5"	"20"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"2"	"0"	"270"	"270"	"1"	"0"
"5176"	"4"	"3"	"1"	"2"	"396"	"16"	"4"	"3"	"8"	"34"	"7"	"1"	"4"	"34"	"37"	"5"	"38"	"10"	"1"	"1"	"2"	"0"	"5"	"17"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"9"	"2"	"0"	"252"	"252"	"1"	"0"
"5177"	"4"	"3"	"1"	"2"	"400"	"20"	"4"	"2"	"3"	"25"	"2"	"4"	"5"	"35"	"29"	"13"	"43"	"13"	"7"	"5"	"0"	"1"	"2"	"23"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"2"	"0"	"260"	"260"	"1"	"0"
"5178"	"4"	"3"	"1"	"2"	"400"	"15"	"7"	"7"	"3"	"29"	"6"	"6"	"6"	"42"	"35"	"10"	"33"	"6"	"2"	"3"	"1"	"2"	"3"	"24"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"6"	"1"	"0"	"263"	"263"	"1"	"0"
"5179"	"4"	"3"	"1"	"2"	"396"	"20"	"4"	"6"	"0"	"19"	"6"	"0"	"3"	"45"	"36"	"14"	"37"	"4"	"1"	"17"	"2"	"0"	"3"	"17"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"245"	"10"	"6"	"0"	"271"	"261"	"0"	"0"
"5180"	"4"	"3"	"1"	"2"	"400"	"24"	"1"	"4"	"5"	"26"	"9"	"6"	"2"	"54"	"41"	"12"	"56"	"7"	"3"	"8"	"1"	"0"	"7"	"17"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"12"	"1"	"0"	"304"	"304"	"1"	"0"
"5181"	"4"	"3"	"1"	"2"	"400"	"23"	"7"	"3"	"5"	"23"	"10"	"6"	"1"	"50"	"43"	"12"	"29"	"8"	"3"	"4"	"3"	"1"	"2"	"14"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"2"	"0"	"274"	"274"	"1"	"0"
"5182"	"4"	"3"	"1"	"2"	"400"	"22"	"10"	"4"	"4"	"49"	"3"	"6"	"4"	"43"	"25"	"7"	"38"	"14"	"2"	"12"	"3"	"0"	"2"	"15"	"1"	"7"	"38"	"14"	"2"	"12"	"3"	"0"	"2"	"15"	"1"	"272"	"272"	"11"	"1"	"0"	"284"	"284"	"1"	"0"
"5183"	"4"	"3"	"1"	"2"	"0"	"14"	"4"	"2"	"5"	"33"	"3"	"4"	"8"	"57"	"26"	"12"	"35"	"9"	"6"	"5"	"5"	"2"	"2"	"13"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"13"	"0"	"0"	"263"	"263"	"1"	"0"
"5184"	"4"	"3"	"1"	"2"	"396"	"15"	"9"	"3"	"4"	"15"	"5"	"5"	"0"	"41"	"29"	"8"	"37"	"12"	"4"	"8"	"1"	"0"	"2"	"16"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"7"	"1"	"0"	"235"	"235"	"1"	"0"
"5185"	"4"	"3"	"1"	"2"	"400"	"15"	"7"	"2"	"3"	"22"	"6"	"1"	"5"	"46"	"23"	"9"	"34"	"5"	"13"	"5"	"1"	"0"	"4"	"12"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"8"	"3"	"0"	"234"	"234"	"1"	"0"
"5186"	"4"	"3"	"1"	"2"	"400"	"14"	"4"	"4"	"4"	"30"	"2"	"5"	"4"	"50"	"20"	"14"	"40"	"5"	"5"	"6"	"0"	"0"	"4"	"16"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"0"	"0"	"250"	"250"	"1"	"0"
"5187"	"4"	"3"	"1"	"2"	"366"	"24"	"4"	"5"	"1"	"32"	"3"	"8"	"3"	"48"	"26"	"13"	"30"	"10"	"5"	"12"	"3"	"0"	"3"	"11"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"6"	"1"	"0"	"262"	"262"	"1"	"0"
"5188"	"4"	"3"	"1"	"2"	"368"	"15"	"3"	"3"	"4"	"35"	"9"	"3"	"5"	"50"	"15"	"14"	"29"	"11"	"2"	"6"	"3"	"0"	"2"	"14"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"3"	"2"	"0"	"239"	"239"	"1"	"0"
"5189"	"4"	"3"	"1"	"2"	"398"	"10"	"7"	"7"	"2"	"23"	"0"	"0"	"3"	"53"	"39"	"11"	"58"	"23"	"8"	"5"	"9"	"0"	"3"	"4"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"8"	"2"	"0"	"288"	"288"	"1"	"0"
"5190"	"4"	"3"	"1"	"2"	"400"	"14"	"3"	"0"	"1"	"29"	"5"	"0"	"4"	"49"	"30"	"4"	"57"	"22"	"2"	"4"	"4"	"6"	"3"	"16"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"9"	"6"	"0"	"280"	"280"	"1"	"0"
"5191"	"4"	"3"	"1"	"2"	"396"	"12"	"8"	"2"	"3"	"30"	"6"	"1"	"0"	"61"	"44"	"5"	"68"	"26"	"6"	"5"	"5"	"2"	"1"	"8"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"6"	"0"	"0"	"308"	"308"	"1"	"0"
"5192"	"4"	"3"	"1"	"2"	"396"	"21"	"8"	"2"	"4"	"32"	"5"	"2"	"1"	"70"	"28"	"10"	"58"	"26"	"1"	"4"	"6"	"0"	"4"	"18"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"10"	"2"	"0"	"319"	"319"	"1"	"0"
"5193"	"4"	"3"	"1"	"2"	"396"	"15"	"5"	"3"	"1"	"23"	"2"	"4"	"4"	"80"	"34"	"7"	"52"	"28"	"4"	"2"	"8"	"2"	"7"	"7"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"10"	"6"	"0"	"310"	"310"	"1"	"0"
"5194"	"4"	"3"	"1"	"2"	"400"	"9"	"9"	"3"	"3"	"51"	"8"	"1"	"2"	"61"	"22"	"4"	"41"	"19"	"1"	"6"	"9"	"0"	"4"	"15"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"6"	"0"	"0"	"282"	"282"	"1"	"0"
"5195"	"4"	"3"	"1"	"2"	"0"	"10"	"3"	"4"	"3"	"38"	"3"	"0"	"3"	"65"	"17"	"5"	"58"	"11"	"6"	"3"	"9"	"0"	"2"	"16"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"3"	"3"	"0"	"273"	"273"	"1"	"0"
"5196"	"4"	"3"	"1"	"2"	"400"	"16"	"6"	"3"	"2"	"42"	"8"	"2"	"3"	"60"	"27"	"4"	"57"	"17"	"4"	"2"	"1"	"0"	"4"	"14"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"6"	"0"	"0"	"290"	"290"	"1"	"0"
"5197"	"4"	"3"	"1"	"2"	"400"	"16"	"9"	"4"	"3"	"31"	"3"	"5"	"4"	"66"	"31"	"12"	"48"	"15"	"1"	"10"	"4"	"0"	"2"	"12"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"8"	"4"	"0"	"297"	"297"	"1"	"0"
"5198"	"4"	"3"	"1"	"2"	"400"	"18"	"7"	"2"	"4"	"37"	"8"	"1"	"1"	"59"	"38"	"6"	"41"	"17"	"3"	"8"	"5"	"0"	"2"	"16"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"8"	"1"	"0"	"291"	"291"	"1"	"0"
"5199"	"4"	"3"	"1"	"2"	"400"	"15"	"5"	"1"	"2"	"40"	"5"	"3"	"2"	"72"	"29"	"11"	"51"	"26"	"7"	"2"	"3"	"2"	"6"	"15"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"5"	"2"	"0"	"315"	"315"	"1"	"0"
"5200"	"4"	"3"	"1"	"2"	"400"	"12"	"10"	"1"	"5"	"32"	"6"	"2"	"8"	"62"	"26"	"7"	"44"	"15"	"6"	"3"	"4"	"1"	"2"	"9"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"10"	"1"	"0"	"275"	"275"	"1"	"0"
"5201"	"4"	"3"	"1"	"2"	"400"	"12"	"2"	"2"	"0"	"30"	"0"	"0"	"3"	"59"	"24"	"5"	"53"	"13"	"4"	"2"	"5"	"1"	"3"	"15"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"241"	"11"	"2"	"0"	"258"	"254"	"0"	"0"
"5202"	"4"	"3"	"1"	"2"	"395"	"11"	"10"	"5"	"1"	"35"	"4"	"5"	"7"	"58"	"25"	"10"	"43"	"15"	"4"	"5"	"5"	"2"	"3"	"13"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"4"	"2"	"0"	"279"	"279"	"1"	"0"
"5203"	"4"	"3"	"1"	"2"	"297"	"6"	"7"	"1"	"1"	"26"	"3"	"0"	"3"	"55"	"22"	"4"	"48"	"12"	"2"	"3"	"6"	"0"	"1"	"9"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"0"	"0"	"226"	"226"	"1"	"0"
"5204"	"4"	"3"	"1"	"2"	"297"	"8"	"2"	"2"	"1"	"28"	"4"	"1"	"3"	"43"	"9"	"3"	"46"	"10"	"2"	"3"	"3"	"1"	"1"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"6"	"0"	"0"	"189"	"189"	"1"	"0"
