"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"CREO"	"TODOS"	"EG"	"EL_ZOMPOPO"	"PHG"	"FCN_NACION"	"PPT"	"UNE"	"CASA"	"PODEMOS"	"CHICH"	"FUERZA"	"PC"	"BIEN"	"UNIONISTA"	"UCN"	"MLP"	"SOL"	"LIBRE"	"SEMILLA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5220"	"4"	"3"	"1"	"2"	"396"	"16"	"19"	"9"	"2"	"26"	"3"	"6"	"5"	"44"	"23"	"9"	"44"	"10"	"3"	"4"	"0"	"0"	"2"	"12"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"17"	"2"	"0"	"266"	"266"	"1"	"0"
"5221"	"4"	"3"	"1"	"2"	"400"	"16"	"19"	"6"	"1"	"21"	"5"	"2"	"1"	"43"	"25"	"10"	"49"	"25"	"2"	"6"	"2"	"2"	"3"	"8"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"7"	"1"	"0"	"264"	"264"	"1"	"0"
"5222"	"4"	"3"	"1"	"2"	"400"	"17"	"17"	"8"	"2"	"22"	"3"	"3"	"4"	"53"	"23"	"10"	"33"	"15"	"1"	"3"	"1"	"2"	"2"	"8"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"14"	"3"	"0"	"252"	"252"	"1"	"0"
"5223"	"4"	"3"	"1"	"2"	"400"	"13"	"15"	"1"	"1"	"18"	"3"	"3"	"4"	"31"	"22"	"4"	"43"	"6"	"3"	"5"	"1"	"0"	"4"	"11"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"10"	"2"	"0"	"216"	"216"	"1"	"0"
"5224"	"4"	"3"	"1"	"2"	"396"	"20"	"16"	"4"	"0"	"24"	"10"	"0"	"2"	"56"	"28"	"6"	"31"	"8"	"1"	"3"	"2"	"1"	"2"	"10"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"8"	"2"	"0"	"247"	"247"	"1"	"0"
"5225"	"4"	"3"	"1"	"2"	"396"	"25"	"22"	"4"	"1"	"29"	"4"	"1"	"3"	"53"	"35"	"12"	"43"	"21"	"1"	"5"	"2"	"5"	"3"	"10"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"8"	"4"	"0"	"310"	"310"	"1"	"0"
"5226"	"4"	"3"	"1"	"2"	"396"	"14"	"18"	"7"	"1"	"25"	"9"	"2"	"1"	"50"	"13"	"7"	"38"	"12"	"3"	"3"	"1"	"1"	"5"	"9"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"1"	"0"	"240"	"240"	"1"	"0"
"5227"	"4"	"3"	"1"	"2"	"376"	"64"	"4"	"4"	"1"	"27"	"0"	"1"	"1"	"45"	"16"	"0"	"40"	"6"	"4"	"2"	"3"	"4"	"0"	"35"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"23"	"6"	"0"	"287"	"287"	"1"	"0"
"5228"	"4"	"3"	"1"	"2"	"375"	"72"	"3"	"1"	"1"	"30"	"1"	"2"	"0"	"28"	"13"	"1"	"33"	"5"	"2"	"0"	"3"	"2"	"2"	"24"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"11"	"10"	"0"	"250"	"250"	"1"	"0"
"5229"	"4"	"3"	"1"	"2"	"376"	"76"	"2"	"1"	"3"	"28"	"1"	"1"	"1"	"26"	"10"	"4"	"37"	"8"	"2"	"2"	"2"	"1"	"0"	"41"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"15"	"7"	"0"	"271"	"271"	"1"	"0"
"5230"	"4"	"3"	"1"	"2"	"376"	"73"	"3"	"1"	"1"	"34"	"4"	"1"	"0"	"27"	"8"	"3"	"36"	"4"	"3"	"0"	"1"	"0"	"2"	"28"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"13"	"5"	"0"	"249"	"249"	"1"	"0"
"5231"	"4"	"3"	"1"	"2"	"375"	"80"	"5"	"3"	"2"	"30"	"2"	"1"	"4"	"34"	"10"	"5"	"42"	"5"	"8"	"3"	"0"	"4"	"3"	"22"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"4"	"0"	"279"	"279"	"1"	"0"
"5232"	"4"	"3"	"1"	"2"	"376"	"75"	"3"	"2"	"1"	"25"	"2"	"1"	"4"	"17"	"16"	"1"	"29"	"5"	"5"	"0"	"1"	"1"	"2"	"40"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"3"	"0"	"246"	"246"	"1"	"0"
