"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"RETO"	"UCN"	"PC"	"VAMOS"	"RENACER_CHIQUIMULILLA"	"FCN_NACION"	"WINAQ"	"TODOS"	"UNE"	"CREO"	"VALOR"	"SEMILLA"	"PHG"	"CCP"	"PAN"	"MLP"	"EG"	"AVANZA"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7635"	"4"	"6"	"8"	"2"	"380"	"14"	"11"	"48"	"23"	"0"	"20"	"0"	"4"	"89"	"0"	"3"	"3"	"39"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"13"	"7"	"1"	"277"	"277"	"1"	"0"
"7636"	"4"	"6"	"8"	"2"	"380"	"17"	"11"	"47"	"29"	"0"	"19"	"0"	"4"	"64"	"0"	"1"	"3"	"54"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"4"	"6"	"0"	"261"	"261"	"1"	"0"
"7637"	"4"	"6"	"8"	"2"	"364"	"18"	"12"	"46"	"24"	"0"	"19"	"0"	"2"	"45"	"0"	"1"	"1"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"6"	"3"	"0"	"209"	"209"	"1"	"0"
"7638"	"4"	"6"	"8"	"2"	"363"	"12"	"14"	"46"	"21"	"0"	"15"	"0"	"1"	"53"	"1"	"3"	"2"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"6"	"4"	"0"	"213"	"213"	"1"	"0"
"7639"	"4"	"6"	"8"	"2"	"380"	"7"	"1"	"18"	"6"	"2"	"35"	"0"	"5"	"101"	"1"	"4"	"2"	"17"	"1"	"3"	"17"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"7"	"8"	"0"	"237"	"237"	"1"	"0"
"7640"	"4"	"6"	"8"	"2"	"380"	"4"	"10"	"19"	"6"	"2"	"39"	"0"	"10"	"91"	"0"	"0"	"3"	"29"	"1"	"2"	"20"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"7"	"6"	"0"	"251"	"251"	"1"	"0"
"7641"	"4"	"6"	"8"	"2"	"380"	"5"	"3"	"18"	"4"	"4"	"21"	"0"	"6"	"69"	"1"	"4"	"1"	"21"	"2"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"1"	"7"	"0"	"188"	"187"	"0"	"1"
"7642"	"4"	"6"	"8"	"2"	"222"	"4"	"0"	"12"	"1"	"3"	"21"	"0"	"5"	"48"	"1"	"2"	"0"	"6"	"1"	"1"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"7"	"2"	"0"	"128"	"128"	"1"	"0"
"7643"	"4"	"6"	"8"	"2"	"221"	"8"	"4"	"14"	"3"	"1"	"16"	"0"	"5"	"28"	"0"	"1"	"2"	"15"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"4"	"1"	"0"	"121"	"121"	"1"	"0"
"7644"	"4"	"6"	"8"	"2"	"380"	"14"	"14"	"72"	"3"	"3"	"49"	"1"	"1"	"88"	"1"	"1"	"9"	"42"	"0"	"2"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"11"	"5"	"0"	"328"	"328"	"1"	"0"
"7645"	"4"	"6"	"8"	"2"	"380"	"9"	"23"	"64"	"3"	"0"	"47"	"0"	"1"	"65"	"2"	"1"	"5"	"37"	"1"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"7"	"11"	"0"	"299"	"299"	"1"	"0"
"7646"	"4"	"6"	"8"	"2"	"208"	"5"	"11"	"21"	"3"	"0"	"26"	"0"	"0"	"37"	"0"	"1"	"2"	"33"	"2"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"156"	"4"	"3"	"0"	"164"	"163"	"0"	"0"
"7647"	"4"	"6"	"8"	"2"	"207"	"4"	"6"	"34"	"1"	"0"	"28"	"0"	"0"	"40"	"0"	"1"	"3"	"35"	"1"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"2"	"2"	"0"	"168"	"168"	"1"	"0"
"7648"	"4"	"6"	"8"	"2"	"600"	"14"	"4"	"42"	"12"	"4"	"13"	"2"	"5"	"18"	"3"	"3"	"3"	"18"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"7"	"1"	"0"	"157"	"157"	"1"	"0"
"7649"	"4"	"6"	"8"	"2"	"600"	"7"	"9"	"40"	"15"	"2"	"14"	"0"	"6"	"24"	"0"	"5"	"3"	"17"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"7"	"4"	"0"	"159"	"159"	"1"	"0"
"7650"	"4"	"6"	"8"	"2"	"600"	"10"	"4"	"27"	"12"	"2"	"12"	"2"	"7"	"11"	"2"	"4"	"8"	"20"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"4"	"1"	"0"	"131"	"131"	"1"	"0"
"7651"	"4"	"6"	"8"	"2"	"601"	"12"	"3"	"26"	"16"	"1"	"9"	"0"	"4"	"20"	"1"	"6"	"3"	"11"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"8"	"3"	"0"	"128"	"128"	"1"	"0"
"7652"	"4"	"6"	"8"	"2"	"464"	"5"	"1"	"9"	"6"	"0"	"7"	"0"	"2"	"10"	"0"	"3"	"2"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"52"	"52"	"2"	"0"	"0"	"54"	"54"	"1"	"0"
"7653"	"4"	"6"	"8"	"2"	"464"	"3"	"3"	"3"	"2"	"0"	"3"	"0"	"0"	"7"	"0"	"2"	"2"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"31"	"31"	"0"	"1"	"0"	"32"	"32"	"1"	"0"
