"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UCN"	"FCN_NACION"	"UNE"	"CREO"	"UNIONISTA"	"VAMOS"	"URNG_MAIZ"	"SEMILLA"	"VIVA"	"FUERZA"	"MLP"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18166"	"4"	"17"	"12"	"2"	"379"	"3"	"27"	"27"	"50"	"7"	"2"	"3"	"0"	"0"	"39"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"6"	"2"	"0"	"182"	"182"	"1"	"0"
"18167"	"4"	"17"	"12"	"2"	"221"	"4"	"23"	"18"	"25"	"2"	"1"	"2"	"1"	"0"	"29"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"2"	"2"	"0"	"110"	"110"	"1"	"0"
"18168"	"4"	"17"	"12"	"2"	"220"	"3"	"11"	"9"	"34"	"3"	"2"	"2"	"1"	"0"	"19"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"91"	"91"	"6"	"4"	"0"	"101"	"101"	"1"	"0"
"18169"	"4"	"17"	"12"	"2"	"383"	"17"	"11"	"11"	"112"	"2"	"9"	"7"	"0"	"1"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"11"	"5"	"0"	"208"	"208"	"1"	"0"
"18170"	"4"	"17"	"12"	"2"	"381"	"17"	"9"	"7"	"96"	"2"	"6"	"4"	"0"	"2"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"15"	"10"	"0"	"180"	"180"	"1"	"0"
"18171"	"4"	"17"	"12"	"2"	"381"	"8"	"10"	"10"	"109"	"2"	"9"	"0"	"1"	"1"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"13"	"5"	"0"	"183"	"183"	"1"	"0"
"18172"	"4"	"17"	"12"	"2"	"250"	"4"	"7"	"9"	"71"	"1"	"1"	"0"	"0"	"2"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"6"	"8"	"0"	"123"	"123"	"1"	"0"
"18173"	"4"	"17"	"12"	"2"	"249"	"10"	"4"	"15"	"79"	"0"	"7"	"2"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"4"	"2"	"0"	"132"	"132"	"1"	"0"
"18174"	"4"	"17"	"12"	"2"	"380"	"8"	"13"	"2"	"63"	"1"	"13"	"3"	"2"	"0"	"43"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"16"	"9"	"0"	"180"	"180"	"1"	"0"
"18175"	"4"	"17"	"12"	"2"	"380"	"11"	"12"	"2"	"67"	"3"	"11"	"1"	"4"	"1"	"53"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"28"	"2"	"0"	"200"	"200"	"1"	"0"
"18176"	"4"	"17"	"12"	"2"	"381"	"8"	"9"	"3"	"71"	"0"	"14"	"3"	"7"	"0"	"43"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"14"	"7"	"0"	"183"	"183"	"1"	"0"
"18177"	"4"	"17"	"12"	"2"	"200"	"7"	"3"	"2"	"41"	"0"	"5"	"0"	"1"	"1"	"20"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"7"	"3"	"0"	"92"	"92"	"1"	"0"
"18178"	"4"	"17"	"12"	"2"	"199"	"6"	"5"	"1"	"24"	"0"	"6"	"0"	"0"	"1"	"22"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"5"	"1"	"0"	"76"	"76"	"1"	"0"
"18179"	"4"	"17"	"12"	"2"	"380"	"9"	"20"	"49"	"54"	"2"	"3"	"5"	"3"	"1"	"53"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"15"	"4"	"0"	"228"	"228"	"1"	"1"
"18180"	"4"	"17"	"12"	"2"	"380"	"22"	"30"	"38"	"26"	"0"	"2"	"7"	"2"	"2"	"44"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"18"	"7"	"0"	"202"	"202"	"1"	"0"
"18181"	"4"	"17"	"12"	"2"	"358"	"9"	"30"	"42"	"34"	"3"	"2"	"4"	"1"	"0"	"26"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"16"	"6"	"0"	"186"	"186"	"1"	"0"
"18182"	"4"	"17"	"12"	"2"	"354"	"6"	"19"	"36"	"29"	"1"	"2"	"4"	"1"	"1"	"21"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"16"	"9"	"0"	"158"	"158"	"1"	"0"
"18183"	"4"	"17"	"12"	"2"	"600"	"2"	"46"	"26"	"34"	"7"	"13"	"5"	"1"	"2"	"47"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"19"	"5"	"0"	"209"	"209"	"1"	"0"
"18184"	"4"	"17"	"12"	"2"	"600"	"5"	"41"	"46"	"24"	"4"	"8"	"7"	"2"	"3"	"60"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"12"	"4"	"0"	"221"	"221"	"1"	"0"
"18185"	"4"	"17"	"12"	"2"	"466"	"3"	"40"	"27"	"13"	"4"	"8"	"2"	"2"	"2"	"41"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"5"	"5"	"0"	"157"	"157"	"1"	"0"
"18186"	"4"	"17"	"12"	"2"	"466"	"1"	"19"	"14"	"6"	"2"	"3"	"5"	"3"	"0"	"15"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"6"	"4"	"0"	"82"	"82"	"1"	"0"
