"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"FUERZA"	"MAS_UNIDOS"	"EG"	"CREO"	"VAMOS"	"PODEMOS"	"PPT"	"BIEN"	"PHG"	"LIBRE"	"FCN_NACION"	"AVANZA"	"UNE"	"MLP"	"PC"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5325"	"4"	"3"	"3"	"2"	"400"	"4"	"20"	"38"	"41"	"32"	"20"	"10"	"13"	"7"	"10"	"7"	"3"	"1"	"11"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"4"	"0"	"236"	"236"	"1"	"1"
"5326"	"4"	"3"	"3"	"2"	"400"	"0"	"12"	"46"	"34"	"33"	"9"	"15"	"19"	"7"	"12"	"6"	"1"	"0"	"10"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"3"	"1"	"0"	"221"	"221"	"1"	"0"
"5327"	"4"	"3"	"3"	"2"	"400"	"2"	"17"	"52"	"32"	"30"	"12"	"22"	"9"	"10"	"10"	"6"	"1"	"1"	"8"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"3"	"0"	"0"	"223"	"223"	"1"	"0"
"5328"	"4"	"3"	"3"	"2"	"399"	"3"	"18"	"44"	"40"	"30"	"20"	"10"	"4"	"11"	"10"	"5"	"2"	"3"	"11"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"8"	"3"	"0"	"235"	"235"	"1"	"0"
"5329"	"4"	"3"	"3"	"2"	"400"	"7"	"16"	"37"	"41"	"26"	"20"	"15"	"15"	"3"	"9"	"6"	"2"	"3"	"12"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"13"	"6"	"0"	"251"	"251"	"1"	"0"
"5330"	"4"	"3"	"3"	"2"	"399"	"5"	"10"	"42"	"43"	"39"	"15"	"11"	"11"	"6"	"13"	"4"	"1"	"5"	"2"	"4"	"15"	"0"	"0"	"0"	"0"	"4"	"1"	"5"	"2"	"4"	"15"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"7"	"0"	"245"	"245"	"1"	"0"
"5331"	"4"	"3"	"3"	"2"	"400"	"4"	"18"	"45"	"40"	"40"	"16"	"8"	"14"	"3"	"17"	"5"	"2"	"1"	"7"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"3"	"6"	"0"	"246"	"246"	"1"	"0"
"5332"	"4"	"3"	"3"	"2"	"400"	"4"	"24"	"59"	"36"	"26"	"13"	"8"	"12"	"12"	"12"	"4"	"2"	"1"	"17"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"6"	"5"	"0"	"250"	"250"	"1"	"0"
"5333"	"4"	"3"	"3"	"2"	"404"	"3"	"17"	"53"	"28"	"33"	"11"	"7"	"16"	"7"	"5"	"6"	"4"	"0"	"12"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"7"	"16"	"0"	"239"	"239"	"1"	"0"
"5334"	"4"	"3"	"3"	"2"	"401"	"6"	"9"	"37"	"34"	"34"	"15"	"15"	"16"	"10"	"10"	"4"	"1"	"2"	"12"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"16"	"11"	"0"	"242"	"242"	"1"	"0"
"5335"	"4"	"3"	"3"	"2"	"400"	"1"	"21"	"49"	"36"	"30"	"13"	"13"	"9"	"9"	"15"	"6"	"3"	"4"	"6"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"6"	"0"	"255"	"255"	"1"	"0"
"5336"	"4"	"3"	"3"	"2"	"400"	"6"	"26"	"56"	"40"	"29"	"9"	"15"	"8"	"9"	"18"	"6"	"2"	"4"	"15"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"4"	"4"	"0"	"261"	"261"	"1"	"0"
"5337"	"4"	"3"	"3"	"2"	"400"	"8"	"20"	"36"	"47"	"34"	"12"	"10"	"8"	"7"	"12"	"3"	"2"	"9"	"21"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"6"	"7"	"0"	"261"	"261"	"1"	"0"
"5338"	"4"	"3"	"3"	"2"	"400"	"4"	"19"	"48"	"57"	"33"	"9"	"15"	"12"	"8"	"12"	"4"	"5"	"5"	"7"	"5"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"5"	"6"	"1"	"269"	"269"	"1"	"0"
"5339"	"4"	"3"	"3"	"2"	"400"	"4"	"20"	"54"	"44"	"32"	"12"	"14"	"14"	"8"	"3"	"2"	"1"	"5"	"11"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"18"	"7"	"0"	"265"	"265"	"1"	"0"
"5340"	"4"	"3"	"3"	"2"	"400"	"4"	"15"	"55"	"40"	"28"	"16"	"10"	"12"	"6"	"11"	"1"	"2"	"6"	"5"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"6"	"4"	"0"	"242"	"242"	"1"	"0"
"5341"	"4"	"3"	"3"	"2"	"401"	"4"	"23"	"49"	"30"	"28"	"11"	"9"	"7"	"6"	"8"	"6"	"4"	"8"	"6"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"12"	"8"	"0"	"235"	"235"	"1"	"0"
"5342"	"4"	"3"	"3"	"2"	"410"	"7"	"18"	"64"	"35"	"22"	"11"	"13"	"13"	"3"	"8"	"7"	"3"	"7"	"4"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"15"	"5"	"0"	"246"	"246"	"1"	"0"
"5343"	"4"	"3"	"3"	"2"	"400"	"4"	"17"	"32"	"43"	"21"	"9"	"12"	"18"	"11"	"11"	"3"	"1"	"0"	"7"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"7"	"2"	"0"	"210"	"210"	"1"	"0"
"5344"	"4"	"3"	"3"	"2"	"400"	"2"	"12"	"36"	"39"	"33"	"6"	"6"	"13"	"7"	"6"	"8"	"1"	"0"	"9"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"17"	"7"	"0"	"224"	"224"	"1"	"0"
