"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"WINAQ"	"FUERZA"	"UNIDOS"	"PPT"	"TODOS"	"VALOR"	"UCN"	"PC"	"UNIONISTA"	"FCN_NACION"	"UNE"	"URNG_MAIZ"	"PODEMOS"	"VICTORIA"	"PHG"	"SEMILLA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7090"	"4"	"5"	"11"	"2"	"357"	"69"	"2"	"3"	"5"	"10"	"2"	"2"	"1"	"63"	"1"	"0"	"85"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"2"	"3"	"0"	"256"	"256"	"1"	"0"
"7091"	"4"	"5"	"11"	"2"	"374"	"61"	"3"	"6"	"1"	"7"	"2"	"10"	"1"	"28"	"1"	"3"	"126"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"3"	"0"	"266"	"266"	"1"	"0"
"7092"	"4"	"5"	"11"	"2"	"376"	"73"	"4"	"6"	"0"	"2"	"4"	"8"	"0"	"32"	"4"	"4"	"115"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"9"	"3"	"0"	"269"	"269"	"1"	"0"
"7093"	"4"	"5"	"11"	"2"	"377"	"79"	"3"	"0"	"0"	"3"	"2"	"15"	"0"	"27"	"1"	"2"	"102"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"6"	"3"	"0"	"249"	"249"	"1"	"0"
"7094"	"4"	"5"	"11"	"2"	"377"	"73"	"2"	"5"	"0"	"6"	"1"	"9"	"0"	"28"	"0"	"1"	"99"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"7"	"0"	"249"	"249"	"1"	"0"
"7095"	"4"	"5"	"11"	"2"	"376"	"84"	"0"	"3"	"0"	"4"	"0"	"15"	"0"	"32"	"0"	"2"	"101"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"13"	"4"	"0"	"260"	"260"	"1"	"0"
"7096"	"4"	"5"	"11"	"2"	"283"	"48"	"0"	"2"	"1"	"5"	"0"	"7"	"0"	"17"	"1"	"3"	"71"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"9"	"2"	"0"	"170"	"170"	"1"	"0"
"7097"	"4"	"5"	"11"	"2"	"284"	"58"	"3"	"6"	"0"	"5"	"1"	"9"	"1"	"23"	"1"	"1"	"82"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"2"	"0"	"0"	"195"	"195"	"1"	"1"
"7098"	"4"	"5"	"11"	"2"	"0"	"112"	"3"	"1"	"1"	"10"	"3"	"2"	"0"	"49"	"2"	"4"	"77"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"17"	"6"	"0"	"293"	"293"	"1"	"0"
"7099"	"4"	"5"	"11"	"2"	"396"	"115"	"2"	"4"	"1"	"1"	"1"	"0"	"0"	"71"	"3"	"1"	"88"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"0"	"8"	"12"	"312"	"300"	"0"	"0"
"7100"	"4"	"5"	"11"	"2"	"0"	"122"	"2"	"3"	"2"	"6"	"1"	"3"	"2"	"62"	"0"	"3"	"176"	"1"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"390"	"14"	"6"	"0"	"310"	"410"	"0"	"0"
"7101"	"4"	"5"	"11"	"2"	"396"	"121"	"3"	"7"	"0"	"9"	"1"	"1"	"0"	"57"	"1"	"1"	"70"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"6"	"3"	"0"	"283"	"283"	"1"	"0"
"7102"	"4"	"5"	"11"	"2"	"400"	"105"	"1"	"1"	"3"	"2"	"3"	"1"	"0"	"58"	"0"	"1"	"100"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"19"	"0"	"1"	"298"	"298"	"1"	"1"
"7103"	"4"	"5"	"11"	"2"	"400"	"1"	"2"	"3"	"1"	"7"	"1"	"0"	"2"	"63"	"0"	"1"	"94"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"180"	"14"	"3"	"0"	"297"	"197"	"0"	"0"
"7104"	"4"	"5"	"11"	"2"	"400"	"121"	"2"	"2"	"0"	"5"	"0"	"1"	"0"	"61"	"0"	"0"	"83"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"12"	"5"	"0"	"298"	"298"	"1"	"0"
"7105"	"4"	"5"	"11"	"2"	"394"	"92"	"1"	"3"	"2"	"6"	"0"	"1"	"0"	"65"	"1"	"1"	"86"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"15"	"1"	"1"	"276"	"276"	"1"	"1"
"7106"	"4"	"5"	"11"	"2"	"212"	"58"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"37"	"0"	"0"	"46"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"2"	"0"	"0"	"148"	"148"	"1"	"0"
"7107"	"4"	"5"	"11"	"2"	"210"	"50"	"0"	"0"	"1"	"4"	"1"	"1"	"1"	"43"	"1"	"0"	"43"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"2"	"4"	"0"	"154"	"154"	"1"	"0"
