"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"VIVA"	"VAMOS"	"TODOS"	"FUERZA"	"EG"	"PHG"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15328"	"4"	"14"	"14"	"2"	"363"	"45"	"30"	"57"	"59"	"0"	"14"	"2"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"5"	"0"	"228"	"228"	"1"	"0"
"15329"	"4"	"14"	"14"	"2"	"380"	"34"	"26"	"128"	"42"	"1"	"5"	"0"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"18"	"7"	"0"	"284"	"284"	"1"	"0"
"15330"	"4"	"14"	"14"	"2"	"380"	"43"	"15"	"121"	"35"	"0"	"3"	"4"	"14"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"7"	"11"	"0"	"259"	"259"	"1"	"0"
"15331"	"4"	"14"	"14"	"2"	"380"	"48"	"16"	"114"	"43"	"0"	"6"	"2"	"12"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"11"	"0"	"272"	"272"	"1"	"0"
"15332"	"4"	"14"	"14"	"2"	"222"	"23"	"17"	"68"	"15"	"2"	"3"	"2"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"9"	"9"	"2"	"164"	"164"	"1"	"0"
"15333"	"4"	"14"	"14"	"2"	"222"	"30"	"13"	"74"	"25"	"1"	"4"	"1"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"2"	"3"	"0"	"164"	"164"	"1"	"0"
"15334"	"4"	"14"	"14"	"2"	"380"	"70"	"6"	"58"	"68"	"1"	"31"	"3"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"16"	"10"	"3"	"279"	"279"	"1"	"0"
"15335"	"4"	"14"	"14"	"2"	"380"	"73"	"5"	"55"	"66"	"0"	"36"	"1"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"4"	"10"	"14"	"262"	"262"	"1"	"0"
"15336"	"4"	"14"	"14"	"2"	"380"	"68"	"9"	"73"	"77"	"2"	"20"	"1"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"15"	"9"	"0"	"293"	"293"	"1"	"0"
"15337"	"4"	"14"	"14"	"2"	"379"	"52"	"12"	"57"	"69"	"3"	"20"	"1"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"6"	"3"	"0"	"244"	"244"	"1"	"0"
