"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"FCN_NACION"	"VAMOS"	"PC"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20877"	"4"	"22"	"14"	"2"	"380"	"4"	"37"	"155"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"8"	"6"	"0"	"236"	"236"	"1"	"1"
"20878"	"4"	"22"	"14"	"2"	"380"	"1"	"61"	"123"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"10"	"6"	"0"	"224"	"224"	"1"	"0"
"20879"	"4"	"22"	"14"	"2"	"380"	"7"	"68"	"136"	"5"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"5"	"0"	"263"	"263"	"1"	"0"
"20880"	"4"	"22"	"14"	"2"	"380"	"6"	"69"	"140"	"3"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"13"	"2"	"0"	"268"	"268"	"1"	"0"
"20881"	"4"	"22"	"14"	"2"	"366"	"7"	"63"	"113"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"22"	"5"	"0"	"235"	"235"	"1"	"0"
"20882"	"4"	"22"	"14"	"2"	"365"	"8"	"47"	"154"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"3"	"0"	"243"	"243"	"1"	"0"
"20883"	"4"	"22"	"14"	"2"	"380"	"8"	"58"	"109"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"25"	"4"	"0"	"247"	"247"	"1"	"0"
"20884"	"4"	"22"	"14"	"2"	"377"	"16"	"64"	"103"	"2"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"20"	"10"	"0"	"251"	"251"	"1"	"0"
"20885"	"4"	"22"	"14"	"2"	"380"	"9"	"63"	"103"	"4"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"7"	"13"	"0"	"246"	"246"	"1"	"1"
"20886"	"4"	"22"	"14"	"2"	"380"	"15"	"62"	"110"	"3"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"26"	"6"	"1"	"271"	"271"	"1"	"0"
"20887"	"4"	"22"	"14"	"2"	"380"	"23"	"49"	"111"	"6"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"41"	"4"	"2"	"279"	"279"	"1"	"0"
"20888"	"4"	"22"	"14"	"2"	"380"	"20"	"66"	"106"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"17"	"3"	"0"	"258"	"258"	"1"	"0"
"20889"	"4"	"22"	"14"	"2"	"380"	"18"	"48"	"128"	"3"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"30"	"5"	"0"	"267"	"267"	"1"	"0"
"20890"	"4"	"22"	"14"	"2"	"380"	"15"	"73"	"108"	"5"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"25"	"2"	"7"	"269"	"269"	"1"	"0"
"20891"	"4"	"22"	"14"	"2"	"377"	"22"	"57"	"96"	"4"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"25"	"9"	"0"	"262"	"262"	"1"	"0"
"20892"	"4"	"22"	"14"	"2"	"380"	"16"	"63"	"110"	"5"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"31"	"1"	"0"	"265"	"265"	"1"	"0"
"20893"	"4"	"22"	"14"	"2"	"380"	"16"	"58"	"103"	"5"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"18"	"6"	"0"	"248"	"248"	"1"	"0"
"20894"	"4"	"22"	"14"	"2"	"380"	"8"	"53"	"78"	"2"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"8"	"1"	"2"	"195"	"195"	"1"	"0"
"20895"	"4"	"22"	"14"	"2"	"380"	"10"	"57"	"98"	"4"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"16"	"4"	"0"	"225"	"225"	"1"	"0"
"20896"	"4"	"22"	"14"	"2"	"380"	"8"	"56"	"96"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"22"	"0"	"6"	"228"	"228"	"1"	"0"
"20897"	"4"	"22"	"14"	"2"	"380"	"18"	"54"	"112"	"3"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"3"	"0"	"251"	"251"	"1"	"1"
