"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"VIVA"	"BIEN"	"MLP"	"UNIDOS"	"UCN"	"VALOR"	"PHG"	"EG"	"PC"	"TODOS"	"SEMILLA"	"CONVERGENCIA"	"LIBRE"	"FCN_NACION"	"UNE"	"VICTORIA"	"URNG_MAIZ"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15224"	"4"	"14"	"13"	"2"	"399"	"1"	"12"	"22"	"3"	"2"	"0"	"4"	"37"	"0"	"75"	"1"	"0"	"4"	"1"	"0"	"74"	"1"	"4"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"16"	"18"	"0"	"331"	"331"	"1"	"0"
"15225"	"4"	"14"	"13"	"2"	"400"	"0"	"15"	"20"	"8"	"4"	"0"	"9"	"41"	"1"	"85"	"3"	"1"	"5"	"1"	"2"	"50"	"1"	"3"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"10"	"13"	"0"	"313"	"313"	"1"	"0"
"15226"	"4"	"14"	"13"	"2"	"400"	"0"	"20"	"34"	"2"	"2"	"1"	"10"	"64"	"0"	"60"	"2"	"0"	"5"	"0"	"2"	"62"	"1"	"4"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"3"	"5"	"0"	"300"	"300"	"1"	"0"
"15227"	"4"	"14"	"13"	"2"	"400"	"0"	"18"	"36"	"2"	"4"	"0"	"6"	"53"	"1"	"50"	"0"	"1"	"6"	"0"	"2"	"46"	"3"	"1"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"2"	"2"	"0"	"266"	"266"	"1"	"0"
"15228"	"4"	"14"	"13"	"2"	"396"	"0"	"17"	"23"	"3"	"2"	"0"	"9"	"50"	"1"	"54"	"4"	"0"	"2"	"2"	"0"	"47"	"1"	"2"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"3"	"1"	"0"	"247"	"247"	"1"	"0"
"15229"	"4"	"14"	"13"	"2"	"400"	"1"	"10"	"16"	"2"	"1"	"2"	"8"	"46"	"0"	"68"	"2"	"0"	"2"	"2"	"2"	"63"	"4"	"2"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"11"	"3"	"0"	"292"	"292"	"1"	"0"
"15230"	"4"	"14"	"13"	"2"	"400"	"1"	"13"	"19"	"3"	"4"	"1"	"4"	"44"	"1"	"54"	"2"	"3"	"6"	"1"	"0"	"80"	"2"	"7"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"7"	"7"	"0"	"291"	"291"	"1"	"0"
"15231"	"4"	"14"	"13"	"2"	"396"	"1"	"18"	"26"	"4"	"1"	"0"	"11"	"68"	"1"	"54"	"0"	"1"	"3"	"1"	"2"	"39"	"4"	"3"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"3"	"7"	"0"	"279"	"279"	"1"	"0"
"15232"	"4"	"14"	"13"	"2"	"400"	"0"	"22"	"29"	"0"	"2"	"0"	"11"	"56"	"0"	"50"	"1"	"1"	"4"	"0"	"2"	"64"	"1"	"6"	"35"	"0"	"1"	"1"	"4"	"0"	"2"	"64"	"1"	"6"	"35"	"0"	"284"	"284"	"11"	"12"	"0"	"307"	"307"	"1"	"0"
"15233"	"4"	"14"	"13"	"2"	"400"	"3"	"18"	"29"	"4"	"4"	"0"	"6"	"58"	"2"	"50"	"2"	"1"	"3"	"4"	"1"	"58"	"3"	"4"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"7"	"0"	"301"	"301"	"1"	"0"
"15234"	"4"	"14"	"13"	"2"	"400"	"0"	"17"	"22"	"4"	"1"	"0"	"9"	"52"	"2"	"52"	"2"	"0"	"0"	"3"	"4"	"83"	"1"	"3"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"5"	"4"	"0"	"304"	"304"	"1"	"0"
"15235"	"4"	"14"	"13"	"2"	"400"	"0"	"18"	"39"	"5"	"5"	"0"	"14"	"66"	"0"	"49"	"0"	"1"	"0"	"1"	"2"	"57"	"2"	"5"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"5"	"5"	"0"	"300"	"300"	"1"	"0"
"15236"	"4"	"14"	"13"	"2"	"396"	"0"	"17"	"22"	"2"	"2"	"1"	"4"	"71"	"0"	"56"	"3"	"0"	"1"	"1"	"3"	"62"	"3"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"7"	"1"	"286"	"286"	"1"	"0"
"15237"	"4"	"14"	"13"	"2"	"400"	"1"	"19"	"23"	"2"	"5"	"0"	"10"	"48"	"2"	"58"	"1"	"2"	"3"	"2"	"2"	"48"	"1"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"9"	"0"	"267"	"267"	"1"	"0"
"15238"	"4"	"14"	"13"	"2"	"400"	"0"	"12"	"27"	"0"	"1"	"0"	"9"	"53"	"0"	"68"	"0"	"2"	"2"	"2"	"1"	"52"	"4"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"4"	"5"	"0"	"269"	"269"	"1"	"0"
"15239"	"4"	"14"	"13"	"2"	"400"	"1"	"18"	"34"	"4"	"0"	"1"	"5"	"48"	"0"	"77"	"1"	"0"	"3"	"4"	"1"	"52"	"2"	"2"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"3"	"5"	"0"	"298"	"298"	"1"	"0"
"15240"	"4"	"14"	"13"	"2"	"396"	"1"	"25"	"43"	"3"	"1"	"2"	"12"	"49"	"0"	"65"	"2"	"2"	"2"	"2"	"1"	"54"	"6"	"6"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"2"	"1"	"0"	"322"	"322"	"1"	"0"
"15241"	"4"	"14"	"13"	"2"	"396"	"0"	"20"	"36"	"4"	"2"	"0"	"11"	"46"	"1"	"71"	"1"	"0"	"3"	"1"	"0"	"63"	"0"	"4"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"1"	"3"	"0"	"324"	"324"	"1"	"0"
"15242"	"4"	"14"	"13"	"2"	"296"	"3"	"11"	"21"	"3"	"1"	"0"	"3"	"41"	"0"	"55"	"0"	"0"	"5"	"1"	"1"	"44"	"0"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"2"	"2"	"0"	"243"	"243"	"1"	"0"
"15243"	"4"	"14"	"13"	"2"	"295"	"2"	"17"	"37"	"2"	"1"	"1"	"4"	"26"	"1"	"41"	"0"	"0"	"2"	"0"	"1"	"35"	"1"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"1"	"4"	"0"	"200"	"200"	"1"	"0"
"15244"	"4"	"14"	"13"	"2"	"400"	"1"	"11"	"30"	"3"	"0"	"0"	"3"	"36"	"0"	"77"	"4"	"0"	"3"	"1"	"2"	"58"	"1"	"1"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"10"	"9"	"0"	"290"	"290"	"1"	"0"
"15245"	"4"	"14"	"13"	"2"	"396"	"0"	"16"	"32"	"4"	"1"	"0"	"1"	"24"	"1"	"82"	"3"	"1"	"6"	"0"	"0"	"71"	"0"	"0"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"11"	"8"	"0"	"309"	"309"	"1"	"0"
