"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"WINAQ"	"FUERZA"	"VIVA"	"C_S_S_"	"UNE"	"UNIONISTA"	"PAN"	"AVANZA"	"LIBRE"	"SEMILLA"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4887"	"4"	"2"	"6"	"2"	"400"	"62"	"5"	"73"	"8"	"53"	"21"	"2"	"2"	"8"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"3"	"0"	"0"	"255"	"255"	"1"	"0"
"4888"	"4"	"2"	"6"	"2"	"400"	"68"	"3"	"65"	"11"	"60"	"36"	"0"	"3"	"2"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"5"	"2"	"0"	"265"	"265"	"1"	"0"
"4889"	"4"	"2"	"6"	"2"	"400"	"54"	"4"	"88"	"7"	"55"	"35"	"2"	"0"	"4"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"9"	"2"	"0"	"275"	"275"	"1"	"0"
"4890"	"4"	"2"	"6"	"2"	"400"	"59"	"3"	"82"	"10"	"50"	"40"	"2"	"3"	"1"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"0"	"0"	"281"	"281"	"1"	"0"
"4891"	"4"	"2"	"6"	"2"	"400"	"63"	"5"	"59"	"6"	"68"	"38"	"2"	"6"	"2"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"5"	"1"	"0"	"276"	"276"	"1"	"0"
"4892"	"4"	"2"	"6"	"2"	"400"	"60"	"2"	"64"	"6"	"70"	"23"	"3"	"1"	"6"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"8"	"1"	"0"	"264"	"264"	"1"	"0"
"4893"	"4"	"2"	"6"	"2"	"400"	"52"	"2"	"62"	"6"	"39"	"33"	"2"	"1"	"3"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"10"	"12"	"0"	"233"	"233"	"1"	"0"
"4894"	"4"	"2"	"6"	"2"	"400"	"57"	"4"	"53"	"10"	"51"	"26"	"5"	"4"	"4"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"4"	"2"	"0"	"228"	"228"	"1"	"0"
"4895"	"4"	"2"	"6"	"2"	"400"	"63"	"3"	"82"	"4"	"59"	"40"	"3"	"2"	"0"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"5"	"1"	"0"	"279"	"279"	"1"	"0"
"4896"	"4"	"2"	"6"	"2"	"386"	"58"	"7"	"72"	"7"	"68"	"33"	"2"	"2"	"7"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"3"	"0"	"0"	"278"	"278"	"1"	"0"
"4897"	"4"	"2"	"6"	"2"	"386"	"63"	"6"	"79"	"5"	"45"	"33"	"3"	"4"	"5"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"3"	"0"	"0"	"265"	"265"	"1"	"0"
"4898"	"4"	"2"	"6"	"2"	"380"	"54"	"5"	"66"	"3"	"14"	"31"	"2"	"11"	"5"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"9"	"4"	"0"	"219"	"219"	"1"	"0"
"4899"	"4"	"2"	"6"	"2"	"380"	"62"	"2"	"98"	"3"	"16"	"36"	"2"	"9"	"4"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"5"	"2"	"0"	"250"	"250"	"1"	"0"
"4900"	"4"	"2"	"6"	"2"	"380"	"60"	"2"	"86"	"5"	"22"	"25"	"2"	"9"	"6"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"4"	"5"	"0"	"238"	"238"	"1"	"0"
"4901"	"4"	"2"	"6"	"2"	"380"	"50"	"5"	"92"	"0"	"14"	"31"	"0"	"14"	"10"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"6"	"2"	"0"	"244"	"244"	"1"	"0"
"4902"	"4"	"2"	"6"	"2"	"380"	"87"	"4"	"71"	"9"	"12"	"21"	"1"	"22"	"3"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"0"	"0"	"255"	"255"	"1"	"0"
"4903"	"4"	"2"	"6"	"2"	"380"	"55"	"7"	"68"	"5"	"35"	"15"	"1"	"11"	"3"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"3"	"4"	"0"	"217"	"217"	"1"	"0"
"4904"	"4"	"2"	"6"	"2"	"204"	"37"	"4"	"35"	"0"	"14"	"16"	"0"	"4"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"7"	"3"	"0"	"129"	"129"	"1"	"0"
"4905"	"4"	"2"	"6"	"2"	"204"	"34"	"5"	"37"	"3"	"18"	"18"	"0"	"7"	"5"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"1"	"1"	"0"	"141"	"141"	"1"	"0"
"4906"	"4"	"2"	"6"	"2"	"400"	"72"	"7"	"70"	"10"	"70"	"13"	"0"	"5"	"23"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"6"	"4"	"0"	"300"	"300"	"1"	"0"
"4907"	"4"	"2"	"6"	"2"	"349"	"45"	"2"	"58"	"5"	"52"	"15"	"0"	"4"	"9"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"7"	"2"	"0"	"225"	"225"	"1"	"0"
"4908"	"4"	"2"	"6"	"2"	"350"	"49"	"1"	"48"	"3"	"33"	"28"	"0"	"1"	"18"	"0"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"11"	"2"	"0"	"221"	"221"	"1"	"0"
"4909"	"4"	"2"	"6"	"2"	"559"	"43"	"1"	"61"	"4"	"21"	"13"	"1"	"5"	"2"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"6"	"6"	"0"	"177"	"177"	"1"	"0"
"4910"	"4"	"2"	"6"	"2"	"559"	"44"	"4"	"45"	"9"	"47"	"29"	"3"	"2"	"1"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"6"	"7"	"0"	"213"	"213"	"1"	"0"
