"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"TODOS"	"UNE"	"VAMOS"	"FCN_NACION"	"CONVERGENCIA"	"UCN"	"CREO"	"FUERZA"	"UNIONISTA"	"PHG"	"VICTORIA"	"VALOR"	"SEMILLA"	"URNG_MAIZ"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12433"	"4"	"12"	"16"	"2"	"376"	"17"	"2"	"13"	"22"	"7"	"4"	"38"	"67"	"13"	"2"	"14"	"4"	"3"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"16"	"5"	"0"	"246"	"246"	"1"	"0"
"12434"	"4"	"12"	"16"	"2"	"380"	"14"	"0"	"16"	"27"	"14"	"1"	"14"	"66"	"10"	"4"	"18"	"9"	"11"	"14"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"12"	"3"	"0"	"245"	"245"	"1"	"4"
"12435"	"4"	"12"	"16"	"2"	"380"	"11"	"1"	"11"	"28"	"19"	"5"	"21"	"70"	"14"	"3"	"14"	"5"	"11"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"17"	"7"	"0"	"258"	"258"	"1"	"0"
"12436"	"4"	"12"	"16"	"2"	"376"	"9"	"1"	"19"	"16"	"10"	"3"	"14"	"81"	"14"	"3"	"29"	"5"	"6"	"34"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"8"	"5"	"0"	"262"	"262"	"1"	"0"
"12437"	"4"	"12"	"16"	"2"	"376"	"11"	"6"	"9"	"21"	"18"	"2"	"12"	"89"	"19"	"4"	"30"	"5"	"2"	"29"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"12"	"11"	"0"	"283"	"283"	"1"	"0"
"12438"	"4"	"12"	"16"	"2"	"376"	"8"	"1"	"16"	"25"	"12"	"2"	"17"	"102"	"13"	"1"	"15"	"5"	"3"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"13"	"6"	"0"	"258"	"258"	"1"	"0"
"12439"	"4"	"12"	"16"	"2"	"376"	"10"	"1"	"14"	"22"	"10"	"8"	"29"	"71"	"9"	"0"	"20"	"2"	"1"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"14"	"4"	"0"	"231"	"231"	"1"	"0"
"12440"	"4"	"12"	"16"	"2"	"376"	"7"	"1"	"14"	"13"	"9"	"4"	"22"	"73"	"15"	"5"	"24"	"4"	"3"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"14"	"3"	"0"	"230"	"230"	"1"	"0"
"12441"	"4"	"12"	"16"	"2"	"376"	"4"	"1"	"16"	"18"	"19"	"8"	"24"	"58"	"15"	"2"	"23"	"3"	"2"	"18"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"17"	"6"	"0"	"241"	"241"	"1"	"0"
"12442"	"4"	"12"	"16"	"2"	"376"	"3"	"0"	"10"	"21"	"12"	"2"	"18"	"45"	"11"	"4"	"17"	"8"	"5"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"22"	"5"	"0"	"203"	"203"	"1"	"0"
"12443"	"4"	"12"	"16"	"2"	"290"	"4"	"2"	"5"	"17"	"11"	"5"	"17"	"53"	"4"	"2"	"20"	"1"	"5"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"2"	"0"	"0"	"170"	"170"	"1"	"0"
"12444"	"4"	"12"	"16"	"2"	"289"	"4"	"1"	"10"	"22"	"11"	"2"	"24"	"52"	"6"	"0"	"15"	"8"	"6"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"2"	"1"	"0"	"177"	"177"	"1"	"0"
"12445"	"4"	"12"	"16"	"2"	"380"	"64"	"4"	"24"	"18"	"18"	"8"	"5"	"43"	"6"	"0"	"20"	"18"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"16"	"8"	"0"	"256"	"256"	"1"	"0"
"12446"	"4"	"12"	"16"	"2"	"376"	"75"	"3"	"17"	"7"	"21"	"7"	"6"	"40"	"4"	"1"	"19"	"21"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"13"	"0"	"248"	"248"	"1"	"0"
"12447"	"4"	"12"	"16"	"2"	"234"	"29"	"3"	"12"	"10"	"15"	"4"	"6"	"22"	"1"	"0"	"11"	"19"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"4"	"8"	"0"	"147"	"147"	"1"	"0"
"12448"	"4"	"12"	"16"	"2"	"233"	"34"	"2"	"11"	"10"	"17"	"4"	"3"	"33"	"4"	"1"	"5"	"16"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"1"	"1"	"0"	"145"	"145"	"1"	"0"
"12449"	"4"	"12"	"16"	"2"	"600"	"12"	"2"	"14"	"6"	"25"	"3"	"2"	"31"	"6"	"2"	"8"	"3"	"4"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"9"	"6"	"0"	"144"	"144"	"1"	"0"
"12450"	"4"	"12"	"16"	"2"	"311"	"8"	"2"	"8"	"4"	"12"	"2"	"1"	"13"	"1"	"1"	"5"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"1"	"3"	"0"	"68"	"68"	"1"	"0"
"12451"	"4"	"12"	"16"	"2"	"311"	"3"	"0"	"4"	"5"	"3"	"1"	"2"	"5"	"0"	"0"	"7"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"34"	"34"	"1"	"0"	"0"	"35"	"35"	"1"	"0"
