"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"FUERZA"	"UNE"	"UCN"	"TODOS"	"WINAQ"	"VIVA"	"VAMOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13723"	"4"	"13"	"13"	"2"	"380"	"3"	"34"	"67"	"27"	"19"	"48"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"10"	"0"	"275"	"275"	"1"	"0"
"13724"	"4"	"13"	"13"	"2"	"380"	"2"	"36"	"35"	"21"	"11"	"56"	"96"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"6"	"4"	"0"	"270"	"270"	"1"	"0"
"13725"	"4"	"13"	"13"	"2"	"380"	"0"	"29"	"31"	"13"	"9"	"46"	"108"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"4"	"0"	"252"	"252"	"1"	"0"
"13726"	"4"	"13"	"13"	"2"	"380"	"1"	"32"	"26"	"11"	"12"	"30"	"140"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"4"	"6"	"0"	"262"	"262"	"1"	"0"
"13727"	"4"	"13"	"13"	"2"	"380"	"3"	"32"	"33"	"21"	"5"	"65"	"83"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"6"	"0"	"256"	"256"	"1"	"0"
"13728"	"4"	"13"	"13"	"2"	"375"	"3"	"35"	"44"	"14"	"6"	"70"	"70"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"2"	"5"	"0"	"250"	"250"	"1"	"0"
"13729"	"4"	"13"	"13"	"2"	"380"	"3"	"31"	"38"	"24"	"9"	"40"	"74"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"3"	"0"	"231"	"231"	"1"	"0"
"13730"	"4"	"13"	"13"	"2"	"380"	"2"	"35"	"42"	"15"	"10"	"44"	"113"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"2"	"11"	"0"	"277"	"277"	"1"	"0"
"13731"	"4"	"13"	"13"	"2"	"380"	"1"	"32"	"32"	"19"	"8"	"51"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"6"	"5"	"0"	"222"	"222"	"1"	"0"
"13732"	"4"	"13"	"13"	"2"	"331"	"0"	"21"	"34"	"13"	"18"	"39"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"1"	"7"	"0"	"217"	"217"	"1"	"0"
