"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"UCN"	"TODOS"	"PAN"	"SEMILLA"	"PC"	"VALOR"	"UNE"	"BIEN"	"PHG"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14348"	"4"	"13"	"27"	"2"	"380"	"7"	"25"	"2"	"6"	"1"	"17"	"0"	"6"	"77"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"9"	"10"	"0"	"166"	"166"	"1"	"0"
"14349"	"4"	"13"	"27"	"2"	"380"	"9"	"14"	"1"	"3"	"3"	"20"	"1"	"6"	"78"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"14"	"21"	"0"	"181"	"181"	"1"	"0"
"14350"	"4"	"13"	"27"	"2"	"376"	"15"	"20"	"6"	"1"	"7"	"18"	"2"	"13"	"79"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"15"	"15"	"0"	"205"	"205"	"1"	"0"
"14351"	"4"	"13"	"27"	"2"	"374"	"5"	"19"	"2"	"6"	"7"	"7"	"2"	"8"	"63"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"8"	"13"	"0"	"149"	"149"	"1"	"0"
"14352"	"4"	"13"	"27"	"2"	"380"	"4"	"20"	"3"	"3"	"4"	"10"	"1"	"6"	"70"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"10"	"9"	"0"	"146"	"146"	"1"	"0"
"14353"	"4"	"13"	"27"	"2"	"300"	"5"	"10"	"3"	"3"	"2"	"20"	"0"	"3"	"43"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"4"	"5"	"0"	"102"	"102"	"1"	"0"
"14354"	"4"	"13"	"27"	"2"	"299"	"5"	"12"	"5"	"4"	"3"	"12"	"0"	"7"	"44"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"10"	"12"	"0"	"125"	"125"	"1"	"0"
"14355"	"4"	"13"	"27"	"2"	"380"	"5"	"72"	"11"	"11"	"9"	"13"	"1"	"8"	"46"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"25"	"6"	"0"	"209"	"209"	"1"	"0"
"14356"	"4"	"13"	"27"	"2"	"380"	"5"	"70"	"24"	"20"	"12"	"21"	"3"	"6"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"21"	"8"	"0"	"240"	"240"	"1"	"0"
"14357"	"4"	"13"	"27"	"2"	"380"	"3"	"83"	"24"	"12"	"19"	"10"	"3"	"9"	"55"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"28"	"10"	"0"	"257"	"257"	"1"	"0"
"14358"	"4"	"13"	"27"	"2"	"281"	"3"	"49"	"3"	"10"	"4"	"6"	"1"	"3"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"9"	"10"	"0"	"126"	"126"	"1"	"0"
"14359"	"4"	"13"	"27"	"2"	"281"	"3"	"42"	"15"	"4"	"7"	"6"	"1"	"3"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"6"	"7"	"0"	"124"	"124"	"1"	"0"
"14360"	"4"	"13"	"27"	"2"	"376"	"1"	"120"	"9"	"3"	"4"	"5"	"0"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"15"	"10"	"0"	"188"	"188"	"1"	"0"
"14361"	"4"	"13"	"27"	"2"	"374"	"4"	"145"	"6"	"1"	"2"	"4"	"0"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"7"	"9"	"0"	"198"	"198"	"1"	"0"
"14362"	"4"	"13"	"27"	"2"	"376"	"2"	"111"	"9"	"2"	"2"	"8"	"2"	"1"	"20"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"18"	"8"	"0"	"186"	"186"	"1"	"0"
"14363"	"4"	"13"	"27"	"2"	"376"	"3"	"116"	"10"	"4"	"4"	"10"	"2"	"5"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"11"	"7"	"0"	"205"	"205"	"1"	"0"
