"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"BIEN"	"VAMOS"	"PODEMOS"	"UNE"	"UCN"	"URNG_MAIZ"	"FUERZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11186"	"4"	"11"	"5"	"2"	"396"	"93"	"81"	"10"	"71"	"39"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"6"	"5"	"0"	"308"	"308"	"1"	"93"
"11187"	"4"	"11"	"5"	"2"	"400"	"91"	"84"	"11"	"62"	"40"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"9"	"1"	"0"	"308"	"308"	"1"	"8"
"11188"	"4"	"11"	"5"	"2"	"400"	"89"	"72"	"12"	"57"	"35"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"10"	"2"	"0"	"286"	"286"	"1"	"8"
"11189"	"4"	"11"	"5"	"2"	"403"	"84"	"81"	"11"	"63"	"25"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"12"	"4"	"0"	"289"	"289"	"1"	"84"
"11190"	"4"	"11"	"5"	"2"	"401"	"99"	"79"	"10"	"60"	"40"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"5"	"5"	"0"	"304"	"304"	"1"	"8"
"11191"	"4"	"11"	"5"	"2"	"400"	"102"	"73"	"4"	"54"	"39"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"10"	"6"	"102"	"298"	"298"	"1"	"102"
"11192"	"4"	"11"	"5"	"2"	"400"	"106"	"68"	"11"	"53"	"27"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"15"	"3"	"0"	"287"	"287"	"1"	"2"
"11193"	"4"	"11"	"5"	"2"	"401"	"90"	"73"	"13"	"54"	"40"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"3"	"0"	"290"	"290"	"1"	"90"
"11194"	"4"	"11"	"5"	"2"	"401"	"103"	"66"	"6"	"66"	"28"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"1"	"109"	"292"	"292"	"1"	"10"
"11195"	"4"	"11"	"5"	"2"	"400"	"93"	"87"	"15"	"66"	"39"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"2"	"0"	"0"	"310"	"310"	"1"	"93"
"11196"	"4"	"11"	"5"	"2"	"400"	"125"	"76"	"5"	"93"	"32"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"1"	"2"	"0"	"338"	"338"	"1"	"125"
"11197"	"4"	"11"	"5"	"2"	"249"	"77"	"51"	"1"	"46"	"16"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"2"	"2"	"1"	"199"	"199"	"1"	"77"
"11198"	"4"	"11"	"5"	"2"	"247"	"63"	"39"	"1"	"50"	"10"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"3"	"3"	"1"	"172"	"172"	"1"	"0"
"11199"	"4"	"11"	"5"	"2"	"600"	"52"	"70"	"24"	"37"	"12"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"7"	"8"	"0"	"221"	"221"	"1"	"52"
"11200"	"4"	"11"	"5"	"2"	"407"	"55"	"51"	"14"	"32"	"18"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"4"	"2"	"0"	"179"	"179"	"1"	"55"
"11201"	"4"	"11"	"5"	"2"	"407"	"28"	"34"	"12"	"32"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"7"	"2"	"0"	"128"	"128"	"1"	"28"
