"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7354"	"4"	"6"	"2"	"2"	"400"	"48"	"30"	"7"	"7"	"20"	"65"	"1"	"64"	"2"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"1"	"2"	"273"	"273"	"1"	"0"
"7355"	"4"	"6"	"2"	"2"	"400"	"57"	"30"	"3"	"5"	"24"	"51"	"2"	"60"	"4"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"2"	"0"	"263"	"263"	"1"	"0"
"7356"	"4"	"6"	"2"	"2"	"396"	"42"	"30"	"4"	"17"	"25"	"61"	"2"	"67"	"2"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"1"	"0"	"279"	"279"	"1"	"0"
"7357"	"4"	"6"	"2"	"2"	"400"	"45"	"24"	"4"	"11"	"25"	"61"	"1"	"63"	"0"	"9"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"5"	"2"	"266"	"266"	"1"	"2"
"7358"	"4"	"6"	"2"	"2"	"396"	"40"	"27"	"2"	"4"	"19"	"56"	"0"	"67"	"2"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"16"	"7"	"0"	"257"	"257"	"1"	"0"
"7359"	"4"	"6"	"2"	"2"	"400"	"32"	"27"	"1"	"10"	"23"	"47"	"0"	"74"	"2"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"3"	"0"	"245"	"245"	"1"	"0"
"7360"	"4"	"6"	"2"	"2"	"400"	"42"	"21"	"0"	"7"	"13"	"45"	"0"	"69"	"2"	"9"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"21"	"6"	"0"	"245"	"245"	"1"	"0"
"7361"	"4"	"6"	"2"	"2"	"396"	"48"	"16"	"1"	"11"	"17"	"59"	"2"	"60"	"1"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"8"	"1"	"0"	"239"	"239"	"1"	"0"
"7362"	"4"	"6"	"2"	"2"	"400"	"26"	"20"	"2"	"11"	"21"	"64"	"2"	"62"	"2"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"4"	"2"	"0"	"239"	"239"	"1"	"0"
"7363"	"4"	"6"	"2"	"2"	"400"	"42"	"24"	"1"	"9"	"19"	"70"	"0"	"88"	"2"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"3"	"0"	"0"	"274"	"274"	"1"	"0"
"7364"	"4"	"6"	"2"	"2"	"223"	"23"	"11"	"1"	"11"	"13"	"44"	"1"	"40"	"1"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"0"	"0"	"0"	"157"	"157"	"1"	"0"
