"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7405"	"4"	"6"	"2"	"2"	"376"	"73"	"19"	"4"	"2"	"48"	"22"	"2"	"71"	"0"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"19"	"2"	"0"	"276"	"276"	"1"	"0"
"7406"	"4"	"6"	"2"	"2"	"380"	"53"	"12"	"1"	"1"	"49"	"17"	"0"	"69"	"1"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"25"	"2"	"0"	"247"	"247"	"1"	"0"
"7407"	"4"	"6"	"2"	"2"	"380"	"44"	"15"	"4"	"4"	"54"	"22"	"0"	"63"	"1"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"14"	"1"	"0"	"241"	"241"	"1"	"0"
"7408"	"4"	"6"	"2"	"2"	"317"	"39"	"12"	"2"	"4"	"39"	"10"	"0"	"60"	"1"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"5"	"13"	"0"	"193"	"193"	"1"	"0"
"7409"	"4"	"6"	"2"	"2"	"316"	"33"	"12"	"2"	"2"	"43"	"11"	"1"	"52"	"0"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"7"	"4"	"0"	"186"	"186"	"1"	"0"
"7410"	"4"	"6"	"2"	"2"	"396"	"15"	"52"	"1"	"5"	"32"	"55"	"2"	"70"	"0"	"7"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"27"	"4"	"0"	"298"	"298"	"1"	"0"
"7411"	"4"	"6"	"2"	"2"	"396"	"26"	"60"	"2"	"4"	"23"	"51"	"0"	"86"	"0"	"5"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"26"	"4"	"0"	"310"	"310"	"1"	"0"
"7412"	"4"	"6"	"2"	"2"	"396"	"32"	"43"	"0"	"1"	"19"	"65"	"0"	"81"	"0"	"7"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"25"	"2"	"0"	"303"	"303"	"1"	"0"
"7413"	"4"	"6"	"2"	"2"	"396"	"27"	"41"	"1"	"6"	"21"	"66"	"0"	"54"	"1"	"6"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"25"	"11"	"0"	"286"	"286"	"1"	"2"
"7414"	"4"	"6"	"2"	"2"	"276"	"22"	"29"	"0"	"3"	"14"	"45"	"0"	"38"	"0"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"16"	"3"	"0"	"187"	"187"	"1"	"0"
"7415"	"4"	"6"	"2"	"2"	"276"	"19"	"25"	"0"	"2"	"20"	"70"	"1"	"37"	"0"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"9"	"1"	"0"	"202"	"202"	"1"	"0"
"7416"	"4"	"6"	"2"	"2"	"600"	"40"	"26"	"5"	"12"	"36"	"24"	"0"	"52"	"5"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"1"	"0"	"228"	"228"	"1"	"0"
"7417"	"4"	"6"	"2"	"2"	"596"	"32"	"29"	"2"	"15"	"55"	"13"	"1"	"42"	"4"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"13"	"2"	"0"	"227"	"227"	"1"	"0"
"7418"	"4"	"6"	"2"	"2"	"561"	"36"	"13"	"3"	"5"	"24"	"30"	"1"	"35"	"6"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"12"	"5"	"0"	"183"	"183"	"1"	"0"
"7419"	"4"	"6"	"2"	"2"	"561"	"20"	"9"	"3"	"2"	"9"	"15"	"0"	"23"	"3"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"7"	"1"	"1"	"102"	"102"	"1"	"0"
