"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"LIBRE"	"FCN_NACION"	"URNG_MAIZ"	"VIVA"	"BIEN"	"UNIONISTA"	"MLP"	"CREO"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12025"	"4"	"12"	"9"	"2"	"381"	"7"	"84"	"2"	"1"	"0"	"0"	"11"	"20"	"3"	"1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"28"	"14"	"0"	"214"	"214"	"1"	"0"
"12026"	"4"	"12"	"9"	"2"	"380"	"9"	"63"	"2"	"1"	"1"	"0"	"10"	"19"	"0"	"3"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"21"	"6"	"0"	"179"	"179"	"1"	"0"
"12027"	"4"	"12"	"9"	"2"	"380"	"9"	"79"	"1"	"2"	"0"	"3"	"11"	"14"	"0"	"4"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"48"	"10"	"0"	"227"	"227"	"1"	"0"
"12028"	"4"	"12"	"9"	"2"	"215"	"11"	"33"	"0"	"0"	"0"	"2"	"5"	"6"	"0"	"2"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"91"	"91"	"16"	"11"	"0"	"118"	"118"	"1"	"0"
"12029"	"4"	"12"	"9"	"2"	"215"	"4"	"26"	"1"	"0"	"0"	"1"	"6"	"8"	"1"	"0"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"74"	"74"	"15"	"5"	"0"	"94"	"94"	"1"	"0"
"12030"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12031"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12032"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12033"	"4"	"12"	"9"	"2"	"380"	"17"	"83"	"6"	"5"	"10"	"3"	"27"	"4"	"4"	"5"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"21"	"7"	"0"	"220"	"220"	"1"	"0"
"12034"	"4"	"12"	"9"	"1"	"220"	"4"	"52"	"0"	"2"	"5"	"1"	"18"	"2"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"12"	"3"	"0"	"110"	"110"	"1"	"0"
"12035"	"4"	"12"	"9"	"1"	"219"	"9"	"46"	"3"	"5"	"2"	"2"	"14"	"4"	"0"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"5"	"6"	"0"	"112"	"112"	"1"	"0"
"12036"	"4"	"12"	"9"	"1"	"380"	"26"	"84"	"0"	"2"	"7"	"8"	"3"	"3"	"1"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"10"	"11"	"0"	"181"	"181"	"1"	"0"
