"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"C_C_L_M_"	"VICTORIA"	"BIEN"	"MLP"	"PODEMOS"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10104"	"4"	"9"	"21"	"2"	"376"	"63"	"9"	"96"	"4"	"1"	"0"	"8"	"0"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"13"	"11"	"0"	"272"	"272"	"1"	"0"
"10105"	"4"	"9"	"21"	"2"	"380"	"53"	"14"	"110"	"5"	"2"	"1"	"14"	"1"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"13"	"14"	"0"	"300"	"300"	"1"	"0"
"10106"	"4"	"9"	"21"	"2"	"376"	"52"	"19"	"90"	"10"	"0"	"3"	"18"	"0"	"53"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"7"	"0"	"263"	"263"	"1"	"0"
"10107"	"4"	"9"	"21"	"2"	"379"	"45"	"12"	"55"	"15"	"1"	"1"	"6"	"1"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"0"	"3"	"8"	"197"	"197"	"1"	"0"
"10108"	"4"	"9"	"21"	"2"	"377"	"43"	"16"	"64"	"33"	"1"	"2"	"15"	"1"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"13"	"10"	"0"	"261"	"261"	"1"	"0"
"10109"	"4"	"9"	"21"	"2"	"380"	"41"	"12"	"83"	"26"	"2"	"3"	"8"	"0"	"75"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"13"	"0"	"277"	"277"	"1"	"0"
"10110"	"4"	"9"	"21"	"2"	"378"	"52"	"17"	"68"	"18"	"0"	"1"	"12"	"1"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"2"	"4"	"0"	"260"	"260"	"1"	"0"
"10111"	"4"	"9"	"21"	"2"	"380"	"53"	"16"	"57"	"23"	"1"	"1"	"5"	"2"	"79"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"10"	"6"	"0"	"253"	"253"	"1"	"0"
"10112"	"4"	"9"	"21"	"2"	"0"	"48"	"15"	"52"	"23"	"0"	"2"	"13"	"0"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"15"	"9"	"0"	"255"	"255"	"1"	"0"
"10113"	"4"	"9"	"21"	"2"	"376"	"39"	"12"	"73"	"19"	"1"	"0"	"6"	"2"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"9"	"5"	"0"	"217"	"217"	"1"	"0"
"10114"	"4"	"9"	"21"	"2"	"279"	"39"	"6"	"46"	"27"	"1"	"1"	"4"	"2"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"3"	"0"	"0"	"180"	"180"	"1"	"0"
"10115"	"4"	"9"	"21"	"2"	"279"	"35"	"14"	"51"	"18"	"2"	"0"	"14"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"7"	"5"	"0"	"196"	"196"	"1"	"1"
"10116"	"4"	"9"	"21"	"2"	"594"	"51"	"17"	"37"	"5"	"1"	"0"	"4"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"6"	"7"	"0"	"153"	"153"	"1"	"0"
"10117"	"4"	"9"	"21"	"2"	"596"	"42"	"5"	"39"	"4"	"0"	"2"	"8"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"1"	"6"	"0"	"117"	"117"	"1"	"0"
"10118"	"4"	"9"	"21"	"2"	"548"	"28"	"6"	"21"	"5"	"2"	"1"	"1"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"5"	"4"	"0"	"92"	"92"	"1"	"0"
"10119"	"4"	"9"	"21"	"2"	"545"	"16"	"2"	"13"	"3"	"0"	"0"	"1"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"44"	"44"	"0"	"3"	"0"	"47"	"47"	"1"	"0"
