"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"VIVA"	"UNE"	"CONVERGENCIA"	"UCN"	"UNIONISTA"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18214"	"4"	"17"	"13"	"2"	"380"	"20"	"53"	"39"	"2"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"8"	"5"	"0"	"153"	"153"	"1"	"1"
"18215"	"4"	"17"	"13"	"2"	"380"	"13"	"64"	"40"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"18"	"4"	"0"	"158"	"158"	"1"	"0"
"18216"	"4"	"17"	"13"	"2"	"363"	"11"	"45"	"41"	"2"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"17"	"12"	"0"	"149"	"149"	"1"	"0"
"18217"	"4"	"17"	"13"	"2"	"371"	"19"	"58"	"41"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"4"	"6"	"0"	"154"	"154"	"1"	"0"
"18218"	"4"	"17"	"13"	"2"	"380"	"26"	"109"	"29"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"20"	"6"	"0"	"200"	"200"	"1"	"0"
"18219"	"4"	"17"	"13"	"2"	"380"	"26"	"129"	"29"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"20"	"6"	"0"	"214"	"214"	"1"	"0"
"18220"	"4"	"17"	"13"	"2"	"380"	"27"	"120"	"25"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"15"	"4"	"0"	"196"	"196"	"1"	"0"
"18221"	"4"	"17"	"13"	"2"	"380"	"25"	"108"	"21"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"14"	"5"	"0"	"177"	"177"	"1"	"0"
"18222"	"4"	"17"	"13"	"2"	"380"	"32"	"118"	"22"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"18"	"2"	"0"	"197"	"197"	"1"	"1"
"18223"	"4"	"17"	"13"	"2"	"380"	"30"	"128"	"27"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"16"	"2"	"2"	"207"	"207"	"1"	"1"
"18224"	"4"	"17"	"13"	"2"	"380"	"21"	"122"	"28"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"26"	"2"	"0"	"207"	"207"	"1"	"0"
"18225"	"4"	"17"	"13"	"2"	"380"	"21"	"115"	"24"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"21"	"4"	"0"	"193"	"193"	"1"	"0"
"18226"	"4"	"17"	"13"	"2"	"380"	"24"	"130"	"17"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"22"	"5"	"0"	"204"	"204"	"1"	"0"
"18227"	"4"	"17"	"13"	"2"	"364"	"25"	"151"	"34"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"10"	"4"	"0"	"230"	"230"	"1"	"0"
"18228"	"4"	"17"	"13"	"2"	"365"	"26"	"130"	"29"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"17"	"5"	"0"	"208"	"208"	"1"	"0"
