"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"TODOS"	"PHG"	"BIEN"	"UCN"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9025"	"4"	"8"	"7"	"2"	"400"	"93"	"4"	"38"	"7"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"7"	"0"	"238"	"238"	"1"	"0"
"9026"	"4"	"8"	"7"	"2"	"400"	"93"	"3"	"42"	"6"	"78"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"11"	"13"	"0"	"247"	"247"	"1"	"2"
"9027"	"4"	"8"	"7"	"2"	"400"	"99"	"7"	"26"	"6"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"2"	"7"	"0"	"230"	"230"	"1"	"0"
"9028"	"4"	"8"	"7"	"2"	"376"	"126"	"10"	"49"	"11"	"94"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"1"	"2"	"0"	"293"	"293"	"1"	"0"
"9029"	"4"	"8"	"7"	"2"	"376"	"110"	"7"	"48"	"3"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"2"	"5"	"0"	"262"	"262"	"1"	"0"
"9030"	"4"	"8"	"7"	"2"	"380"	"98"	"8"	"70"	"0"	"97"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"14"	"11"	"0"	"299"	"299"	"1"	"0"
"9031"	"4"	"8"	"7"	"2"	"376"	"102"	"4"	"82"	"5"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"14"	"21"	"0"	"332"	"332"	"1"	"0"
"9032"	"4"	"8"	"7"	"2"	"376"	"105"	"6"	"83"	"1"	"100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"12"	"10"	"0"	"317"	"317"	"1"	"0"
"9033"	"4"	"8"	"7"	"2"	"379"	"86"	"4"	"68"	"1"	"114"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"6"	"2"	"0"	"281"	"281"	"1"	"0"
"9034"	"4"	"8"	"7"	"2"	"301"	"96"	"3"	"68"	"1"	"105"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"1"	"12"	"0"	"287"	"287"	"1"	"0"
"9035"	"4"	"8"	"7"	"2"	"236"	"61"	"1"	"49"	"1"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"7"	"8"	"0"	"189"	"189"	"1"	"0"
"9036"	"4"	"8"	"7"	"2"	"236"	"75"	"5"	"51"	"2"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"1"	"4"	"0"	"199"	"199"	"1"	"0"
