"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PPT"	"VALOR"	"UCN"	"TODOS"	"PC"	"VAMOS"	"SEMILLA"	"CONVERGENCIA"	"FCN_NACION"	"LIBRE"	"FUERZA"	"PODEMOS"	"VICTORIA"	"VIVA"	"PHG"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6534"	"4"	"5"	"2"	"2"	"400"	"77"	"17"	"75"	"17"	"13"	"4"	"2"	"4"	"30"	"3"	"6"	"3"	"3"	"0"	"3"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"17"	"6"	"0"	"287"	"287"	"1"	"0"
"6535"	"4"	"5"	"2"	"2"	"400"	"63"	"17"	"84"	"14"	"13"	"0"	"7"	"2"	"33"	"2"	"1"	"4"	"1"	"0"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"22"	"3"	"0"	"277"	"277"	"1"	"0"
"6536"	"4"	"5"	"2"	"2"	"400"	"68"	"15"	"68"	"8"	"12"	"0"	"5"	"2"	"30"	"3"	"4"	"2"	"1"	"4"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"18"	"4"	"0"	"250"	"250"	"1"	"0"
"6537"	"4"	"5"	"2"	"2"	"400"	"57"	"14"	"70"	"8"	"18"	"3"	"4"	"2"	"32"	"5"	"4"	"5"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"18"	"6"	"0"	"251"	"251"	"1"	"0"
"6538"	"4"	"5"	"2"	"2"	"400"	"61"	"19"	"63"	"11"	"4"	"4"	"3"	"1"	"25"	"1"	"4"	"4"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"22"	"6"	"0"	"234"	"234"	"1"	"0"
"6539"	"4"	"5"	"2"	"2"	"397"	"65"	"13"	"67"	"12"	"12"	"3"	"8"	"6"	"42"	"1"	"6"	"5"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"14"	"2"	"0"	"264"	"264"	"1"	"0"
"6540"	"4"	"5"	"2"	"2"	"393"	"64"	"22"	"59"	"12"	"12"	"1"	"5"	"5"	"33"	"0"	"8"	"2"	"2"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"16"	"0"	"0"	"247"	"247"	"1"	"0"
"6541"	"4"	"5"	"2"	"2"	"600"	"69"	"21"	"65"	"10"	"13"	"0"	"3"	"4"	"37"	"1"	"3"	"3"	"0"	"1"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"12"	"3"	"0"	"253"	"253"	"1"	"0"
"6542"	"4"	"5"	"2"	"2"	"400"	"67"	"17"	"78"	"13"	"15"	"2"	"5"	"4"	"36"	"4"	"1"	"3"	"2"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"11"	"1"	"0"	"264"	"264"	"1"	"0"
"6543"	"4"	"5"	"2"	"2"	"400"	"61"	"21"	"76"	"9"	"14"	"2"	"2"	"8"	"39"	"1"	"5"	"5"	"0"	"0"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"2"	"0"	"269"	"269"	"1"	"0"
