"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"URNG_MAIZ"	"PC"	"TODOS"	"VAMOS"	"PODEMOS"	"CONVERGENCIA"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"PHG"	"PAN"	"EG"	"FCN_NACION"	"UCN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13047"	"4"	"13"	"2"	"2"	"400"	"79"	"11"	"4"	"8"	"4"	"14"	"0"	"1"	"15"	"20"	"0"	"2"	"13"	"1"	"0"	"25"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"11"	"3"	"0"	"225"	"225"	"1"	"0"
"13048"	"4"	"13"	"2"	"2"	"396"	"106"	"7"	"1"	"12"	"3"	"18"	"3"	"2"	"10"	"19"	"0"	"3"	"12"	"1"	"0"	"31"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"3"	"0"	"251"	"251"	"1"	"0"
"13049"	"4"	"13"	"2"	"2"	"396"	"109"	"8"	"1"	"5"	"8"	"7"	"0"	"0"	"12"	"17"	"0"	"0"	"8"	"4"	"0"	"26"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"11"	"4"	"0"	"229"	"229"	"1"	"0"
"13050"	"4"	"13"	"2"	"2"	"400"	"94"	"3"	"4"	"11"	"5"	"5"	"0"	"0"	"15"	"15"	"1"	"3"	"10"	"3"	"0"	"28"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"5"	"0"	"232"	"232"	"1"	"0"
"13051"	"4"	"13"	"2"	"2"	"496"	"102"	"6"	"2"	"15"	"3"	"12"	"0"	"1"	"13"	"13"	"0"	"4"	"7"	"3"	"0"	"25"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"9"	"3"	"0"	"229"	"229"	"1"	"0"
"13052"	"4"	"13"	"2"	"2"	"400"	"73"	"5"	"3"	"9"	"1"	"10"	"0"	"1"	"14"	"3"	"1"	"1"	"8"	"4"	"0"	"25"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"7"	"0"	"0"	"176"	"176"	"1"	"0"
"13053"	"4"	"13"	"2"	"2"	"331"	"106"	"12"	"0"	"5"	"1"	"3"	"0"	"1"	"0"	"1"	"11"	"0"	"3"	"2"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"18"	"14"	"0"	"182"	"182"	"1"	"0"
"13054"	"4"	"13"	"2"	"2"	"315"	"62"	"7"	"0"	"16"	"3"	"7"	"1"	"0"	"5"	"7"	"0"	"5"	"7"	"2"	"0"	"21"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"7"	"1"	"0"	"158"	"158"	"1"	"0"
"13055"	"4"	"13"	"2"	"2"	"400"	"85"	"16"	"7"	"3"	"7"	"1"	"0"	"0"	"4"	"8"	"1"	"3"	"5"	"3"	"0"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"8"	"2"	"0"	"169"	"169"	"1"	"0"
"13056"	"4"	"13"	"2"	"2"	"400"	"113"	"24"	"4"	"3"	"10"	"1"	"0"	"0"	"3"	"5"	"0"	"1"	"7"	"1"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"6"	"0"	"0"	"189"	"189"	"1"	"0"
"13057"	"4"	"13"	"2"	"2"	"334"	"89"	"11"	"7"	"1"	"6"	"4"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"2"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"5"	"4"	"0"	"148"	"148"	"1"	"0"
"13058"	"4"	"13"	"2"	"2"	"333"	"77"	"11"	"7"	"3"	"6"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"4"	"0"	"0"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"8"	"2"	"0"	"135"	"135"	"1"	"0"
"13059"	"4"	"13"	"2"	"2"	"380"	"117"	"16"	"1"	"6"	"1"	"3"	"1"	"0"	"0"	"1"	"9"	"0"	"2"	"5"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"30"	"19"	"0"	"221"	"221"	"1"	"0"
"13060"	"4"	"13"	"2"	"2"	"380"	"116"	"21"	"0"	"7"	"2"	"1"	"2"	"0"	"2"	"4"	"13"	"0"	"3"	"3"	"2"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"20"	"15"	"0"	"0"	"227"	"0"	"0"
"13061"	"4"	"13"	"2"	"2"	"381"	"112"	"21"	"1"	"11"	"3"	"5"	"0"	"1"	"3"	"0"	"11"	"1"	"4"	"3"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"186"	"12"	"10"	"0"	"209"	"208"	"0"	"0"
"13062"	"4"	"13"	"2"	"2"	"380"	"112"	"16"	"0"	"10"	"5"	"9"	"2"	"1"	"0"	"1"	"8"	"0"	"3"	"1"	"0"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"16"	"10"	"0"	"202"	"202"	"1"	"0"
"13063"	"4"	"13"	"2"	"2"	"331"	"106"	"12"	"0"	"5"	"1"	"3"	"0"	"1"	"0"	"1"	"11"	"0"	"3"	"2"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"18"	"14"	"0"	"182"	"182"	"1"	"0"
"13064"	"4"	"13"	"2"	"2"	"331"	"110"	"14"	"0"	"5"	"1"	"4"	"1"	"0"	"1"	"0"	"16"	"0"	"1"	"2"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"7"	"4"	"0"	"171"	"171"	"1"	"0"
"13065"	"4"	"13"	"2"	"2"	"380"	"121"	"28"	"2"	"23"	"8"	"3"	"1"	"1"	"0"	"2"	"3"	"1"	"1"	"1"	"1"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"23"	"6"	"0"	"256"	"256"	"1"	"0"
"13066"	"4"	"13"	"2"	"2"	"380"	"131"	"37"	"3"	"26"	"3"	"1"	"3"	"2"	"0"	"1"	"5"	"0"	"2"	"3"	"0"	"29"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"21"	"17"	"0"	"298"	"298"	"1"	"0"
"13067"	"4"	"13"	"2"	"2"	"380"	"134"	"15"	"3"	"22"	"3"	"0"	"2"	"2"	"2"	"2"	"2"	"1"	"4"	"4"	"1"	"11"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"41"	"30"	"0"	"293"	"293"	"1"	"0"
"13068"	"4"	"13"	"2"	"2"	"284"	"94"	"14"	"3"	"15"	"9"	"3"	"0"	"1"	"0"	"0"	"3"	"1"	"3"	"1"	"1"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"19"	"18"	"0"	"197"	"197"	"1"	"0"
"13069"	"4"	"13"	"2"	"2"	"285"	"83"	"13"	"0"	"27"	"4"	"4"	"2"	"0"	"0"	"1"	"1"	"3"	"6"	"1"	"0"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"13"	"7"	"0"	"185"	"185"	"1"	"0"
"13070"	"4"	"13"	"2"	"2"	"380"	"74"	"16"	"8"	"14"	"1"	"5"	"1"	"1"	"0"	"0"	"0"	"4"	"3"	"5"	"1"	"23"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"19"	"12"	"0"	"202"	"202"	"1"	"0"
"13071"	"4"	"13"	"2"	"2"	"380"	"93"	"18"	"5"	"9"	"4"	"1"	"1"	"3"	"2"	"0"	"1"	"0"	"2"	"4"	"0"	"25"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"5"	"4"	"0"	"190"	"190"	"1"	"0"
"13072"	"4"	"13"	"2"	"2"	"339"	"73"	"14"	"3"	"10"	"5"	"2"	"0"	"1"	"1"	"3"	"2"	"0"	"1"	"2"	"0"	"25"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"21"	"16"	"0"	"192"	"192"	"1"	"0"
"13073"	"4"	"13"	"2"	"2"	"339"	"61"	"9"	"3"	"4"	"2"	"5"	"0"	"0"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"26"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"19"	"5"	"0"	"158"	"158"	"1"	"0"
"13074"	"4"	"13"	"2"	"2"	"380"	"100"	"19"	"1"	"7"	"3"	"3"	"5"	"1"	"4"	"1"	"5"	"1"	"0"	"4"	"2"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"20"	"19"	"0"	"220"	"220"	"1"	"0"
"13075"	"4"	"13"	"2"	"2"	"380"	"92"	"19"	"3"	"7"	"3"	"1"	"0"	"0"	"7"	"3"	"3"	"0"	"0"	"1"	"0"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"19"	"6"	"0"	"185"	"185"	"1"	"0"
"13076"	"4"	"13"	"2"	"2"	"216"	"52"	"8"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"3"	"2"	"2"	"2"	"3"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"84"	"84"	"11"	"6"	"0"	"101"	"101"	"1"	"0"
"13077"	"4"	"13"	"2"	"2"	"215"	"40"	"18"	"0"	"5"	"2"	"2"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"5"	"1"	"0"	"88"	"88"	"1"	"0"
"13078"	"4"	"13"	"2"	"2"	"376"	"66"	"21"	"1"	"21"	"9"	"1"	"5"	"2"	"8"	"5"	"1"	"1"	"2"	"2"	"1"	"6"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"21"	"13"	"0"	"224"	"224"	"1"	"0"
"13079"	"4"	"13"	"2"	"2"	"380"	"91"	"11"	"6"	"26"	"5"	"1"	"2"	"1"	"4"	"3"	"2"	"0"	"0"	"2"	"0"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"15"	"12"	"2"	"221"	"221"	"1"	"0"
"13080"	"4"	"13"	"2"	"2"	"380"	"81"	"16"	"0"	"29"	"4"	"2"	"3"	"1"	"5"	"1"	"4"	"0"	"0"	"3"	"0"	"6"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"26"	"9"	"0"	"232"	"232"	"1"	"0"
"13081"	"4"	"13"	"2"	"2"	"380"	"94"	"30"	"3"	"14"	"4"	"0"	"4"	"2"	"7"	"3"	"3"	"0"	"5"	"2"	"0"	"8"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"14"	"12"	"0"	"241"	"241"	"1"	"0"
"13082"	"4"	"13"	"2"	"2"	"380"	"66"	"20"	"2"	"18"	"3"	"4"	"1"	"1"	"6"	"1"	"2"	"0"	"1"	"1"	"1"	"7"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"23"	"5"	"0"	"187"	"187"	"1"	"0"
"13083"	"4"	"13"	"2"	"2"	"380"	"86"	"14"	"1"	"17"	"2"	"2"	"0"	"0"	"2"	"2"	"0"	"0"	"1"	"2"	"1"	"8"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"18"	"13"	"0"	"199"	"199"	"1"	"0"
"13084"	"4"	"13"	"2"	"2"	"380"	"87"	"21"	"3"	"11"	"2"	"1"	"0"	"0"	"7"	"1"	"1"	"0"	"2"	"3"	"0"	"4"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"13"	"24"	"0"	"204"	"204"	"1"	"0"
"13085"	"4"	"13"	"2"	"2"	"380"	"70"	"22"	"5"	"13"	"1"	"2"	"5"	"2"	"0"	"7"	"4"	"0"	"1"	"2"	"0"	"7"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"18"	"5"	"0"	"181"	"181"	"1"	"0"
"13086"	"4"	"13"	"2"	"2"	"267"	"62"	"9"	"0"	"11"	"5"	"0"	"0"	"0"	"7"	"1"	"0"	"1"	"7"	"1"	"0"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"9"	"7"	"0"	"142"	"142"	"1"	"0"
"13087"	"4"	"13"	"2"	"2"	"267"	"44"	"13"	"1"	"23"	"1"	"3"	"0"	"0"	"3"	"1"	"1"	"1"	"3"	"0"	"0"	"2"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"7"	"6"	"1"	"140"	"140"	"1"	"0"
"13088"	"4"	"13"	"2"	"2"	"380"	"51"	"12"	"3"	"18"	"4"	"13"	"1"	"4"	"0"	"0"	"2"	"1"	"4"	"3"	"0"	"19"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"21"	"14"	"0"	"188"	"188"	"1"	"0"
"13089"	"4"	"13"	"2"	"2"	"379"	"43"	"7"	"4"	"22"	"2"	"23"	"1"	"5"	"0"	"0"	"3"	"1"	"5"	"5"	"0"	"21"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"16"	"8"	"0"	"177"	"177"	"1"	"0"
"13090"	"4"	"13"	"2"	"2"	"380"	"49"	"13"	"5"	"18"	"1"	"24"	"1"	"2"	"0"	"1"	"4"	"0"	"2"	"6"	"0"	"13"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"16"	"19"	"0"	"191"	"191"	"1"	"0"
"13091"	"4"	"13"	"2"	"2"	"380"	"55"	"6"	"3"	"16"	"2"	"24"	"1"	"2"	"4"	"0"	"6"	"1"	"3"	"5"	"1"	"14"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"32"	"14"	"0"	"205"	"205"	"1"	"0"
"13092"	"4"	"13"	"2"	"2"	"378"	"53"	"11"	"4"	"37"	"0"	"33"	"2"	"1"	"3"	"1"	"3"	"0"	"0"	"5"	"0"	"10"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"34"	"15"	"0"	"227"	"227"	"1"	"0"
"13093"	"4"	"13"	"2"	"2"	"376"	"60"	"7"	"5"	"19"	"0"	"22"	"1"	"2"	"0"	"1"	"0"	"1"	"3"	"2"	"1"	"9"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"13"	"18"	"0"	"184"	"184"	"1"	"0"
