"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"URNG_MAIZ"	"PC"	"TODOS"	"VAMOS"	"PODEMOS"	"CONVERGENCIA"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"PHG"	"PAN"	"EG"	"FCN_NACION"	"UCN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13107"	"4"	"13"	"2"	"2"	"380"	"100"	"17"	"0"	"2"	"4"	"3"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"5"	"0"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"22"	"15"	"0"	"184"	"184"	"1"	"0"
"13108"	"4"	"13"	"2"	"2"	"380"	"105"	"16"	"1"	"2"	"1"	"1"	"1"	"1"	"0"	"3"	"4"	"1"	"3"	"4"	"0"	"16"	"5"	"0"	"0"	"0"	"4"	"1"	"3"	"4"	"0"	"16"	"5"	"0"	"0"	"0"	"164"	"164"	"19"	"10"	"0"	"193"	"193"	"1"	"0"
"13109"	"4"	"13"	"2"	"2"	"380"	"94"	"16"	"2"	"11"	"4"	"2"	"1"	"1"	"0"	"1"	"4"	"0"	"2"	"1"	"1"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"16"	"10"	"0"	"179"	"179"	"1"	"0"
"13110"	"4"	"13"	"2"	"2"	"380"	"101"	"15"	"6"	"7"	"5"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"16"	"9"	"0"	"184"	"184"	"1"	"0"
"13111"	"4"	"13"	"2"	"2"	"380"	"82"	"13"	"3"	"3"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"15"	"6"	"0"	"144"	"144"	"1"	"0"
"13112"	"4"	"13"	"2"	"2"	"380"	"97"	"16"	"1"	"9"	"1"	"1"	"3"	"1"	"2"	"2"	"1"	"0"	"0"	"3"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"13"	"4"	"0"	"171"	"171"	"1"	"0"
"13113"	"4"	"13"	"2"	"2"	"380"	"93"	"13"	"1"	"4"	"3"	"2"	"2"	"1"	"2"	"2"	"2"	"0"	"1"	"4"	"0"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"6"	"2"	"0"	"158"	"158"	"1"	"0"
"13114"	"4"	"13"	"2"	"2"	"380"	"110"	"6"	"1"	"5"	"4"	"1"	"2"	"0"	"1"	"2"	"2"	"0"	"4"	"4"	"0"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"21"	"10"	"0"	"190"	"190"	"1"	"0"
"13115"	"4"	"13"	"2"	"2"	"380"	"99"	"7"	"0"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"16"	"16"	"0"	"168"	"168"	"1"	"0"
"13116"	"4"	"13"	"2"	"2"	"380"	"87"	"5"	"1"	"2"	"3"	"2"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"4"	"0"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"8"	"3"	"0"	"144"	"144"	"1"	"0"
