"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"C_C_N_I_"	"UNE"	"FCN_NACION"	"EG"	"UNIONISTA"	"FUERZA"	"PHG"	"CREO"	"UCN"	"PAN"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12115"	"4"	"12"	"11"	"2"	"380"	"120"	"23"	"69"	"25"	"3"	"2"	"46"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"14"	"8"	"0"	"316"	"316"	"1"	"0"
"12116"	"4"	"12"	"11"	"2"	"380"	"96"	"29"	"83"	"26"	"3"	"6"	"47"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"20"	"8"	"0"	"326"	"326"	"1"	"1"
"12117"	"4"	"12"	"11"	"2"	"267"	"111"	"21"	"55"	"16"	"3"	"1"	"45"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"5"	"5"	"0"	"267"	"267"	"1"	"0"
"12118"	"4"	"12"	"11"	"2"	"380"	"98"	"24"	"56"	"29"	"4"	"1"	"57"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"13"	"4"	"0"	"296"	"296"	"1"	"0"
"12119"	"4"	"12"	"11"	"2"	"380"	"106"	"20"	"68"	"25"	"0"	"1"	"37"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"16"	"2"	"0"	"283"	"282"	"0"	"0"
"12120"	"4"	"12"	"11"	"2"	"324"	"94"	"21"	"54"	"21"	"2"	"4"	"45"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"4"	"4"	"0"	"258"	"258"	"1"	"0"
"12121"	"4"	"12"	"11"	"2"	"327"	"117"	"12"	"49"	"16"	"2"	"0"	"46"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"3"	"2"	"0"	"256"	"256"	"1"	"0"
"12122"	"4"	"12"	"11"	"2"	"400"	"132"	"53"	"56"	"23"	"1"	"0"	"19"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"15"	"8"	"0"	"316"	"316"	"1"	"0"
"12123"	"4"	"12"	"11"	"2"	"206"	"59"	"31"	"31"	"7"	"1"	"0"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"9"	"1"	"0"	"158"	"158"	"1"	"0"
"12124"	"4"	"12"	"11"	"2"	"206"	"54"	"25"	"35"	"9"	"0"	"2"	"13"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"1"	"0"	"0"	"143"	"143"	"1"	"1"
"12125"	"4"	"12"	"11"	"2"	"313"	"102"	"20"	"53"	"38"	"6"	"1"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"12"	"10"	"0"	"257"	"257"	"1"	"0"
"12126"	"4"	"12"	"11"	"2"	"312"	"72"	"17"	"35"	"43"	"4"	"0"	"3"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"11"	"4"	"1"	"199"	"198"	"0"	"0"
"12127"	"4"	"12"	"11"	"2"	"447"	"58"	"23"	"50"	"13"	"4"	"0"	"7"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"13"	"7"	"0"	"179"	"179"	"1"	"1"
"12128"	"4"	"12"	"11"	"2"	"447"	"40"	"24"	"26"	"6"	"1"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"4"	"2"	"0"	"112"	"112"	"1"	"0"
