"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"VICTORIA"	"CREO"	"VAMOS"	"VIVA"	"UNE"	"PHG"	"UNIDOS"	"PODEMOS"	"FCN_NACION"	"LIBRE"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5290"	"4"	"3"	"2"	"2"	"400"	"12"	"16"	"5"	"69"	"19"	"56"	"62"	"0"	"7"	"7"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"3"	"3"	"1"	"311"	"311"	"1"	"0"
"5291"	"4"	"3"	"2"	"2"	"400"	"7"	"17"	"2"	"74"	"16"	"61"	"55"	"1"	"11"	"6"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"4"	"8"	"0"	"300"	"300"	"1"	"0"
"5292"	"4"	"3"	"2"	"2"	"400"	"14"	"10"	"12"	"83"	"14"	"58"	"57"	"1"	"1"	"2"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"0"	"1"	"0"	"324"	"324"	"1"	"0"
"5293"	"4"	"3"	"2"	"2"	"400"	"16"	"14"	"11"	"97"	"13"	"55"	"73"	"0"	"4"	"1"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"342"	"342"	"0"	"0"	"0"	"342"	"342"	"1"	"0"
"5294"	"4"	"3"	"2"	"2"	"266"	"18"	"9"	"4"	"47"	"17"	"32"	"35"	"0"	"10"	"3"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"1"	"1"	"0"	"217"	"217"	"1"	"0"
"5295"	"4"	"3"	"2"	"2"	"266"	"8"	"7"	"4"	"53"	"6"	"46"	"56"	"0"	"3"	"3"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"2"	"0"	"0"	"220"	"220"	"1"	"0"
"5296"	"4"	"3"	"2"	"2"	"377"	"7"	"14"	"2"	"130"	"6"	"44"	"44"	"0"	"5"	"6"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"9"	"15"	"313"	"313"	"1"	"0"
"5297"	"4"	"3"	"2"	"2"	"380"	"23"	"6"	"1"	"99"	"17"	"46"	"54"	"0"	"3"	"5"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"14"	"0"	"296"	"296"	"1"	"0"
"5298"	"4"	"3"	"2"	"2"	"380"	"4"	"17"	"6"	"113"	"7"	"67"	"81"	"1"	"6"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"8"	"4"	"0"	"325"	"325"	"1"	"0"
"5299"	"4"	"3"	"2"	"2"	"380"	"9"	"13"	"7"	"108"	"11"	"54"	"93"	"0"	"3"	"5"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"6"	"9"	"0"	"338"	"338"	"1"	"0"
