"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"FUERZA"	"VAMOS"	"CONVERGENCIA"	"PC"	"TODOS"	"VIVA"	"FCN_NACION"	"EG"	"UCN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13218"	"4"	"13"	"4"	"2"	"400"	"30"	"22"	"4"	"2"	"6"	"31"	"0"	"29"	"0"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"14"	"11"	"0"	"168"	"168"	"1"	"0"
"13219"	"4"	"13"	"4"	"2"	"400"	"44"	"33"	"3"	"2"	"9"	"35"	"0"	"38"	"0"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"12"	"7"	"0"	"200"	"200"	"1"	"0"
"13220"	"4"	"13"	"4"	"2"	"358"	"44"	"20"	"1"	"5"	"9"	"18"	"0"	"21"	"1"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"9"	"6"	"0"	"152"	"152"	"1"	"0"
"13221"	"4"	"13"	"4"	"2"	"358"	"24"	"18"	"3"	"2"	"3"	"25"	"0"	"23"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"5"	"9"	"0"	"123"	"123"	"1"	"0"
"13222"	"4"	"13"	"4"	"2"	"400"	"31"	"28"	"1"	"19"	"4"	"3"	"1"	"15"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"8"	"5"	"0"	"124"	"124"	"1"	"0"
"13223"	"4"	"13"	"4"	"2"	"400"	"33"	"28"	"1"	"24"	"0"	"10"	"0"	"12"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"14"	"5"	"0"	"140"	"140"	"1"	"0"
"13224"	"4"	"13"	"4"	"2"	"316"	"20"	"8"	"1"	"5"	"0"	"5"	"0"	"14"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"59"	"59"	"5"	"2"	"0"	"66"	"66"	"1"	"1"
"13225"	"4"	"13"	"4"	"2"	"315"	"24"	"16"	"1"	"10"	"0"	"0"	"1"	"9"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"68"	"12"	"3"	"0"	"83"	"83"	"1"	"0"
"13226"	"4"	"13"	"4"	"2"	"338"	"128"	"54"	"1"	"9"	"1"	"1"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"24"	"10"	"0"	"234"	"234"	"1"	"0"
"13227"	"4"	"13"	"4"	"2"	"338"	"121"	"46"	"2"	"17"	"4"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"8"	"8"	"0"	"212"	"212"	"1"	"0"
"13228"	"4"	"13"	"4"	"2"	"600"	"15"	"19"	"2"	"6"	"4"	"12"	"0"	"14"	"2"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"9"	"10"	"0"	"119"	"119"	"1"	"0"
"13229"	"4"	"13"	"4"	"2"	"600"	"14"	"29"	"5"	"8"	"3"	"6"	"2"	"13"	"3"	"2"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"7"	"9"	"0"	"122"	"122"	"1"	"0"
"13230"	"4"	"13"	"4"	"2"	"600"	"13"	"16"	"5"	"9"	"2"	"14"	"0"	"12"	"1"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"9"	"9"	"0"	"112"	"112"	"1"	"0"
"13231"	"4"	"13"	"4"	"2"	"600"	"10"	"17"	"3"	"4"	"3"	"4"	"1"	"11"	"1"	"4"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"14"	"2"	"0"	"98"	"98"	"1"	"0"
"13232"	"4"	"13"	"4"	"2"	"600"	"18"	"21"	"5"	"8"	"1"	"9"	"1"	"16"	"3"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"10"	"1"	"0"	"111"	"111"	"1"	"0"
"13233"	"4"	"13"	"4"	"2"	"475"	"10"	"11"	"1"	"4"	"1"	"7"	"0"	"8"	"1"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"55"	"5"	"4"	"0"	"64"	"64"	"1"	"0"
"13234"	"4"	"13"	"4"	"2"	"474"	"5"	"13"	"2"	"1"	"6"	"7"	"0"	"5"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"47"	"47"	"5"	"3"	"0"	"55"	"55"	"1"	"0"
