"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"WINAQ"	"UCN"	"VIVA"	"FUERZA"	"FCN_NACION"	"UNIONISTA"	"URNG_MAIZ"	"MLP"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17930"	"4"	"17"	"9"	"2"	"380"	"26"	"36"	"2"	"50"	"4"	"5"	"19"	"7"	"4"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"21"	"4"	"0"	"256"	"256"	"1"	"0"
"17931"	"4"	"17"	"9"	"2"	"376"	"35"	"41"	"1"	"57"	"2"	"2"	"10"	"2"	"2"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"17"	"1"	"0"	"229"	"229"	"1"	"0"
"17932"	"4"	"17"	"9"	"2"	"380"	"35"	"38"	"1"	"45"	"2"	"2"	"13"	"1"	"4"	"42"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"14"	"4"	"0"	"202"	"202"	"1"	"0"
"17933"	"4"	"17"	"9"	"2"	"380"	"40"	"34"	"1"	"37"	"2"	"4"	"25"	"1"	"4"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"12"	"8"	"0"	"214"	"214"	"1"	"0"
"17934"	"4"	"17"	"9"	"2"	"377"	"33"	"43"	"0"	"44"	"5"	"3"	"19"	"1"	"1"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"13"	"2"	"0"	"200"	"200"	"1"	"0"
"17935"	"4"	"17"	"9"	"2"	"200"	"24"	"21"	"1"	"29"	"2"	"4"	"20"	"1"	"2"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"2"	"1"	"0"	"123"	"123"	"1"	"0"
"17936"	"4"	"17"	"9"	"2"	"197"	"17"	"16"	"0"	"25"	"1"	"1"	"12"	"0"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"91"	"91"	"4"	"2"	"0"	"97"	"97"	"1"	"0"
"17937"	"4"	"17"	"9"	"2"	"380"	"41"	"32"	"26"	"23"	"6"	"8"	"3"	"3"	"16"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"38"	"10"	"0"	"219"	"219"	"1"	"0"
"17938"	"4"	"17"	"9"	"2"	"380"	"43"	"28"	"29"	"17"	"8"	"5"	"6"	"0"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"32"	"8"	"0"	"211"	"211"	"1"	"0"
"17939"	"4"	"17"	"9"	"2"	"380"	"40"	"25"	"35"	"20"	"14"	"7"	"2"	"0"	"10"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"17"	"9"	"0"	"218"	"218"	"1"	"0"
"17940"	"4"	"17"	"9"	"2"	"380"	"30"	"36"	"28"	"19"	"4"	"4"	"5"	"2"	"9"	"25"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"22"	"3"	"5"	"189"	"189"	"1"	"0"
"17941"	"4"	"17"	"9"	"2"	"378"	"12"	"32"	"31"	"13"	"6"	"4"	"3"	"1"	"9"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"29"	"3"	"0"	"175"	"175"	"1"	"0"
"17942"	"4"	"17"	"9"	"2"	"254"	"19"	"25"	"20"	"21"	"6"	"3"	"1"	"2"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"11"	"4"	"0"	"134"	"134"	"1"	"0"
"17943"	"4"	"17"	"9"	"2"	"252"	"28"	"20"	"22"	"10"	"3"	"3"	"2"	"3"	"6"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"4"	"5"	"0"	"125"	"125"	"1"	"1"
"17944"	"4"	"17"	"9"	"2"	"380"	"22"	"27"	"35"	"32"	"3"	"4"	"4"	"2"	"7"	"46"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"26"	"7"	"0"	"218"	"218"	"1"	"0"
"17945"	"4"	"17"	"9"	"2"	"380"	"32"	"21"	"38"	"27"	"5"	"14"	"1"	"3"	"7"	"37"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"22"	"4"	"0"	"215"	"215"	"1"	"0"
"17946"	"4"	"17"	"9"	"2"	"380"	"42"	"25"	"43"	"26"	"6"	"8"	"2"	"3"	"4"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"21"	"6"	"4"	"211"	"211"	"1"	"0"
"17947"	"4"	"17"	"9"	"2"	"380"	"21"	"38"	"52"	"33"	"2"	"8"	"2"	"1"	"3"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"13"	"6"	"0"	"209"	"209"	"1"	"0"
"17948"	"4"	"17"	"9"	"2"	"376"	"26"	"22"	"32"	"34"	"7"	"9"	"2"	"2"	"5"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"26"	"4"	"0"	"200"	"200"	"1"	"0"
"17949"	"4"	"17"	"9"	"2"	"376"	"22"	"25"	"40"	"27"	"3"	"9"	"1"	"1"	"6"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"17"	"6"	"0"	"179"	"179"	"1"	"0"
"17950"	"4"	"17"	"9"	"2"	"376"	"23"	"32"	"34"	"33"	"6"	"10"	"1"	"1"	"6"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"18"	"5"	"1"	"194"	"194"	"1"	"0"
"17951"	"4"	"17"	"9"	"2"	"191"	"10"	"21"	"31"	"14"	"4"	"4"	"2"	"1"	"3"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"1"	"2"	"0"	"113"	"113"	"1"	"0"
"17952"	"4"	"17"	"9"	"2"	"192"	"9"	"12"	"19"	"15"	"2"	"4"	"1"	"1"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"89"	"89"	"7"	"2"	"0"	"98"	"98"	"1"	"0"
"17953"	"4"	"17"	"9"	"2"	"380"	"50"	"37"	"3"	"27"	"14"	"6"	"4"	"3"	"5"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"37"	"9"	"0"	"214"	"214"	"1"	"0"
"17954"	"4"	"17"	"9"	"2"	"376"	"56"	"50"	"4"	"11"	"12"	"4"	"4"	"1"	"5"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"20"	"5"	"0"	"187"	"187"	"1"	"0"
"17955"	"4"	"17"	"9"	"2"	"376"	"56"	"33"	"7"	"21"	"12"	"4"	"4"	"1"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"17"	"6"	"0"	"175"	"175"	"1"	"0"
"17956"	"4"	"17"	"9"	"2"	"380"	"61"	"34"	"11"	"26"	"10"	"5"	"1"	"3"	"4"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"15"	"7"	"0"	"191"	"191"	"1"	"0"
"17957"	"4"	"17"	"9"	"2"	"317"	"51"	"28"	"4"	"25"	"6"	"4"	"2"	"1"	"2"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"17"	"6"	"0"	"160"	"160"	"1"	"0"
"17958"	"4"	"17"	"9"	"2"	"317"	"41"	"39"	"8"	"22"	"6"	"6"	"2"	"1"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"11"	"6"	"0"	"152"	"152"	"1"	"0"
