"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"WINAQ"	"UCN"	"VIVA"	"FUERZA"	"FCN_NACION"	"UNIONISTA"	"URNG_MAIZ"	"MLP"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17969"	"4"	"17"	"9"	"2"	"376"	"31"	"30"	"11"	"91"	"4"	"4"	"2"	"0"	"6"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"15"	"3"	"2"	"211"	"211"	"1"	"0"
"17970"	"4"	"17"	"9"	"2"	"380"	"31"	"33"	"12"	"88"	"3"	"3"	"2"	"1"	"11"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"12"	"7"	"0"	"221"	"221"	"1"	"0"
"17971"	"4"	"17"	"9"	"2"	"376"	"34"	"34"	"11"	"83"	"3"	"3"	"1"	"1"	"5"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"18"	"5"	"0"	"224"	"224"	"1"	"1"
"17972"	"4"	"17"	"9"	"2"	"380"	"29"	"34"	"16"	"76"	"2"	"4"	"1"	"0"	"4"	"39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"11"	"3"	"0"	"220"	"220"	"1"	"0"
"17973"	"4"	"17"	"9"	"2"	"380"	"19"	"38"	"12"	"82"	"4"	"0"	"2"	"1"	"11"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"9"	"9"	"3"	"202"	"202"	"1"	"0"
"17974"	"4"	"17"	"9"	"2"	"380"	"32"	"24"	"12"	"63"	"2"	"3"	"1"	"3"	"14"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"12"	"7"	"0"	"193"	"193"	"1"	"0"
"17975"	"4"	"17"	"9"	"2"	"376"	"24"	"29"	"13"	"68"	"4"	"3"	"2"	"2"	"8"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"19"	"6"	"0"	"205"	"205"	"1"	"0"
"17976"	"4"	"17"	"9"	"2"	"380"	"26"	"37"	"21"	"41"	"4"	"1"	"2"	"2"	"8"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"17"	"4"	"0"	"185"	"185"	"1"	"0"
"17977"	"4"	"17"	"9"	"2"	"270"	"20"	"39"	"5"	"67"	"2"	"1"	"2"	"1"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"7"	"2"	"0"	"167"	"167"	"1"	"0"
"17978"	"4"	"17"	"9"	"2"	"274"	"16"	"26"	"13"	"64"	"3"	"0"	"2"	"0"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"10"	"5"	"1"	"157"	"157"	"1"	"0"
"17979"	"4"	"17"	"9"	"2"	"377"	"29"	"21"	"1"	"32"	"9"	"9"	"17"	"2"	"13"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"29"	"7"	"0"	"219"	"219"	"1"	"0"
"17980"	"4"	"17"	"9"	"2"	"380"	"32"	"18"	"1"	"40"	"5"	"11"	"22"	"2"	"5"	"52"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"25"	"7"	"2"	"222"	"222"	"1"	"0"
"17981"	"4"	"17"	"9"	"2"	"376"	"30"	"25"	"4"	"23"	"5"	"12"	"18"	"2"	"9"	"69"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"17"	"9"	"0"	"228"	"228"	"1"	"0"
"17982"	"4"	"17"	"9"	"2"	"308"	"28"	"27"	"1"	"12"	"7"	"15"	"15"	"1"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"15"	"7"	"0"	"174"	"174"	"1"	"0"
"17983"	"4"	"17"	"9"	"2"	"307"	"22"	"30"	"1"	"17"	"5"	"3"	"16"	"2"	"7"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"10"	"1"	"0"	"172"	"172"	"1"	"0"
"17984"	"4"	"17"	"9"	"2"	"600"	"26"	"52"	"1"	"43"	"5"	"2"	"5"	"1"	"2"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"10"	"8"	"0"	"163"	"163"	"1"	"0"
"17985"	"4"	"17"	"9"	"2"	"406"	"23"	"26"	"1"	"27"	"5"	"0"	"7"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"7"	"3"	"0"	"103"	"103"	"1"	"0"
"17986"	"4"	"17"	"9"	"2"	"406"	"13"	"14"	"2"	"16"	"4"	"0"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"	"54"	"8"	"2"	"0"	"64"	"64"	"1"	"0"
