"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"UCN"	"UNIONISTA"	"CNC"	"URNG_MAIZ"	"SEMILLA"	"TODOS"	"FCN_NACION"	"BIEN"	"PODEMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10446"	"4"	"10"	"6"	"2"	"396"	"23"	"46"	"83"	"3"	"11"	"10"	"2"	"13"	"9"	"12"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"5"	"6"	"0"	"255"	"255"	"1"	"0"
"10447"	"4"	"10"	"6"	"2"	"395"	"34"	"51"	"75"	"1"	"11"	"10"	"1"	"16"	"8"	"10"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"4"	"2"	"0"	"246"	"246"	"1"	"0"
"10448"	"4"	"10"	"6"	"2"	"380"	"41"	"45"	"43"	"2"	"1"	"9"	"4"	"3"	"4"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"26"	"3"	"0"	"198"	"198"	"1"	"0"
"10449"	"4"	"10"	"6"	"2"	"380"	"30"	"56"	"67"	"1"	"2"	"11"	"4"	"8"	"6"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"19"	"3"	"0"	"219"	"219"	"1"	"0"
"10450"	"4"	"10"	"6"	"2"	"380"	"32"	"40"	"43"	"2"	"1"	"9"	"6"	"8"	"1"	"15"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"11"	"6"	"0"	"181"	"181"	"1"	"0"
"10451"	"4"	"10"	"6"	"2"	"258"	"28"	"19"	"30"	"0"	"0"	"5"	"5"	"8"	"3"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"18"	"3"	"0"	"132"	"132"	"1"	"0"
"10452"	"4"	"10"	"6"	"2"	"258"	"19"	"26"	"31"	"0"	"1"	"4"	"1"	"6"	"5"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"15"	"6"	"0"	"127"	"127"	"1"	"0"
"10453"	"4"	"10"	"6"	"2"	"380"	"56"	"39"	"45"	"2"	"14"	"6"	"0"	"22"	"11"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"18"	"9"	"0"	"235"	"235"	"1"	"0"
"10454"	"4"	"10"	"6"	"2"	"380"	"60"	"35"	"57"	"0"	"13"	"14"	"0"	"15"	"7"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"34"	"6"	"1"	"262"	"262"	"1"	"0"
"10455"	"4"	"10"	"6"	"2"	"380"	"50"	"48"	"47"	"0"	"23"	"9"	"0"	"19"	"7"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"11"	"10"	"0"	"237"	"237"	"1"	"0"
