"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CREO"	"UNIONISTA"	"EG"	"WINAQ"	"UNE"	"VALOR"	"UCN"	"URNG_MAIZ"	"PHG"	"PODEMOS"	"MLP"	"VIVA"	"PC"	"BIEN"	"UNIDOS"	"PAN"	"FCN_NACION"	"FUERZA"	"PPT"	"SEMILLA"	"VICTORIA"	"LIBRE"	"AVANZA"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10218"	"3"	"10"	"1"	"2"	"400"	"17"	"10"	"7"	"2"	"5"	"9"	"17"	"7"	"8"	"14"	"12"	"2"	"3"	"4"	"6"	"6"	"0"	"3"	"3"	"19"	"1"	"32"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"37"	"5"	"0"	"245"	"245"	"1"	"0"
"10219"	"3"	"10"	"1"	"2"	"400"	"20"	"9"	"12"	"7"	"6"	"6"	"14"	"7"	"6"	"8"	"13"	"5"	"4"	"10"	"14"	"3"	"2"	"4"	"7"	"22"	"0"	"31"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"231"	"21"	"10"	"1"	"252"	"262"	"0"	"0"
"10220"	"3"	"10"	"1"	"2"	"400"	"23"	"8"	"8"	"2"	"7"	"4"	"13"	"4"	"8"	"13"	"24"	"14"	"5"	"10"	"5"	"6"	"0"	"3"	"2"	"17"	"0"	"31"	"11"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"31"	"13"	"0"	"267"	"267"	"1"	"0"
"10221"	"3"	"10"	"1"	"2"	"400"	"16"	"6"	"12"	"4"	"5"	"4"	"12"	"7"	"6"	"6"	"15"	"13"	"7"	"8"	"11"	"5"	"0"	"6"	"9"	"28"	"3"	"21"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"28"	"9"	"0"	"257"	"257"	"1"	"0"
"10222"	"3"	"10"	"1"	"2"	"400"	"18"	"9"	"4"	"3"	"7"	"2"	"18"	"5"	"10"	"8"	"20"	"7"	"5"	"15"	"12"	"4"	"0"	"3"	"9"	"17"	"1"	"37"	"15"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"21"	"11"	"0"	"266"	"266"	"1"	"0"
"10223"	"3"	"10"	"1"	"2"	"400"	"10"	"9"	"9"	"3"	"7"	"4"	"21"	"6"	"9"	"10"	"15"	"8"	"3"	"10"	"11"	"8"	"2"	"4"	"6"	"8"	"1"	"24"	"14"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"27"	"14"	"0"	"250"	"250"	"1"	"0"
"10224"	"3"	"10"	"1"	"2"	"400"	"18"	"9"	"6"	"1"	"4"	"3"	"15"	"6"	"6"	"5"	"8"	"10"	"1"	"6"	"11"	"8"	"0"	"5"	"6"	"13"	"0"	"19"	"11"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"18"	"8"	"0"	"202"	"202"	"1"	"0"
"10225"	"3"	"10"	"1"	"2"	"400"	"18"	"7"	"5"	"13"	"1"	"1"	"14"	"7"	"8"	"8"	"5"	"3"	"2"	"8"	"6"	"3"	"0"	"9"	"6"	"22"	"4"	"19"	"17"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"26"	"9"	"0"	"230"	"230"	"1"	"0"
"10226"	"3"	"10"	"1"	"2"	"362"	"20"	"9"	"4"	"2"	"6"	"8"	"14"	"7"	"6"	"4"	"22"	"5"	"4"	"9"	"14"	"1"	"0"	"2"	"6"	"28"	"1"	"21"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"211"	"24"	"11"	"0"	"250"	"246"	"0"	"0"
"10227"	"3"	"10"	"1"	"2"	"363"	"14"	"12"	"11"	"1"	"4"	"4"	"13"	"13"	"16"	"9"	"13"	"8"	"2"	"3"	"8"	"3"	"1"	"2"	"3"	"14"	"2"	"18"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"25"	"3"	"0"	"219"	"219"	"1"	"0"
"10228"	"3"	"10"	"1"	"2"	"400"	"11"	"16"	"24"	"1"	"7"	"4"	"18"	"4"	"9"	"7"	"15"	"7"	"4"	"11"	"7"	"4"	"0"	"5"	"2"	"17"	"0"	"22"	"10"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"21"	"19"	"0"	"248"	"248"	"1"	"0"
"10229"	"3"	"10"	"1"	"2"	"0"	"17"	"22"	"12"	"0"	"5"	"8"	"20"	"6"	"13"	"11"	"16"	"7"	"2"	"5"	"6"	"11"	"0"	"4"	"5"	"22"	"1"	"32"	"17"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"27"	"14"	"0"	"289"	"289"	"1"	"0"
"10230"	"3"	"10"	"1"	"2"	"400"	"19"	"15"	"15"	"6"	"7"	"3"	"16"	"1"	"6"	"18"	"12"	"9"	"4"	"12"	"3"	"4"	"0"	"2"	"3"	"18"	"2"	"32"	"16"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"39"	"7"	"0"	"276"	"276"	"1"	"0"
"10231"	"3"	"10"	"1"	"2"	"400"	"21"	"19"	"15"	"2"	"4"	"8"	"20"	"13"	"12"	"14"	"7"	"3"	"4"	"8"	"9"	"6"	"0"	"4"	"7"	"15"	"1"	"24"	"15"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"40"	"18"	"0"	"300"	"300"	"1"	"0"
"10232"	"3"	"10"	"1"	"2"	"400"	"13"	"13"	"10"	"1"	"5"	"3"	"17"	"9"	"8"	"17"	"19"	"11"	"3"	"12"	"5"	"3"	"0"	"3"	"7"	"17"	"2"	"27"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"32"	"22"	"0"	"273"	"273"	"1"	"0"
"10233"	"3"	"10"	"1"	"2"	"400"	"21"	"11"	"7"	"1"	"11"	"4"	"15"	"2"	"8"	"12"	"13"	"2"	"4"	"13"	"3"	"3"	"0"	"1"	"5"	"16"	"0"	"22"	"9"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"20"	"15"	"0"	"224"	"224"	"1"	"0"
"10234"	"3"	"10"	"1"	"2"	"400"	"13"	"22"	"9"	"5"	"7"	"5"	"10"	"6"	"10"	"15"	"17"	"2"	"2"	"12"	"8"	"3"	"0"	"2"	"3"	"12"	"0"	"26"	"14"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"28"	"14"	"0"	"254"	"254"	"1"	"0"
"10235"	"3"	"10"	"1"	"2"	"0"	"13"	"11"	"19"	"6"	"10"	"4"	"12"	"8"	"12"	"15"	"22"	"5"	"2"	"11"	"9"	"0"	"1"	"6"	"2"	"9"	"2"	"18"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"30"	"12"	"0"	"0"	"258"	"0"	"0"
"10236"	"3"	"10"	"1"	"2"	"400"	"16"	"20"	"12"	"5"	"7"	"4"	"17"	"6"	"5"	"16"	"11"	"2"	"3"	"4"	"8"	"0"	"0"	"2"	"3"	"16"	"0"	"27"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"26"	"3"	"0"	"230"	"230"	"1"	"0"
