"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"FCN_NACION"	"URNG_MAIZ"	"SEMILLA"	"PAN"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20646"	"4"	"22"	"7"	"2"	"380"	"83"	"1"	"184"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"14"	"5"	"0"	"290"	"290"	"1"	"0"
"20647"	"4"	"22"	"7"	"2"	"389"	"100"	"2"	"184"	"6"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"16"	"8"	"0"	"322"	"322"	"1"	"0"
"20648"	"4"	"22"	"7"	"2"	"379"	"88"	"1"	"200"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"11"	"10"	"0"	"321"	"321"	"1"	"0"
"20649"	"4"	"22"	"7"	"2"	"380"	"94"	"4"	"182"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"4"	"2"	"0"	"296"	"296"	"1"	"0"
"20650"	"4"	"22"	"7"	"2"	"380"	"74"	"3"	"185"	"12"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"4"	"6"	"1"	"287"	"287"	"1"	"0"
"20651"	"4"	"22"	"7"	"2"	"380"	"83"	"2"	"179"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"3"	"0"	"284"	"284"	"1"	"1"
"20652"	"4"	"22"	"7"	"2"	"380"	"80"	"1"	"193"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"9"	"2"	"1"	"293"	"293"	"1"	"0"
"20653"	"4"	"22"	"7"	"2"	"236"	"63"	"1"	"112"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"3"	"2"	"0"	"184"	"184"	"1"	"0"
"20654"	"4"	"22"	"7"	"2"	"236"	"45"	"1"	"127"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"1"	"1"	"0"	"180"	"180"	"1"	"0"
"20655"	"4"	"22"	"7"	"2"	"380"	"169"	"25"	"76"	"7"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"88"	"2"	"0"	"380"	"380"	"1"	"0"
"20656"	"4"	"22"	"7"	"2"	"380"	"145"	"27"	"67"	"13"	"4"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"108"	"3"	"0"	"380"	"380"	"1"	"0"
"20657"	"4"	"22"	"7"	"2"	"380"	"172"	"30"	"55"	"9"	"3"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"91"	"4"	"0"	"380"	"380"	"1"	"0"
"20658"	"4"	"22"	"7"	"2"	"380"	"169"	"25"	"57"	"2"	"4"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"102"	"7"	"0"	"380"	"380"	"1"	"0"
"20659"	"4"	"22"	"7"	"2"	"380"	"146"	"23"	"68"	"7"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"118"	"1"	"0"	"380"	"379"	"0"	"1"
"20660"	"4"	"22"	"7"	"2"	"380"	"160"	"20"	"51"	"5"	"0"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"124"	"3"	"0"	"380"	"380"	"1"	"0"
"20661"	"4"	"22"	"7"	"2"	"321"	"141"	"15"	"37"	"5"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"108"	"6"	"0"	"321"	"321"	"1"	"0"
"20662"	"4"	"22"	"7"	"2"	"321"	"154"	"11"	"59"	"4"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"84"	"0"	"0"	"321"	"321"	"1"	"0"
"20663"	"4"	"22"	"7"	"2"	"474"	"69"	"7"	"51"	"2"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"5"	"4"	"0"	"143"	"143"	"1"	"0"
"20664"	"4"	"22"	"7"	"2"	"474"	"59"	"5"	"39"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"4"	"2"	"0"	"112"	"112"	"1"	"0"
