"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"TODOS"	"VIVA"	"CREO"	"PHG"	"BIEN"	"VICTORIA"	"VALOR"	"PC"	"FCN_NACION"	"UNE"	"SEMILLA"	"PPT"	"PAN"	"AVANZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3552"	"4"	"1"	"13"	"2"	"401"	"8"	"13"	"5"	"11"	"26"	"77"	"7"	"2"	"16"	"1"	"3"	"46"	"9"	"0"	"1"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"15"	"3"	"0"	"284"	"284"	"1"	"0"
"3553"	"4"	"1"	"13"	"1"	"40"	"14"	"7"	"5"	"16"	"26"	"67"	"13"	"2"	"16"	"3"	"4"	"54"	"4"	"0"	"2"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"11"	"7"	"0"	"290"	"290"	"1"	"0"
"3554"	"4"	"1"	"13"	"2"	"284"	"11"	"6"	"0"	"7"	"16"	"48"	"6"	"1"	"13"	"1"	"2"	"43"	"2"	"0"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"7"	"2"	"0"	"184"	"184"	"1"	"1"
"3555"	"4"	"1"	"13"	"2"	"278"	"10"	"3"	"2"	"5"	"30"	"53"	"13"	"2"	"19"	"2"	"3"	"43"	"5"	"1"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"1"	"1"	"0"	"216"	"216"	"1"	"0"
"3556"	"4"	"1"	"13"	"2"	"380"	"14"	"4"	"6"	"11"	"17"	"68"	"31"	"3"	"26"	"3"	"10"	"43"	"15"	"0"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"15"	"4"	"0"	"285"	"285"	"1"	"0"
"3557"	"4"	"1"	"13"	"2"	"364"	"18"	"11"	"1"	"14"	"10"	"69"	"22"	"2"	"23"	"5"	"8"	"62"	"18"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"14"	"2"	"16"	"292"	"292"	"1"	"0"
"3558"	"4"	"1"	"13"	"2"	"380"	"13"	"3"	"1"	"17"	"17"	"67"	"22"	"1"	"22"	"11"	"9"	"43"	"18"	"0"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"17"	"7"	"1"	"278"	"278"	"1"	"0"
"3559"	"4"	"1"	"13"	"1"	"380"	"15"	"11"	"1"	"20"	"17"	"77"	"23"	"1"	"24"	"2"	"13"	"52"	"19"	"2"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"13"	"5"	"0"	"306"	"306"	"1"	"0"
"3560"	"4"	"1"	"13"	"2"	"380"	"21"	"5"	"1"	"13"	"22"	"79"	"15"	"3"	"15"	"1"	"10"	"57"	"21"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"3"	"0"	"286"	"286"	"1"	"0"
"3561"	"4"	"1"	"13"	"2"	"380"	"12"	"8"	"0"	"8"	"16"	"55"	"17"	"1"	"25"	"3"	"8"	"55"	"16"	"0"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"13"	"1"	"0"	"253"	"253"	"1"	"0"
"3562"	"4"	"1"	"13"	"2"	"377"	"8"	"6"	"0"	"19"	"24"	"64"	"17"	"1"	"15"	"4"	"5"	"43"	"19"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"18"	"5"	"0"	"257"	"257"	"1"	"0"
"3563"	"4"	"1"	"13"	"2"	"380"	"16"	"7"	"1"	"7"	"13"	"62"	"17"	"3"	"20"	"6"	"6"	"44"	"16"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"16"	"17"	"0"	"261"	"261"	"1"	"0"
