"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"UCN"	"FCN_NACION"	"PHG"	"SEMILLA"	"UNE"	"AVANZA"	"VALOR"	"DESANRAY"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3479"	"4"	"1"	"11"	"2"	"373"	"43"	"11"	"59"	"30"	"32"	"3"	"41"	"8"	"4"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"3"	"14"	"0"	"264"	"274"	"0"	"0"
"3480"	"4"	"1"	"11"	"2"	"380"	"76"	"3"	"33"	"74"	"12"	"2"	"32"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"16"	"13"	"0"	"272"	"272"	"1"	"0"
"3481"	"4"	"1"	"11"	"2"	"378"	"68"	"4"	"53"	"56"	"17"	"6"	"40"	"2"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"16"	"9"	"0"	"283"	"283"	"1"	"0"
"3482"	"4"	"1"	"11"	"2"	"380"	"72"	"3"	"34"	"67"	"16"	"1"	"47"	"2"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"16"	"11"	"0"	"284"	"284"	"1"	"0"
"3483"	"4"	"1"	"11"	"2"	"0"	"61"	"5"	"39"	"44"	"31"	"7"	"40"	"2"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"8"	"0"	"263"	"263"	"1"	"0"
"3484"	"4"	"1"	"11"	"2"	"380"	"52"	"3"	"41"	"48"	"13"	"4"	"32"	"2"	"6"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"16"	"7"	"0"	"244"	"244"	"1"	"0"
"3485"	"4"	"1"	"11"	"2"	"352"	"50"	"2"	"38"	"60"	"19"	"3"	"26"	"2"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"9"	"5"	"0"	"234"	"234"	"1"	"0"
"3486"	"4"	"1"	"11"	"2"	"0"	"55"	"2"	"33"	"68"	"17"	"10"	"29"	"3"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"2"	"1"	"0"	"245"	"245"	"1"	"0"
"3487"	"4"	"1"	"11"	"2"	"380"	"17"	"5"	"60"	"22"	"18"	"2"	"58"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"19"	"9"	"0"	"220"	"220"	"1"	"0"
"3488"	"4"	"1"	"11"	"2"	"380"	"22"	"3"	"85"	"32"	"33"	"0"	"51"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"13"	"5"	"0"	"252"	"252"	"1"	"0"
"3489"	"4"	"1"	"11"	"2"	"380"	"16"	"6"	"66"	"37"	"36"	"0"	"47"	"4"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"8"	"8"	"0"	"245"	"245"	"1"	"0"
"3490"	"4"	"1"	"11"	"2"	"377"	"30"	"3"	"49"	"22"	"14"	"1"	"48"	"2"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"5"	"8"	"0"	"196"	"196"	"1"	"0"
"3491"	"4"	"1"	"11"	"2"	"276"	"10"	"4"	"43"	"15"	"16"	"1"	"31"	"2"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"8"	"5"	"0"	"144"	"144"	"1"	"0"
"3492"	"4"	"1"	"11"	"2"	"277"	"11"	"2"	"54"	"23"	"18"	"3"	"30"	"2"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"3"	"2"	"0"	"163"	"163"	"1"	"0"
"3493"	"4"	"1"	"11"	"2"	"597"	"24"	"3"	"39"	"25"	"23"	"8"	"35"	"4"	"1"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"7"	"7"	"0"	"209"	"209"	"1"	"0"
"3494"	"4"	"1"	"11"	"2"	"365"	"13"	"7"	"53"	"12"	"6"	"8"	"19"	"2"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"4"	"6"	"0"	"152"	"152"	"1"	"0"
"3495"	"4"	"1"	"11"	"2"	"361"	"9"	"4"	"20"	"10"	"12"	"2"	"15"	"0"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"86"	"86"	"5"	"2"	"0"	"93"	"93"	"1"	"0"
