"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"URNG_MAIZ"	"TODOS"	"PODEMOS"	"FUERZA"	"PHG"	"FCN_NACION"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8451"	"4"	"7"	"19"	"2"	"400"	"122"	"6"	"86"	"92"	"5"	"17"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"13"	"5"	"0"	"351"	"351"	"1"	"0"
"8452"	"4"	"7"	"19"	"2"	"400"	"118"	"1"	"73"	"98"	"5"	"23"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"16"	"6"	"0"	"345"	"345"	"1"	"0"
"8453"	"4"	"7"	"19"	"2"	"400"	"129"	"4"	"75"	"95"	"3"	"25"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"343"	"343"	"8"	"7"	"0"	"358"	"358"	"1"	"0"
"8454"	"4"	"7"	"19"	"2"	"400"	"153"	"2"	"75"	"82"	"4"	"21"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"340"	"340"	"7"	"5"	"0"	"352"	"352"	"1"	"0"
"8455"	"4"	"7"	"19"	"2"	"400"	"136"	"1"	"53"	"122"	"2"	"26"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"346"	"346"	"10"	"2"	"0"	"358"	"358"	"1"	"0"
"8456"	"4"	"7"	"19"	"2"	"400"	"119"	"3"	"80"	"92"	"4"	"25"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"4"	"1"	"0"	"334"	"334"	"1"	"0"
"8457"	"4"	"7"	"19"	"2"	"400"	"121"	"4"	"79"	"94"	"4"	"19"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"10"	"7"	"0"	"346"	"346"	"1"	"0"
"8458"	"4"	"7"	"19"	"2"	"400"	"122"	"3"	"78"	"85"	"6"	"18"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"1"	"2"	"0"	"318"	"318"	"1"	"0"
"8459"	"4"	"7"	"19"	"2"	"400"	"129"	"2"	"90"	"70"	"9"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"10"	"5"	"0"	"341"	"341"	"1"	"0"
"8460"	"4"	"7"	"19"	"2"	"400"	"156"	"8"	"74"	"80"	"6"	"17"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"346"	"346"	"8"	"1"	"0"	"355"	"355"	"1"	"0"
