"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"FCN_NACION"	"VICTORIA"	"WINAQ"	"VALOR"	"BIEN"	"SEMILLA"	"LAHO"	"TODOS"	"CONVERGENCIA"	"MLP"	"LIBRE"	"PHG"	"PODEMOS"	"VAMOS"	"PAN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17400"	"4"	"16"	"15"	"2"	"380"	"38"	"1"	"0"	"29"	"29"	"2"	"4"	"3"	"2"	"12"	"3"	"5"	"0"	"16"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"27"	"10"	"0"	"187"	"187"	"1"	"0"
"17401"	"4"	"16"	"15"	"2"	"221"	"20"	"1"	"1"	"15"	"15"	"1"	"9"	"0"	"1"	"5"	"4"	"5"	"2"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"5"	"3"	"0"	"101"	"101"	"1"	"0"
"17402"	"4"	"16"	"15"	"2"	"220"	"13"	"2"	"2"	"22"	"13"	"3"	"4"	"2"	"1"	"8"	"2"	"0"	"1"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"0"	"0"	"0"	"83"	"83"	"1"	"0"
"17403"	"4"	"16"	"15"	"2"	"387"	"78"	"2"	"5"	"31"	"7"	"1"	"1"	"0"	"2"	"0"	"5"	"2"	"3"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"16"	"6"	"0"	"165"	"165"	"1"	"0"
"17404"	"4"	"16"	"15"	"2"	"380"	"69"	"2"	"6"	"29"	"9"	"1"	"3"	"0"	"3"	"1"	"4"	"7"	"12"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"13"	"5"	"0"	"173"	"173"	"1"	"0"
"17405"	"4"	"16"	"15"	"2"	"380"	"54"	"2"	"6"	"30"	"14"	"0"	"2"	"0"	"9"	"7"	"4"	"7"	"10"	"10"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"29"	"15"	"0"	"202"	"202"	"1"	"0"
"17406"	"4"	"16"	"15"	"2"	"380"	"52"	"3"	"3"	"41"	"16"	"0"	"1"	"0"	"2"	"8"	"1"	"4"	"8"	"19"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"23"	"2"	"0"	"189"	"189"	"1"	"0"
"17407"	"4"	"16"	"15"	"2"	"376"	"42"	"2"	"6"	"33"	"20"	"0"	"0"	"1"	"3"	"3"	"0"	"3"	"9"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"11"	"2"	"0"	"152"	"152"	"1"	"0"
"17408"	"4"	"16"	"15"	"2"	"380"	"62"	"3"	"7"	"19"	"21"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"7"	"13"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"20"	"7"	"0"	"167"	"167"	"1"	"0"
"17409"	"4"	"16"	"15"	"2"	"357"	"48"	"2"	"3"	"25"	"9"	"0"	"4"	"1"	"2"	"2"	"3"	"4"	"4"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"18"	"4"	"0"	"139"	"139"	"1"	"0"
"17410"	"4"	"16"	"15"	"2"	"357"	"28"	"0"	"9"	"29"	"6"	"0"	"1"	"1"	"2"	"4"	"1"	"2"	"10"	"19"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"6"	"3"	"0"	"128"	"128"	"1"	"0"
"17411"	"4"	"16"	"15"	"2"	"383"	"43"	"2"	"10"	"31"	"29"	"20"	"6"	"0"	"3"	"6"	"8"	"6"	"2"	"12"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"23"	"8"	"0"	"215"	"215"	"1"	"0"
"17412"	"4"	"16"	"15"	"2"	"380"	"31"	"2"	"2"	"46"	"31"	"14"	"17"	"2"	"5"	"9"	"6"	"13"	"5"	"4"	"10"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"22"	"3"	"0"	"228"	"228"	"1"	"0"
"17413"	"4"	"16"	"15"	"2"	"380"	"53"	"5"	"10"	"16"	"46"	"8"	"19"	"0"	"5"	"2"	"9"	"12"	"2"	"13"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"26"	"16"	"0"	"251"	"251"	"1"	"0"
"17414"	"4"	"16"	"15"	"2"	"219"	"23"	"1"	"4"	"12"	"23"	"5"	"7"	"0"	"5"	"5"	"3"	"1"	"6"	"7"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"6"	"8"	"0"	"126"	"126"	"1"	"0"
"17415"	"4"	"16"	"15"	"2"	"217"	"18"	"1"	"2"	"15"	"25"	"6"	"2"	"0"	"2"	"1"	"4"	"3"	"3"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"91"	"91"	"11"	"3"	"0"	"105"	"105"	"1"	"0"
"17416"	"4"	"16"	"15"	"2"	"522"	"10"	"1"	"2"	"10"	"10"	"4"	"1"	"1"	"6"	"1"	"2"	"3"	"4"	"3"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"11"	"2"	"0"	"83"	"83"	"1"	"0"
"17417"	"4"	"16"	"15"	"2"	"522"	"2"	"0"	"1"	"13"	"3"	"1"	"2"	"1"	"4"	"0"	"2"	"1"	"0"	"5"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"46"	"46"	"5"	"3"	"0"	"54"	"54"	"1"	"0"
