"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"FCN_NACION"	"WINAQ"	"TODOS"	"CREO"	"VICTORIA"	"BIEN"	"UCN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16726"	"4"	"16"	"8"	"2"	"380"	"72"	"61"	"82"	"0"	"2"	"6"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"0"	"3"	"13"	"251"	"251"	"1"	"1"
"16727"	"4"	"16"	"8"	"2"	"380"	"80"	"49"	"110"	"1"	"0"	"6"	"9"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"23"	"2"	"0"	"283"	"283"	"1"	"0"
"16728"	"4"	"16"	"8"	"2"	"380"	"70"	"72"	"76"	"0"	"1"	"5"	"37"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"25"	"6"	"0"	"295"	"295"	"1"	"1"
"16729"	"4"	"16"	"8"	"2"	"380"	"69"	"61"	"92"	"0"	"0"	"2"	"19"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"17"	"4"	"0"	"267"	"267"	"1"	"1"
"16730"	"4"	"16"	"8"	"2"	"376"	"77"	"59"	"85"	"0"	"1"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"2"	"0"	"250"	"250"	"1"	"2"
"16731"	"4"	"16"	"8"	"2"	"379"	"87"	"82"	"96"	"1"	"0"	"1"	"15"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"285"	"15"	"3"	"0"	"309"	"303"	"0"	"0"
"16732"	"4"	"16"	"8"	"2"	"377"	"96"	"67"	"97"	"2"	"0"	"5"	"15"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"12"	"2"	"0"	"298"	"298"	"1"	"0"
"16733"	"4"	"16"	"8"	"2"	"380"	"72"	"66"	"95"	"0"	"2"	"1"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"16"	"4"	"0"	"267"	"267"	"1"	"1"
"16734"	"4"	"16"	"8"	"2"	"380"	"77"	"64"	"98"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"30"	"1"	"0"	"274"	"274"	"1"	"0"
"16735"	"4"	"16"	"8"	"2"	"359"	"93"	"65"	"80"	"0"	"0"	"4"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"0"	"3"	"6"	"253"	"253"	"1"	"0"
"16736"	"4"	"16"	"8"	"2"	"358"	"74"	"74"	"88"	"0"	"0"	"5"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"2"	"0"	"260"	"260"	"1"	"0"
"16737"	"4"	"16"	"8"	"2"	"380"	"102"	"48"	"62"	"1"	"3"	"5"	"52"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"277"	"8"	"2"	"0"	"288"	"287"	"0"	"0"
"16738"	"4"	"16"	"8"	"2"	"380"	"81"	"68"	"79"	"1"	"2"	"1"	"68"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"11"	"0"	"0"	"312"	"312"	"1"	"1"
"16739"	"4"	"16"	"8"	"2"	"380"	"135"	"57"	"62"	"0"	"2"	"2"	"41"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"19"	"2"	"0"	"323"	"323"	"1"	"0"
"16740"	"4"	"16"	"8"	"2"	"380"	"89"	"47"	"72"	"0"	"2"	"0"	"66"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"16"	"2"	"0"	"297"	"297"	"1"	"0"
"16741"	"4"	"16"	"8"	"2"	"380"	"83"	"48"	"36"	"0"	"0"	"6"	"27"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"7"	"3"	"10"	"201"	"211"	"0"	"0"
"16742"	"4"	"16"	"8"	"2"	"380"	"85"	"55"	"41"	"0"	"0"	"5"	"58"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"4"	"0"	"263"	"263"	"1"	"1"
"16743"	"4"	"16"	"8"	"2"	"225"	"42"	"32"	"24"	"0"	"0"	"4"	"35"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"6"	"2"	"0"	"146"	"146"	"1"	"0"
"16744"	"4"	"16"	"8"	"2"	"225"	"55"	"27"	"28"	"0"	"0"	"1"	"42"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"4"	"3"	"0"	"161"	"161"	"1"	"0"
"16745"	"4"	"16"	"8"	"2"	"380"	"32"	"108"	"98"	"0"	"1"	"0"	"26"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"29"	"3"	"0"	"0"	"300"	"0"	"0"
"16746"	"4"	"16"	"8"	"2"	"380"	"63"	"90"	"111"	"0"	"2"	"2"	"27"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"17"	"5"	"0"	"323"	"323"	"1"	"0"
"16747"	"4"	"16"	"8"	"2"	"380"	"58"	"80"	"118"	"0"	"6"	"0"	"40"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"11"	"3"	"0"	"318"	"318"	"1"	"0"
"16748"	"4"	"16"	"8"	"2"	"380"	"61"	"91"	"63"	"0"	"7"	"0"	"58"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"15"	"1"	"0"	"304"	"304"	"1"	"0"
"16749"	"4"	"16"	"8"	"2"	"325"	"38"	"75"	"68"	"1"	"3"	"1"	"24"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"5"	"1"	"0"	"220"	"219"	"0"	"1"
"16750"	"4"	"16"	"8"	"2"	"325"	"62"	"60"	"80"	"1"	"4"	"1"	"18"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"5"	"10"	"0"	"233"	"242"	"0"	"0"
"16751"	"4"	"16"	"8"	"2"	"378"	"39"	"67"	"109"	"2"	"4"	"2"	"14"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"23"	"8"	"1"	"277"	"277"	"1"	"1"
"16752"	"4"	"16"	"8"	"2"	"380"	"37"	"66"	"109"	"1"	"3"	"0"	"18"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"28"	"7"	"0"	"283"	"283"	"1"	"0"
"16753"	"4"	"16"	"8"	"2"	"380"	"49"	"130"	"44"	"2"	"8"	"1"	"40"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"7"	"7"	"0"	"291"	"290"	"0"	"0"
"16754"	"4"	"16"	"8"	"2"	"380"	"52"	"93"	"47"	"1"	"28"	"1"	"54"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"17"	"10"	"0"	"306"	"306"	"1"	"0"
"16755"	"4"	"16"	"8"	"2"	"373"	"60"	"87"	"65"	"3"	"10"	"3"	"64"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"17"	"12"	"0"	"324"	"324"	"1"	"0"
"16756"	"4"	"16"	"8"	"2"	"380"	"33"	"65"	"77"	"3"	"5"	"1"	"32"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"18"	"6"	"0"	"248"	"248"	"1"	"0"
"16757"	"4"	"16"	"8"	"2"	"206"	"18"	"39"	"40"	"0"	"3"	"0"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"119"	"4"	"6"	"71"	"129"	"129"	"0"	"6"
"16758"	"4"	"16"	"8"	"2"	"205"	"20"	"39"	"39"	"0"	"6"	"0"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"9"	"3"	"0"	"133"	"132"	"0"	"1"
"16759"	"4"	"16"	"8"	"2"	"376"	"28"	"51"	"76"	"1"	"1"	"7"	"60"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"27"	"3"	"0"	"258"	"258"	"1"	"1"
"16760"	"4"	"16"	"8"	"2"	"380"	"56"	"40"	"74"	"0"	"2"	"8"	"33"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"23"	"4"	"0"	"241"	"241"	"1"	"0"
"16761"	"4"	"16"	"8"	"2"	"380"	"68"	"48"	"90"	"0"	"1"	"19"	"31"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"22"	"4"	"0"	"285"	"285"	"1"	"0"
"16762"	"4"	"16"	"8"	"2"	"380"	"57"	"50"	"82"	"1"	"2"	"6"	"38"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"27"	"3"	"0"	"269"	"269"	"1"	"0"
"16763"	"4"	"16"	"8"	"2"	"380"	"46"	"47"	"75"	"1"	"2"	"14"	"35"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"24"	"7"	"0"	"254"	"254"	"1"	"0"
