"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"FCN_NACION"	"WINAQ"	"TODOS"	"CREO"	"VICTORIA"	"BIEN"	"UCN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16779"	"4"	"16"	"8"	"2"	"208"	"28"	"54"	"48"	"0"	"2"	"0"	"5"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"9"	"1"	"0"	"153"	"153"	"1"	"0"
"16780"	"4"	"16"	"8"	"2"	"208"	"35"	"44"	"71"	"0"	"2"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"2"	"2"	"0"	"163"	"163"	"1"	"2"
"16781"	"4"	"16"	"8"	"2"	"376"	"65"	"61"	"58"	"0"	"4"	"6"	"23"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"25"	"3"	"0"	"247"	"247"	"1"	"0"
"16782"	"4"	"16"	"8"	"2"	"380"	"110"	"53"	"86"	"1"	"7"	"3"	"9"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"23"	"5"	"0"	"299"	"299"	"1"	"0"
"16783"	"4"	"16"	"8"	"2"	"380"	"90"	"60"	"98"	"1"	"3"	"4"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"20"	"1"	"0"	"287"	"287"	"1"	"0"
"16784"	"4"	"16"	"8"	"2"	"380"	"71"	"39"	"117"	"0"	"0"	"5"	"15"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"17"	"4"	"0"	"271"	"271"	"1"	"0"
"16785"	"4"	"16"	"8"	"2"	"380"	"93"	"71"	"91"	"1"	"4"	"3"	"10"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"19"	"3"	"0"	"299"	"299"	"1"	"0"
"16786"	"4"	"16"	"8"	"2"	"205"	"55"	"41"	"51"	"1"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"9"	"2"	"0"	"166"	"166"	"1"	"0"
"16787"	"4"	"16"	"8"	"2"	"205"	"48"	"42"	"34"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"6"	"0"	"0"	"135"	"135"	"1"	"1"
"16788"	"4"	"16"	"8"	"2"	"383"	"10"	"47"	"22"	"0"	"0"	"1"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"3"	"2"	"0"	"98"	"98"	"1"	"1"
"16789"	"4"	"16"	"8"	"2"	"354"	"9"	"27"	"21"	"0"	"2"	"2"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"3"	"0"	"0"	"73"	"73"	"1"	"0"
