"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"UCN"	"VAMOS"	"PODEMOS"	"PHG"	"SEMILLA"	"FUERZA"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8408"	"4"	"7"	"17"	"2"	"380"	"55"	"37"	"45"	"0"	"16"	"2"	"187"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"342"	"342"	"4"	"6"	"0"	"352"	"352"	"1"	"0"
"8409"	"4"	"7"	"17"	"2"	"380"	"71"	"37"	"38"	"1"	"11"	"3"	"185"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"346"	"346"	"4"	"5"	"0"	"355"	"355"	"1"	"0"
"8410"	"4"	"7"	"17"	"2"	"397"	"65"	"46"	"44"	"2"	"18"	"2"	"173"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"350"	"350"	"3"	"5"	"0"	"358"	"358"	"1"	"0"
"8411"	"4"	"7"	"17"	"2"	"377"	"53"	"34"	"38"	"0"	"11"	"1"	"192"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"8"	"7"	"0"	"344"	"344"	"1"	"0"
"8412"	"4"	"7"	"17"	"2"	"388"	"60"	"23"	"32"	"0"	"8"	"4"	"188"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"6"	"1"	"0"	"322"	"322"	"1"	"0"
"8413"	"4"	"7"	"17"	"2"	"295"	"35"	"29"	"25"	"0"	"8"	"5"	"144"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"4"	"8"	"0"	"258"	"258"	"1"	"0"
"8414"	"4"	"7"	"17"	"2"	"298"	"40"	"24"	"27"	"0"	"11"	"2"	"157"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"2"	"0"	"0"	"263"	"263"	"1"	"0"
"8415"	"4"	"7"	"17"	"2"	"376"	"82"	"31"	"112"	"0"	"14"	"3"	"88"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"8"	"6"	"0"	"344"	"344"	"1"	"0"
"8416"	"4"	"7"	"17"	"2"	"211"	"47"	"23"	"60"	"0"	"10"	"0"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"3"	"0"	"0"	"192"	"192"	"1"	"0"
"8417"	"4"	"7"	"17"	"2"	"208"	"39"	"29"	"64"	"0"	"13"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"0"	"2"	"0"	"190"	"190"	"1"	"0"
