"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"UNE"	"VALOR"	"UNIONISTA"	"FCN_NACION"	"VIVA"	"PPT"	"UCN"	"CONVERGENCIA"	"EG"	"CREO"	"SEMILLA"	"FUERZA"	"PC"	"PODEMOS"	"BIEN"	"LIBRE"	"URNG_MAIZ"	"VICTORIA"	"UNIDOS"	"PHG"	"PAN"	"AVANZA"	"MLP"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2695"	"3"	"1"	"8"	"2"	"400"	"12"	"22"	"23"	"3"	"16"	"7"	"4"	"29"	"1"	"1"	"3"	"6"	"13"	"39"	"4"	"2"	"5"	"7"	"2"	"5"	"10"	"6"	"22"	"8"	"1"	"10"	"0"	"0"	"0"	"0"	"261"	"261"	"38"	"6"	"0"	"305"	"305"	"1"	"0"
"2696"	"3"	"1"	"8"	"2"	"400"	"16"	"25"	"21"	"3"	"13"	"7"	"3"	"24"	"2"	"5"	"3"	"7"	"14"	"55"	"2"	"2"	"6"	"14"	"2"	"6"	"0"	"3"	"16"	"6"	"3"	"5"	"0"	"0"	"0"	"0"	"263"	"263"	"43"	"3"	"3"	"309"	"309"	"1"	"0"
"2697"	"3"	"1"	"8"	"2"	"400"	"21"	"16"	"19"	"4"	"14"	"6"	"5"	"32"	"2"	"0"	"2"	"12"	"21"	"44"	"3"	"1"	"6"	"9"	"6"	"11"	"4"	"1"	"16"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"266"	"266"	"35"	"6"	"0"	"307"	"307"	"1"	"0"
"2698"	"3"	"1"	"8"	"2"	"400"	"13"	"21"	"23"	"7"	"9"	"10"	"4"	"26"	"5"	"2"	"3"	"14"	"17"	"35"	"5"	"0"	"1"	"1"	"4"	"10"	"12"	"1"	"16"	"4"	"2"	"6"	"0"	"0"	"0"	"0"	"248"	"251"	"56"	"0"	"0"	"304"	"307"	"0"	"0"
"2699"	"3"	"1"	"8"	"2"	"400"	"15"	"20"	"23"	"6"	"12"	"7"	"4"	"29"	"1"	"0"	"2"	"10"	"18"	"36"	"1"	"3"	"5"	"14"	"3"	"7"	"2"	"5"	"25"	"10"	"5"	"4"	"0"	"0"	"0"	"0"	"269"	"267"	"33"	"8"	"0"	"308"	"308"	"0"	"0"
"2700"	"3"	"1"	"8"	"2"	"400"	"13"	"12"	"19"	"3"	"14"	"2"	"2"	"34"	"0"	"3"	"5"	"5"	"11"	"43"	"2"	"0"	"1"	"9"	"4"	"7"	"10"	"4"	"18"	"12"	"3"	"10"	"0"	"0"	"0"	"0"	"246"	"246"	"34"	"1"	"0"	"281"	"281"	"1"	"0"
"2701"	"3"	"1"	"8"	"2"	"400"	"10"	"21"	"32"	"10"	"2"	"12"	"1"	"24"	"1"	"1"	"2"	"6"	"12"	"44"	"3"	"0"	"5"	"4"	"1"	"6"	"16"	"2"	"14"	"6"	"2"	"5"	"0"	"0"	"0"	"0"	"242"	"242"	"28"	"2"	"0"	"272"	"272"	"1"	"0"
"2702"	"3"	"1"	"8"	"2"	"400"	"11"	"18"	"20"	"6"	"15"	"5"	"0"	"20"	"0"	"2"	"0"	"11"	"17"	"36"	"4"	"4"	"4"	"4"	"3"	"4"	"5"	"3"	"13"	"8"	"3"	"5"	"0"	"0"	"0"	"0"	"221"	"221"	"43"	"4"	"0"	"268"	"268"	"1"	"0"
"2703"	"3"	"1"	"8"	"2"	"402"	"10"	"17"	"17"	"3"	"14"	"8"	"2"	"29"	"0"	"1"	"2"	"6"	"7"	"33"	"1"	"3"	"3"	"7"	"1"	"6"	"9"	"6"	"16"	"3"	"3"	"8"	"0"	"0"	"0"	"0"	"215"	"215"	"35"	"5"	"0"	"255"	"255"	"1"	"0"
"2704"	"3"	"1"	"8"	"2"	"400"	"13"	"23"	"31"	"3"	"14"	"4"	"2"	"27"	"0"	"4"	"1"	"7"	"19"	"42"	"3"	"2"	"5"	"8"	"0"	"8"	"7"	"0"	"27"	"4"	"3"	"7"	"0"	"0"	"0"	"0"	"264"	"264"	"27"	"5"	"0"	"296"	"296"	"1"	"0"
"2705"	"3"	"1"	"8"	"2"	"266"	"7"	"21"	"27"	"1"	"11"	"1"	"0"	"17"	"0"	"4"	"3"	"3"	"10"	"26"	"0"	"1"	"3"	"0"	"1"	"2"	"4"	"3"	"17"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"169"	"169"	"14"	"0"	"0"	"183"	"183"	"1"	"0"
"2706"	"3"	"1"	"8"	"2"	"266"	"8"	"16"	"12"	"1"	"12"	"4"	"4"	"9"	"1"	"1"	"0"	"1"	"3"	"20"	"3"	"2"	"2"	"6"	"3"	"4"	"2"	"0"	"7"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"131"	"131"	"16"	"3"	"0"	"150"	"150"	"1"	"0"
"2707"	"3"	"1"	"8"	"2"	"398"	"7"	"19"	"14"	"9"	"12"	"7"	"4"	"33"	"2"	"0"	"2"	"3"	"12"	"35"	"5"	"1"	"3"	"7"	"1"	"8"	"22"	"3"	"20"	"11"	"7"	"6"	"0"	"0"	"0"	"0"	"253"	"253"	"32"	"113"	"0"	"398"	"398"	"1"	"0"
"2708"	"3"	"1"	"8"	"2"	"400"	"15"	"18"	"20"	"7"	"14"	"7"	"3"	"32"	"2"	"3"	"3"	"10"	"13"	"35"	"1"	"1"	"4"	"5"	"6"	"8"	"28"	"3"	"15"	"6"	"2"	"8"	"0"	"0"	"0"	"0"	"269"	"269"	"29"	"7"	"36"	"305"	"305"	"1"	"0"
"2709"	"3"	"1"	"8"	"2"	"401"	"12"	"12"	"12"	"6"	"9"	"7"	"4"	"35"	"4"	"4"	"5"	"6"	"12"	"34"	"4"	"1"	"9"	"6"	"3"	"6"	"12"	"5"	"13"	"11"	"3"	"14"	"0"	"0"	"0"	"0"	"249"	"249"	"34"	"3"	"0"	"286"	"286"	"1"	"0"
"2710"	"3"	"1"	"8"	"2"	"400"	"15"	"19"	"25"	"4"	"19"	"8"	"2"	"30"	"1"	"1"	"5"	"30"	"20"	"36"	"7"	"2"	"24"	"8"	"2"	"3"	"8"	"4"	"23"	"6"	"6"	"8"	"0"	"0"	"0"	"0"	"296"	"316"	"3"	"101"	"0"	"400"	"420"	"0"	"0"
"2711"	"3"	"1"	"8"	"2"	"400"	"8"	"19"	"14"	"4"	"12"	"5"	"2"	"30"	"2"	"2"	"4"	"9"	"15"	"34"	"2"	"1"	"6"	"8"	"1"	"7"	"14"	"1"	"23"	"11"	"0"	"9"	"0"	"0"	"0"	"0"	"243"	"243"	"39"	"14"	"0"	"296"	"296"	"1"	"0"
"2712"	"3"	"1"	"8"	"2"	"400"	"13"	"17"	"17"	"5"	"17"	"8"	"10"	"31"	"0"	"2"	"1"	"4"	"13"	"28"	"6"	"1"	"0"	"8"	"2"	"7"	"14"	"4"	"17"	"17"	"2"	"14"	"0"	"0"	"0"	"0"	"258"	"258"	"22"	"5"	"0"	"285"	"285"	"1"	"0"
"2713"	"3"	"1"	"8"	"2"	"400"	"14"	"19"	"22"	"10"	"10"	"5"	"5"	"20"	"0"	"3"	"5"	"5"	"15"	"33"	"3"	"1"	"7"	"7"	"2"	"10"	"11"	"5"	"12"	"5"	"7"	"4"	"0"	"0"	"0"	"0"	"240"	"240"	"29"	"13"	"0"	"282"	"282"	"1"	"0"
"2714"	"3"	"1"	"8"	"2"	"400"	"12"	"10"	"10"	"12"	"20"	"8"	"0"	"39"	"1"	"5"	"3"	"4"	"14"	"41"	"2"	"0"	"3"	"4"	"2"	"6"	"16"	"0"	"20"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"238"	"238"	"40"	"9"	"0"	"287"	"287"	"1"	"0"
"2715"	"3"	"1"	"8"	"2"	"400"	"14"	"13"	"14"	"9"	"10"	"9"	"5"	"26"	"0"	"5"	"2"	"2"	"14"	"25"	"2"	"1"	"3"	"4"	"1"	"6"	"9"	"2"	"23"	"11"	"2"	"5"	"0"	"0"	"0"	"0"	"217"	"217"	"30"	"3"	"0"	"250"	"250"	"1"	"0"
"2716"	"3"	"1"	"8"	"2"	"400"	"12"	"18"	"28"	"8"	"14"	"1"	"3"	"26"	"1"	"2"	"1"	"7"	"11"	"20"	"3"	"0"	"6"	"4"	"4"	"11"	"12"	"0"	"18"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"222"	"222"	"23"	"10"	"0"	"255"	"255"	"1"	"0"
"2717"	"3"	"1"	"8"	"2"	"220"	"5"	"11"	"14"	"1"	"8"	"6"	"1"	"13"	"0"	"0"	"1"	"5"	"8"	"36"	"1"	"0"	"4"	"3"	"0"	"2"	"5"	"3"	"16"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"151"	"151"	"17"	"2"	"0"	"170"	"170"	"1"	"0"
"2718"	"3"	"1"	"8"	"2"	"220"	"8"	"14"	"10"	"2"	"8"	"3"	"0"	"21"	"0"	"2"	"2"	"1"	"5"	"16"	"1"	"1"	"2"	"2"	"0"	"1"	"7"	"0"	"14"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"130"	"130"	"13"	"2"	"0"	"145"	"145"	"1"	"0"
"2719"	"3"	"1"	"8"	"2"	"400"	"20"	"19"	"13"	"5"	"11"	"6"	"2"	"27"	"2"	"0"	"4"	"5"	"9"	"36"	"4"	"1"	"3"	"3"	"5"	"8"	"26"	"0"	"17"	"13"	"3"	"3"	"0"	"0"	"0"	"0"	"245"	"245"	"39"	"4"	"0"	"288"	"288"	"1"	"0"
"2720"	"3"	"1"	"8"	"2"	"400"	"19"	"17"	"25"	"14"	"16"	"4"	"3"	"25"	"1"	"4"	"3"	"0"	"15"	"30"	"0"	"0"	"3"	"5"	"4"	"6"	"13"	"1"	"0"	"8"	"0"	"5"	"0"	"0"	"0"	"0"	"239"	"221"	"24"	"7"	"0"	"270"	"252"	"0"	"0"
"2721"	"3"	"1"	"8"	"2"	"400"	"25"	"14"	"11"	"7"	"15"	"5"	"2"	"31"	"0"	"3"	"2"	"2"	"16"	"33"	"4"	"3"	"2"	"6"	"1"	"7"	"15"	"2"	"19"	"14"	"2"	"11"	"0"	"0"	"0"	"0"	"252"	"252"	"33"	"7"	"0"	"292"	"292"	"1"	"0"
"2722"	"3"	"1"	"8"	"2"	"400"	"11"	"17"	"20"	"7"	"10"	"5"	"4"	"31"	"0"	"3"	"1"	"3"	"11"	"37"	"5"	"2"	"3"	"7"	"1"	"9"	"17"	"5"	"23"	"4"	"1"	"8"	"0"	"0"	"0"	"0"	"245"	"245"	"30"	"6"	"0"	"281"	"281"	"1"	"0"
"2723"	"3"	"1"	"8"	"2"	"400"	"16"	"23"	"33"	"4"	"11"	"5"	"1"	"17"	"2"	"1"	"1"	"7"	"14"	"33"	"4"	"0"	"5"	"5"	"0"	"4"	"12"	"2"	"23"	"9"	"2"	"6"	"0"	"0"	"0"	"0"	"240"	"240"	"19"	"4"	"0"	"263"	"263"	"1"	"0"
"2724"	"3"	"1"	"8"	"2"	"400"	"16"	"20"	"17"	"7"	"13"	"0"	"0"	"24"	"1"	"2"	"1"	"5"	"13"	"30"	"2"	"5"	"1"	"9"	"3"	"3"	"14"	"1"	"25"	"8"	"3"	"6"	"0"	"0"	"0"	"0"	"229"	"229"	"32"	"9"	"0"	"270"	"270"	"1"	"0"
"2725"	"3"	"1"	"8"	"2"	"400"	"15"	"26"	"21"	"6"	"10"	"6"	"3"	"26"	"0"	"1"	"3"	"15"	"9"	"30"	"4"	"2"	"2"	"2"	"4"	"5"	"6"	"2"	"18"	"10"	"5"	"16"	"0"	"0"	"0"	"0"	"247"	"247"	"22"	"2"	"0"	"271"	"271"	"1"	"0"
"2726"	"3"	"1"	"8"	"2"	"400"	"22"	"19"	"21"	"6"	"13"	"6"	"4"	"32"	"1"	"4"	"2"	"2"	"13"	"28"	"2"	"1"	"0"	"6"	"8"	"9"	"8"	"1"	"11"	"12"	"4"	"7"	"0"	"0"	"0"	"0"	"242"	"242"	"32"	"5"	"0"	"279"	"279"	"1"	"0"
"2727"	"3"	"1"	"8"	"2"	"400"	"22"	"22"	"15"	"5"	"15"	"4"	"2"	"30"	"1"	"1"	"1"	"8"	"13"	"30"	"1"	"2"	"4"	"8"	"6"	"6"	"19"	"3"	"14"	"10"	"7"	"12"	"0"	"0"	"0"	"0"	"261"	"261"	"29"	"5"	"0"	"295"	"295"	"1"	"0"
"2728"	"3"	"1"	"8"	"2"	"400"	"13"	"17"	"19"	"10"	"14"	"3"	"5"	"35"	"1"	"3"	"3"	"6"	"8"	"27"	"1"	"0"	"2"	"6"	"0"	"8"	"15"	"0"	"13"	"15"	"3"	"6"	"0"	"0"	"0"	"0"	"233"	"233"	"37"	"5"	"0"	"275"	"275"	"1"	"0"
"2729"	"3"	"1"	"8"	"2"	"399"	"16"	"12"	"16"	"4"	"16"	"3"	"0"	"22"	"1"	"3"	"0"	"6"	"10"	"38"	"3"	"2"	"2"	"3"	"4"	"4"	"16"	"0"	"22"	"10"	"4"	"5"	"0"	"0"	"0"	"0"	"222"	"222"	"28"	"6"	"0"	"256"	"256"	"1"	"0"
"2730"	"3"	"1"	"8"	"2"	"400"	"17"	"21"	"8"	"9"	"18"	"6"	"3"	"27"	"2"	"1"	"4"	"4"	"13"	"25"	"3"	"2"	"1"	"5"	"0"	"6"	"22"	"1"	"15"	"6"	"2"	"6"	"0"	"0"	"0"	"0"	"227"	"227"	"22"	"4"	"0"	"253"	"253"	"1"	"0"
"2731"	"3"	"1"	"8"	"2"	"400"	"11"	"14"	"14"	"10"	"11"	"6"	"5"	"24"	"2"	"0"	"1"	"2"	"9"	"28"	"2"	"2"	"5"	"5"	"2"	"2"	"23"	"0"	"14"	"15"	"1"	"5"	"0"	"0"	"0"	"0"	"213"	"213"	"11"	"4"	"0"	"228"	"228"	"1"	"0"
"2732"	"3"	"1"	"8"	"2"	"335"	"8"	"33"	"20"	"6"	"17"	"4"	"2"	"22"	"1"	"2"	"1"	"9"	"6"	"25"	"2"	"1"	"3"	"1"	"3"	"4"	"15"	"0"	"18"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"216"	"216"	"17"	"102"	"0"	"335"	"335"	"1"	"0"
"2733"	"3"	"1"	"8"	"2"	"334"	"11"	"31"	"14"	"9"	"11"	"2"	"1"	"15"	"3"	"2"	"3"	"2"	"9"	"15"	"0"	"0"	"2"	"6"	"0"	"3"	"7"	"0"	"18"	"9"	"1"	"7"	"0"	"0"	"0"	"0"	"181"	"181"	"5"	"3"	"0"	"189"	"189"	"1"	"0"
"2734"	"3"	"1"	"8"	"1"	"400"	"13"	"33"	"20"	"15"	"11"	"6"	"2"	"21"	"2"	"1"	"6"	"3"	"9"	"15"	"2"	"2"	"5"	"8"	"0"	"12"	"6"	"3"	"9"	"15"	"2"	"2"	"5"	"8"	"0"	"12"	"237"	"237"	"20"	"10"	"0"	"267"	"267"	"1"	"0"
"2735"	"3"	"1"	"8"	"1"	"400"	"15"	"22"	"18"	"21"	"18"	"2"	"6"	"31"	"0"	"2"	"1"	"3"	"10"	"15"	"2"	"0"	"7"	"10"	"2"	"4"	"22"	"0"	"5"	"8"	"0"	"10"	"0"	"0"	"0"	"0"	"234"	"234"	"28"	"9"	"0"	"271"	"271"	"1"	"0"
"2736"	"3"	"1"	"8"	"1"	"400"	"15"	"33"	"23"	"15"	"13"	"1"	"2"	"23"	"1"	"6"	"4"	"1"	"13"	"18"	"3"	"5"	"3"	"10"	"2"	"9"	"28"	"3"	"12"	"9"	"3"	"4"	"0"	"0"	"0"	"0"	"259"	"259"	"22"	"5"	"0"	"286"	"286"	"1"	"0"
"2737"	"3"	"1"	"8"	"1"	"0"	"12"	"30"	"21"	"16"	"7"	"1"	"1"	"22"	"0"	"4"	"5"	"4"	"16"	"14"	"4"	"2"	"5"	"7"	"2"	"5"	"5"	"4"	"16"	"14"	"4"	"2"	"5"	"7"	"2"	"5"	"231"	"231"	"29"	"9"	"1"	"270"	"269"	"0"	"0"
"2738"	"3"	"1"	"8"	"1"	"400"	"6"	"28"	"18"	"8"	"20"	"3"	"3"	"26"	"1"	"4"	"9"	"5"	"21"	"19"	"1"	"3"	"1"	"9"	"4"	"8"	"29"	"2"	"14"	"8"	"1"	"6"	"0"	"0"	"0"	"0"	"257"	"257"	"20"	"14"	"0"	"291"	"291"	"1"	"0"
"2739"	"3"	"1"	"8"	"1"	"0"	"10"	"23"	"23"	"22"	"17"	"3"	"3"	"29"	"3"	"2"	"2"	"5"	"12"	"13"	"4"	"1"	"1"	"13"	"3"	"4"	"2"	"5"	"12"	"13"	"4"	"1"	"1"	"13"	"3"	"4"	"245"	"245"	"31"	"9"	"0"	"285"	"285"	"1"	"0"
"2740"	"3"	"1"	"8"	"2"	"400"	"10"	"30"	"19"	"17"	"12"	"2"	"3"	"21"	"2"	"5"	"3"	"3"	"7"	"16"	"2"	"0"	"5"	"6"	"4"	"5"	"35"	"0"	"14"	"6"	"1"	"4"	"0"	"0"	"0"	"0"	"232"	"232"	"37"	"10"	"0"	"279"	"279"	"1"	"0"
"2741"	"3"	"1"	"8"	"1"	"400"	"12"	"24"	"22"	"21"	"7"	"1"	"2"	"18"	"1"	"5"	"3"	"5"	"8"	"9"	"3"	"3"	"3"	"20"	"1"	"7"	"31"	"0"	"10"	"6"	"2"	"6"	"0"	"0"	"0"	"0"	"230"	"230"	"35"	"11"	"0"	"276"	"276"	"1"	"0"
"2742"	"3"	"1"	"8"	"1"	"400"	"11"	"29"	"15"	"12"	"19"	"6"	"4"	"27"	"1"	"7"	"4"	"1"	"7"	"13"	"8"	"6"	"6"	"16"	"3"	"5"	"28"	"1"	"7"	"9"	"0"	"6"	"0"	"0"	"0"	"0"	"251"	"251"	"28"	"9"	"0"	"288"	"288"	"1"	"0"
"2743"	"3"	"1"	"8"	"1"	"400"	"14"	"27"	"15"	"16"	"16"	"4"	"1"	"27"	"27"	"7"	"8"	"4"	"7"	"32"	"2"	"1"	"0"	"9"	"1"	"3"	"22"	"0"	"10"	"6"	"3"	"5"	"0"	"0"	"0"	"0"	"267"	"267"	"32"	"16"	"2"	"292"	"315"	"0"	"0"
"2744"	"3"	"1"	"8"	"1"	"400"	"14"	"23"	"15"	"14"	"8"	"2"	"2"	"24"	"3"	"1"	"2"	"1"	"10"	"13"	"4"	"2"	"4"	"10"	"1"	"5"	"29"	"2"	"5"	"5"	"1"	"7"	"0"	"0"	"0"	"0"	"207"	"207"	"31"	"11"	"0"	"249"	"249"	"1"	"0"
"2745"	"3"	"1"	"8"	"1"	"400"	"7"	"35"	"30"	"10"	"16"	"6"	"3"	"15"	"1"	"3"	"5"	"2"	"8"	"8"	"5"	"1"	"3"	"9"	"3"	"0"	"24"	"0"	"11"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"216"	"216"	"20"	"5"	"0"	"241"	"241"	"1"	"0"
"2746"	"3"	"1"	"8"	"1"	"400"	"10"	"35"	"41"	"9"	"10"	"5"	"0"	"19"	"3"	"2"	"1"	"2"	"14"	"18"	"1"	"5"	"1"	"6"	"2"	"2"	"22"	"1"	"15"	"3"	"1"	"7"	"0"	"0"	"0"	"0"	"235"	"235"	"17"	"6"	"0"	"258"	"258"	"1"	"0"
"2747"	"3"	"1"	"8"	"1"	"400"	"8"	"20"	"9"	"9"	"4"	"13"	"3"	"19"	"8"	"4"	"4"	"8"	"20"	"12"	"3"	"2"	"4"	"8"	"2"	"6"	"14"	"0"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"194"	"46"	"10"	"0"	"256"	"250"	"0"	"0"
"2748"	"3"	"1"	"8"	"1"	"400"	"11"	"21"	"19"	"7"	"9"	"2"	"4"	"18"	"0"	"1"	"4"	"0"	"13"	"14"	"5"	"0"	"3"	"10"	"3"	"8"	"34"	"0"	"0"	"6"	"0"	"8"	"0"	"0"	"0"	"0"	"213"	"200"	"19"	"4"	"10"	"236"	"223"	"0"	"0"
"2749"	"3"	"1"	"8"	"1"	"400"	"11"	"23"	"26"	"23"	"12"	"2"	"0"	"24"	"0"	"4"	"2"	"3"	"7"	"15"	"5"	"3"	"3"	"9"	"1"	"7"	"24"	"0"	"14"	"5"	"1"	"7"	"0"	"0"	"0"	"0"	"232"	"231"	"17"	"5"	"3"	"257"	"253"	"0"	"0"
"2750"	"3"	"1"	"8"	"1"	"400"	"14"	"28"	"24"	"9"	"13"	"0"	"1"	"21"	"1"	"3"	"7"	"3"	"13"	"25"	"3"	"4"	"1"	"8"	"0"	"2"	"18"	"2"	"11"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"219"	"219"	"30"	"11"	"1"	"260"	"260"	"1"	"0"
"2751"	"3"	"1"	"8"	"1"	"400"	"10"	"24"	"11"	"21"	"5"	"2"	"19"	"0"	"4"	"3"	"3"	"14"	"9"	"2"	"1"	"3"	"8"	"3"	"3"	"25"	"3"	"14"	"9"	"2"	"1"	"3"	"8"	"3"	"3"	"25"	"233"	"216"	"27"	"6"	"0"	"266"	"249"	"0"	"0"
"2752"	"3"	"1"	"8"	"1"	"400"	"13"	"25"	"23"	"15"	"3"	"4"	"3"	"18"	"1"	"5"	"3"	"5"	"12"	"13"	"2"	"3"	"2"	"5"	"3"	"7"	"32"	"2"	"11"	"11"	"2"	"6"	"0"	"0"	"0"	"0"	"229"	"229"	"24"	"8"	"0"	"261"	"261"	"1"	"0"
"2753"	"3"	"1"	"8"	"1"	"400"	"16"	"28"	"25"	"17"	"13"	"3"	"2"	"25"	"1"	"5"	"1"	"2"	"11"	"11"	"4"	"3"	"3"	"7"	"2"	"4"	"23"	"1"	"11"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"21"	"3"	"0"	"252"	"252"	"1"	"0"
"2754"	"3"	"1"	"8"	"2"	"400"	"7"	"26"	"22"	"17"	"11"	"1"	"4"	"24"	"1"	"10"	"7"	"4"	"6"	"10"	"0"	"0"	"4"	"16"	"0"	"4"	"38"	"2"	"10"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"234"	"234"	"22"	"6"	"0"	"262"	"262"	"1"	"0"
"2755"	"3"	"1"	"8"	"1"	"0"	"12"	"15"	"15"	"14"	"12"	"4"	"3"	"30"	"0"	"8"	"1"	"2"	"12"	"12"	"6"	"1"	"3"	"17"	"0"	"6"	"31"	"2"	"8"	"8"	"2"	"6"	"0"	"0"	"0"	"0"	"230"	"230"	"30"	"10"	"0"	"270"	"270"	"1"	"0"
"2756"	"3"	"1"	"8"	"1"	"399"	"11"	"30"	"21"	"9"	"17"	"2"	"2"	"21"	"1"	"3"	"3"	"2"	"14"	"11"	"1"	"1"	"2"	"14"	"1"	"4"	"25"	"1"	"9"	"11"	"3"	"2"	"0"	"0"	"0"	"0"	"221"	"221"	"20"	"9"	"16"	"250"	"250"	"1"	"0"
"2757"	"3"	"1"	"8"	"1"	"400"	"12"	"28"	"15"	"12"	"10"	"6"	"2"	"26"	"2"	"4"	"5"	"3"	"10"	"18"	"7"	"2"	"1"	"7"	"2"	"6"	"28"	"1"	"6"	"7"	"3"	"5"	"0"	"0"	"0"	"0"	"228"	"228"	"24"	"140"	"8"	"0"	"392"	"0"	"0"
"2758"	"3"	"1"	"8"	"2"	"399"	"9"	"21"	"18"	"17"	"17"	"3"	"3"	"19"	"0"	"1"	"0"	"1"	"3"	"18"	"3"	"1"	"5"	"18"	"2"	"8"	"31"	"2"	"10"	"6"	"1"	"8"	"0"	"0"	"0"	"0"	"225"	"225"	"22"	"15"	"0"	"262"	"262"	"1"	"0"
"2759"	"3"	"1"	"8"	"2"	"400"	"16"	"22"	"25"	"18"	"10"	"4"	"0"	"18"	"1"	"3"	"3"	"8"	"9"	"13"	"3"	"2"	"1"	"11"	"1"	"7"	"29"	"0"	"11"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"223"	"223"	"21"	"6"	"0"	"250"	"250"	"1"	"0"
"2760"	"3"	"1"	"8"	"2"	"257"	"16"	"17"	"13"	"8"	"19"	"3"	"1"	"26"	"1"	"1"	"3"	"2"	"13"	"15"	"7"	"6"	"3"	"8"	"2"	"2"	"29"	"0"	"11"	"7"	"4"	"7"	"0"	"0"	"0"	"0"	"224"	"224"	"25"	"8"	"0"	"257"	"257"	"1"	"0"
"2761"	"3"	"1"	"8"	"1"	"258"	"10"	"28"	"11"	"14"	"19"	"2"	"2"	"19"	"2"	"3"	"6"	"2"	"10"	"10"	"1"	"0"	"2"	"15"	"4"	"7"	"35"	"1"	"0"	"4"	"1"	"6"	"0"	"0"	"0"	"0"	"214"	"214"	"27"	"4"	"0"	"258"	"245"	"0"	"0"
"2762"	"3"	"1"	"8"	"2"	"245"	"12"	"36"	"21"	"12"	"19"	"4"	"1"	"26"	"0"	"7"	"2"	"3"	"11"	"4"	"3"	"0"	"3"	"11"	"3"	"5"	"15"	"0"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"32"	"6"	"0"	"245"	"245"	"1"	"0"
"2763"	"3"	"1"	"8"	"2"	"250"	"16"	"17"	"16"	"13"	"7"	"1"	"1"	"23"	"1"	"6"	"5"	"1"	"10"	"23"	"3"	"2"	"1"	"8"	"1"	"3"	"33"	"0"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"215"	"199"	"27"	"8"	"0"	"250"	"234"	"0"	"0"
"2764"	"3"	"1"	"8"	"2"	"244"	"11"	"32"	"19"	"17"	"14"	"3"	"0"	"29"	"0"	"2"	"2"	"1"	"8"	"9"	"4"	"3"	"5"	"9"	"2"	"6"	"31"	"0"	"4"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"7"	"0"	"244"	"244"	"1"	"0"
"2765"	"3"	"1"	"8"	"2"	"238"	"12"	"20"	"11"	"15"	"20"	"4"	"3"	"22"	"0"	"1"	"2"	"2"	"9"	"10"	"3"	"1"	"1"	"8"	"3"	"5"	"30"	"0"	"7"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"201"	"201"	"29"	"8"	"0"	"238"	"238"	"1"	"0"
"2766"	"3"	"1"	"8"	"2"	"240"	"19"	"26"	"15"	"24"	"13"	"0"	"4"	"21"	"2"	"3"	"7"	"1"	"3"	"17"	"2"	"2"	"0"	"8"	"3"	"3"	"26"	"1"	"4"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"213"	"213"	"21"	"6"	"0"	"240"	"240"	"1"	"0"
"2767"	"3"	"1"	"8"	"2"	"221"	"10"	"22"	"14"	"10"	"14"	"1"	"1"	"17"	"2"	"2"	"5"	"2"	"8"	"8"	"4"	"0"	"3"	"13"	"3"	"4"	"21"	"1"	"8"	"6"	"1"	"8"	"0"	"0"	"0"	"0"	"188"	"188"	"23"	"10"	"0"	"221"	"221"	"1"	"0"
"2768"	"3"	"1"	"8"	"2"	"229"	"6"	"30"	"15"	"17"	"18"	"4"	"1"	"23"	"0"	"7"	"5"	"0"	"10"	"8"	"4"	"2"	"2"	"7"	"0"	"6"	"29"	"1"	"8"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"209"	"209"	"18"	"2"	"0"	"229"	"229"	"1"	"0"
"2769"	"3"	"1"	"8"	"2"	"251"	"14"	"35"	"19"	"18"	"13"	"3"	"0"	"26"	"0"	"4"	"0"	"1"	"8"	"7"	"2"	"2"	"6"	"13"	"2"	"4"	"25"	"1"	"11"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"223"	"223"	"22"	"6"	"0"	"251"	"251"	"1"	"0"
