"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"UNE"	"VALOR"	"UNIONISTA"	"FCN_NACION"	"VIVA"	"PPT"	"UCN"	"CONVERGENCIA"	"EG"	"CREO"	"SEMILLA"	"FUERZA"	"PC"	"PODEMOS"	"BIEN"	"LIBRE"	"URNG_MAIZ"	"VICTORIA"	"UNIDOS"	"PHG"	"PAN"	"AVANZA"	"MLP"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"1893"	"3"	"1"	"2"	"2"	"0"	"14"	"5"	"5"	"7"	"12"	"37"	"4"	"14"	"9"	"3"	"0"	"4"	"15"	"26"	"3"	"36"	"0"	"7"	"4"	"4"	"2"	"1"	"5"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"228"	"228"	"29"	"6"	"0"	"263"	"263"	"1"	"1"
"1894"	"3"	"1"	"2"	"2"	"400"	"21"	"4"	"7"	"6"	"13"	"22"	"2"	"10"	"11"	"5"	"2"	"3"	"19"	"17"	"4"	"31"	"1"	"5"	"3"	"3"	"1"	"2"	"21"	"8"	"4"	"4"	"0"	"0"	"0"	"0"	"229"	"229"	"24"	"7"	"0"	"260"	"260"	"1"	"0"
"1895"	"3"	"1"	"2"	"2"	"400"	"17"	"10"	"8"	"5"	"14"	"29"	"2"	"13"	"11"	"2"	"1"	"4"	"15"	"20"	"0"	"31"	"2"	"2"	"3"	"8"	"4"	"1"	"19"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"227"	"227"	"18"	"8"	"4"	"257"	"253"	"0"	"0"
"1896"	"3"	"1"	"2"	"2"	"398"	"8"	"13"	"13"	"8"	"16"	"26"	"1"	"15"	"11"	"2"	"1"	"5"	"12"	"22"	"6"	"32"	"5"	"3"	"6"	"6"	"3"	"1"	"14"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"239"	"239"	"19"	"7"	"4"	"269"	"265"	"0"	"0"
"1897"	"3"	"1"	"2"	"2"	"400"	"13"	"8"	"10"	"11"	"14"	"32"	"0"	"10"	"15"	"1"	"1"	"5"	"19"	"24"	"2"	"34"	"2"	"3"	"3"	"1"	"1"	"0"	"14"	"9"	"3"	"5"	"0"	"0"	"0"	"0"	"240"	"240"	"22"	"9"	"4"	"271"	"271"	"1"	"0"
"1898"	"3"	"1"	"2"	"2"	"400"	"10"	"6"	"6"	"16"	"12"	"33"	"4"	"13"	"8"	"4"	"3"	"2"	"19"	"28"	"2"	"35"	"2"	"4"	"4"	"4"	"4"	"1"	"19"	"11"	"2"	"6"	"0"	"0"	"0"	"0"	"258"	"258"	"21"	"9"	"1"	"258"	"288"	"0"	"0"
"1899"	"3"	"1"	"2"	"2"	"400"	"20"	"7"	"5"	"7"	"10"	"36"	"1"	"14"	"12"	"5"	"1"	"6"	"15"	"25"	"0"	"36"	"1"	"5"	"2"	"7"	"2"	"2"	"14"	"8"	"2"	"7"	"0"	"0"	"0"	"0"	"250"	"250"	"37"	"5"	"0"	"292"	"292"	"1"	"0"
"1900"	"3"	"1"	"2"	"2"	"400"	"16"	"8"	"10"	"12"	"14"	"36"	"1"	"8"	"10"	"2"	"3"	"6"	"14"	"25"	"2"	"54"	"1"	"0"	"3"	"1"	"1"	"0"	"16"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"254"	"254"	"29"	"11"	"0"	"294"	"294"	"1"	"0"
"1901"	"3"	"1"	"2"	"2"	"400"	"19"	"11"	"4"	"11"	"10"	"31"	"2"	"13"	"14"	"6"	"1"	"4"	"14"	"15"	"1"	"36"	"0"	"7"	"4"	"1"	"2"	"4"	"18"	"8"	"4"	"1"	"0"	"0"	"0"	"0"	"241"	"241"	"28"	"6"	"0"	"275"	"275"	"1"	"0"
"1902"	"3"	"1"	"2"	"2"	"400"	"16"	"6"	"7"	"12"	"14"	"20"	"0"	"12"	"14"	"0"	"0"	"1"	"9"	"19"	"3"	"51"	"1"	"4"	"9"	"3"	"2"	"1"	"20"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"238"	"238"	"21"	"10"	"0"	"269"	"269"	"1"	"0"
