"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"VAMOS"	"PC"	"UNIDOS"	"UCN"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14733"	"4"	"14"	"5"	"2"	"380"	"115"	"1"	"106"	"90"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"4"	"4"	"0"	"325"	"325"	"1"	"0"
"14734"	"4"	"14"	"5"	"1"	"373"	"93"	"0"	"85"	"90"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"8"	"5"	"0"	"295"	"295"	"1"	"0"
"14735"	"4"	"14"	"5"	"2"	"377"	"77"	"1"	"82"	"78"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"6"	"5"	"0"	"259"	"259"	"1"	"0"
"14736"	"4"	"14"	"5"	"2"	"373"	"85"	"1"	"67"	"98"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"8"	"10"	"1"	"285"	"285"	"1"	"0"
"14737"	"4"	"14"	"5"	"2"	"373"	"67"	"2"	"106"	"115"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"2"	"3"	"0"	"301"	"301"	"1"	"0"
"14738"	"4"	"14"	"5"	"2"	"244"	"68"	"0"	"54"	"76"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"0"	"5"	"0"	"209"	"209"	"1"	"0"
"14739"	"4"	"14"	"5"	"2"	"243"	"56"	"0"	"54"	"78"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"4"	"2"	"0"	"198"	"198"	"1"	"0"
"14740"	"4"	"14"	"5"	"2"	"373"	"93"	"1"	"93"	"99"	"4"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"7"	"5"	"0"	"334"	"334"	"1"	"0"
"14741"	"4"	"14"	"5"	"2"	"377"	"92"	"3"	"92"	"80"	"5"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"5"	"8"	"0"	"321"	"321"	"1"	"0"
"14742"	"4"	"14"	"5"	"2"	"377"	"84"	"1"	"121"	"74"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"13"	"7"	"0"	"308"	"308"	"1"	"0"
