"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"PPT"	"FCN_NACION"	"VALOR"	"FUERZA"	"CREO"	"URNG_MAIZ"	"PAN"	"VIVA"	"UCN"	"PC"	"CONVERGENCIA"	"PHG"	"UNE"	"BIEN"	"LIBRE"	"VICTORIA"	"PODEMOS"	"EG"	"UNIONISTA"	"SEMILLA"	"MLP"	"UNIDOS"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9113"	"3"	"9"	"1"	"2"	"400"	"23"	"1"	"35"	"1"	"5"	"15"	"1"	"6"	"2"	"8"	"11"	"4"	"2"	"4"	"26"	"5"	"4"	"3"	"5"	"3"	"2"	"3"	"16"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"42"	"7"	"1"	"248"	"248"	"1"	"0"
"9114"	"3"	"9"	"1"	"2"	"400"	"17"	"4"	"39"	"5"	"5"	"10"	"9"	"5"	"11"	"6"	"15"	"6"	"5"	"5"	"23"	"8"	"1"	"4"	"5"	"7"	"3"	"5"	"19"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"32"	"10"	"0"	"268"	"268"	"1"	"0"
"9115"	"3"	"9"	"1"	"2"	"400"	"25"	"1"	"32"	"3"	"5"	"6"	"8"	"4"	"11"	"13"	"15"	"7"	"3"	"0"	"21"	"4"	"3"	"2"	"3"	"4"	"4"	"4"	"17"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"38"	"7"	"0"	"259"	"259"	"1"	"0"
"9116"	"3"	"9"	"1"	"2"	"400"	"22"	"1"	"34"	"6"	"1"	"11"	"8"	"6"	"13"	"14"	"10"	"9"	"5"	"3"	"22"	"4"	"3"	"0"	"3"	"4"	"7"	"2"	"26"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"43"	"7"	"0"	"274"	"274"	"1"	"0"
"9117"	"3"	"9"	"1"	"2"	"400"	"19"	"8"	"41"	"1"	"3"	"15"	"5"	"9"	"9"	"5"	"18"	"3"	"3"	"5"	"27"	"4"	"3"	"4"	"1"	"7"	"8"	"2"	"12"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"34"	"6"	"5"	"269"	"264"	"0"	"0"
"9118"	"3"	"9"	"1"	"2"	"400"	"11"	"3"	"43"	"3"	"7"	"13"	"4"	"9"	"9"	"8"	"13"	"4"	"9"	"3"	"24"	"2"	"2"	"7"	"2"	"7"	"4"	"4"	"14"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"37"	"5"	"0"	"256"	"256"	"1"	"0"
"9119"	"3"	"9"	"1"	"2"	"400"	"11"	"4"	"30"	"1"	"1"	"14"	"6"	"9"	"6"	"11"	"23"	"5"	"2"	"3"	"28"	"8"	"3"	"5"	"1"	"2"	"2"	"1"	"15"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"47"	"6"	"0"	"251"	"251"	"1"	"0"
"9120"	"3"	"9"	"1"	"2"	"400"	"13"	"3"	"33"	"5"	"3"	"14"	"5"	"8"	"8"	"14"	"19"	"4"	"10"	"3"	"20"	"11"	"1"	"8"	"3"	"7"	"4"	"4"	"15"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"32"	"1"	"0"	"268"	"268"	"1"	"0"
"9121"	"3"	"9"	"1"	"2"	"400"	"15"	"3"	"35"	"2"	"3"	"19"	"11"	"7"	"7"	"7"	"17"	"4"	"6"	"6"	"27"	"2"	"1"	"9"	"5"	"8"	"2"	"3"	"28"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"34"	"8"	"0"	"275"	"275"	"1"	"0"
"9122"	"3"	"9"	"1"	"2"	"400"	"11"	"1"	"22"	"6"	"2"	"9"	"5"	"14"	"9"	"9"	"17"	"9"	"2"	"3"	"16"	"13"	"3"	"6"	"2"	"2"	"1"	"4"	"22"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"42"	"6"	"0"	"251"	"251"	"1"	"0"
"9123"	"3"	"9"	"1"	"2"	"400"	"19"	"3"	"23"	"2"	"2"	"10"	"7"	"13"	"4"	"7"	"10"	"7"	"0"	"1"	"19"	"8"	"4"	"4"	"5"	"7"	"5"	"3"	"18"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"186"	"193"	"18"	"9"	"0"	"213"	"220"	"0"	"0"
"9124"	"3"	"9"	"1"	"2"	"331"	"7"	"4"	"25"	"1"	"0"	"13"	"5"	"5"	"5"	"9"	"13"	"5"	"3"	"3"	"16"	"2"	"0"	"3"	"1"	"6"	"4"	"3"	"18"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"32"	"5"	"0"	"204"	"204"	"1"	"0"
"9125"	"3"	"9"	"1"	"2"	"333"	"10"	"2"	"42"	"3"	"3"	"11"	"4"	"6"	"6"	"3"	"11"	"4"	"6"	"4"	"23"	"1"	"1"	"0"	"2"	"8"	"3"	"0"	"17"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"33"	"7"	"1"	"220"	"220"	"1"	"0"
