"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"EL_RELOJ"	"MLP"	"UNIONISTA"	"VIVA"	"PODEMOS"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10555"	"4"	"10"	"9"	"2"	"380"	"21"	"100"	"28"	"1"	"0"	"11"	"9"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"4"	"2"	"0"	"265"	"265"	"1"	"0"
"10556"	"4"	"10"	"9"	"2"	"380"	"19"	"116"	"19"	"1"	"0"	"17"	"14"	"81"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"11"	"4"	"0"	"282"	"282"	"1"	"0"
"10557"	"4"	"10"	"9"	"2"	"380"	"22"	"106"	"27"	"4"	"1"	"24"	"10"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"2"	"3"	"0"	"275"	"275"	"1"	"0"
"10558"	"4"	"10"	"9"	"2"	"380"	"22"	"117"	"31"	"4"	"1"	"20"	"8"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"0"	"0"	"294"	"294"	"1"	"0"
"10559"	"4"	"10"	"9"	"2"	"397"	"20"	"122"	"38"	"7"	"0"	"18"	"9"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"8"	"1"	"0"	"289"	"289"	"1"	"0"
"10560"	"4"	"10"	"9"	"2"	"396"	"18"	"119"	"24"	"4"	"0"	"21"	"9"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"3"	"4"	"0"	"280"	"280"	"1"	"0"
"10561"	"4"	"10"	"9"	"2"	"303"	"18"	"98"	"32"	"1"	"0"	"13"	"8"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"2"	"0"	"0"	"239"	"239"	"1"	"0"
"10562"	"4"	"10"	"9"	"2"	"302"	"12"	"98"	"30"	"2"	"0"	"10"	"6"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"6"	"3"	"0"	"221"	"221"	"1"	"0"
"10563"	"4"	"10"	"9"	"2"	"354"	"15"	"90"	"13"	"1"	"1"	"15"	"3"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"8"	"3"	"0"	"188"	"188"	"1"	"0"
"10564"	"4"	"10"	"9"	"2"	"354"	"15"	"56"	"15"	"0"	"1"	"12"	"3"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"6"	"2"	"204"	"150"	"150"	"1"	"0"
