"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"URNG_MAIZ"	"FCN_NACION"	"CONVERGENCIA"	"WINAQ"	"BIEN"	"UNIONISTA"	"PHG"	"FUERZA"	"VIVA"	"MLP"	"VALOR"	"VICTORIA"	"CREO"	"TODOS"	"EG"	"SEMILLA"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11916"	"4"	"12"	"7"	"2"	"380"	"7"	"76"	"19"	"3"	"4"	"0"	"34"	"1"	"0"	"14"	"0"	"0"	"1"	"0"	"12"	"0"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"17"	"4"	"0"	"198"	"198"	"1"	"0"
"11917"	"4"	"12"	"7"	"2"	"380"	"7"	"92"	"14"	"9"	"4"	"0"	"20"	"0"	"0"	"16"	"1"	"0"	"1"	"1"	"27"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"17"	"3"	"0"	"215"	"215"	"1"	"0"
"11918"	"4"	"12"	"7"	"2"	"379"	"6"	"53"	"4"	"10"	"3"	"0"	"19"	"0"	"2"	"30"	"1"	"0"	"0"	"2"	"23"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"11"	"8"	"0"	"178"	"178"	"1"	"0"
"11919"	"4"	"12"	"7"	"2"	"238"	"2"	"51"	"4"	"4"	"2"	"0"	"19"	"0"	"0"	"9"	"0"	"1"	"0"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"9"	"4"	"0"	"118"	"118"	"1"	"0"
"11920"	"4"	"12"	"7"	"2"	"238"	"2"	"33"	"6"	"6"	"1"	"0"	"5"	"1"	"0"	"14"	"0"	"0"	"0"	"1"	"13"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"86"	"86"	"4"	"2"	"0"	"92"	"92"	"1"	"0"
"11921"	"4"	"12"	"7"	"2"	"380"	"0"	"21"	"32"	"26"	"2"	"5"	"22"	"1"	"0"	"6"	"6"	"11"	"0"	"0"	"10"	"1"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"14"	"12"	"0"	"175"	"175"	"1"	"0"
"11922"	"4"	"12"	"7"	"2"	"0"	"2"	"24"	"30"	"71"	"3"	"2"	"8"	"2"	"0"	"9"	"3"	"6"	"2"	"0"	"15"	"3"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"27"	"12"	"0"	"227"	"227"	"1"	"0"
"11923"	"4"	"12"	"7"	"2"	"380"	"2"	"22"	"29"	"32"	"1"	"0"	"19"	"0"	"0"	"1"	"1"	"9"	"0"	"0"	"9"	"0"	"0"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"8"	"4"	"0"	"147"	"147"	"1"	"0"
"11924"	"4"	"12"	"7"	"2"	"0"	"0"	"17"	"25"	"25"	"1"	"0"	"8"	"1"	"0"	"2"	"4"	"9"	"0"	"0"	"9"	"0"	"0"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"11"	"5"	"0"	"132"	"132"	"1"	"0"
"11925"	"4"	"12"	"7"	"2"	"333"	"0"	"6"	"18"	"31"	"1"	"1"	"9"	"0"	"1"	"1"	"0"	"4"	"0"	"0"	"10"	"0"	"1"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"5"	"3"	"0"	"107"	"107"	"1"	"0"
"11926"	"4"	"12"	"7"	"2"	"380"	"1"	"32"	"12"	"3"	"0"	"0"	"35"	"0"	"1"	"1"	"1"	"7"	"0"	"0"	"10"	"2"	"1"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"20"	"12"	"0"	"151"	"151"	"1"	"1"
"11927"	"4"	"12"	"7"	"2"	"380"	"3"	"61"	"7"	"4"	"1"	"1"	"37"	"3"	"2"	"1"	"2"	"5"	"1"	"0"	"18"	"3"	"0"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"19"	"14"	"0"	"197"	"197"	"1"	"0"
"11928"	"4"	"12"	"7"	"2"	"380"	"1"	"63"	"17"	"7"	"1"	"0"	"36"	"0"	"0"	"3"	"1"	"9"	"0"	"0"	"15"	"4"	"1"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"13"	"11"	"0"	"194"	"194"	"1"	"0"
"11929"	"4"	"12"	"7"	"2"	"380"	"1"	"26"	"11"	"3"	"0"	"1"	"33"	"2"	"1"	"0"	"0"	"4"	"0"	"0"	"11"	"3"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"4"	"4"	"0"	"113"	"113"	"1"	"0"
"11930"	"4"	"12"	"7"	"2"	"226"	"0"	"16"	"3"	"4"	"0"	"0"	"17"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"9"	"2"	"0"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"68"	"4"	"3"	"0"	"75"	"75"	"1"	"0"
"11931"	"4"	"12"	"7"	"2"	"224"	"1"	"18"	"2"	"2"	"0"	"1"	"27"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"7"	"2"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"3"	"0"	"0"	"73"	"73"	"1"	"0"
"11932"	"4"	"12"	"7"	"2"	"380"	"3"	"55"	"12"	"2"	"1"	"0"	"19"	"2"	"4"	"0"	"0"	"3"	"0"	"0"	"32"	"25"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"15"	"12"	"0"	"193"	"193"	"1"	"0"
"11933"	"4"	"12"	"7"	"2"	"380"	"2"	"48"	"5"	"4"	"2"	"4"	"39"	"1"	"7"	"1"	"0"	"1"	"0"	"0"	"43"	"18"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"11"	"10"	"0"	"207"	"207"	"1"	"0"
"11934"	"4"	"12"	"7"	"2"	"380"	"1"	"62"	"2"	"3"	"1"	"1"	"25"	"0"	"5"	"2"	"0"	"0"	"0"	"1"	"48"	"1"	"0"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"9"	"7"	"0"	"184"	"184"	"1"	"0"
"11935"	"4"	"12"	"7"	"2"	"0"	"0"	"61"	"8"	"2"	"0"	"0"	"26"	"1"	"5"	"0"	"0"	"2"	"0"	"0"	"42"	"12"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"7"	"8"	"15"	"181"	"181"	"1"	"0"
"11936"	"4"	"12"	"7"	"2"	"330"	"1"	"46"	"13"	"3"	"0"	"1"	"24"	"0"	"5"	"0"	"1"	"2"	"1"	"0"	"23"	"18"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"8"	"4"	"0"	"158"	"158"	"1"	"0"
"11937"	"4"	"12"	"7"	"2"	"330"	"1"	"30"	"6"	"3"	"0"	"0"	"23"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"28"	"11"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"1"	"4"	"0"	"121"	"121"	"1"	"0"
"11938"	"4"	"12"	"7"	"2"	"380"	"1"	"34"	"14"	"23"	"1"	"0"	"39"	"1"	"0"	"14"	"0"	"3"	"0"	"0"	"15"	"11"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"14"	"13"	"0"	"190"	"190"	"1"	"0"
"11939"	"4"	"12"	"7"	"2"	"380"	"2"	"38"	"13"	"26"	"0"	"0"	"29"	"0"	"0"	"13"	"0"	"7"	"2"	"0"	"23"	"9"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"17"	"9"	"0"	"192"	"192"	"1"	"0"
"11940"	"4"	"12"	"7"	"2"	"262"	"0"	"25"	"3"	"0"	"0"	"0"	"36"	"1"	"0"	"13"	"0"	"1"	"0"	"0"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"96"	"9"	"8"	"0"	"122"	"113"	"0"	"0"
"11941"	"4"	"12"	"7"	"2"	"262"	"0"	"6"	"8"	"14"	"0"	"0"	"29"	"0"	"0"	"8"	"0"	"4"	"0"	"0"	"12"	"6"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"14"	"5"	"0"	"118"	"118"	"1"	"0"
