"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"FUERZA"	"TODOS"	"CONVERGENCIA"	"SEMILLA"	"VICTORIA"	"EG"	"MLP"	"BIEN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14127"	"4"	"13"	"23"	"2"	"380"	"8"	"27"	"24"	"10"	"15"	"6"	"23"	"12"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"10"	"9"	"0"	"150"	"150"	"1"	"0"
"14128"	"4"	"13"	"23"	"2"	"218"	"10"	"13"	"12"	"5"	"10"	"4"	"12"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"1"	"7"	"3"	"84"	"84"	"1"	"0"
"14129"	"4"	"13"	"23"	"2"	"217"	"7"	"11"	"20"	"12"	"19"	"11"	"12"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"3"	"3"	"0"	"111"	"111"	"1"	"0"
"14130"	"4"	"13"	"23"	"2"	"380"	"27"	"6"	"3"	"10"	"15"	"87"	"3"	"7"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"6"	"11"	"0"	"184"	"184"	"1"	"0"
"14131"	"4"	"13"	"23"	"2"	"380"	"49"	"9"	"2"	"9"	"15"	"76"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"6"	"8"	"4"	"178"	"178"	"1"	"0"
"14132"	"4"	"13"	"23"	"2"	"306"	"27"	"9"	"1"	"7"	"17"	"46"	"2"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"5"	"4"	"0"	"122"	"122"	"1"	"0"
"14133"	"4"	"13"	"23"	"2"	"305"	"27"	"8"	"3"	"5"	"19"	"45"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"0"	"2"	"1"	"114"	"114"	"1"	"0"
"14134"	"4"	"13"	"23"	"2"	"380"	"38"	"5"	"3"	"11"	"21"	"47"	"12"	"2"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"20"	"12"	"0"	"192"	"192"	"1"	"0"
"14135"	"4"	"13"	"23"	"2"	"380"	"26"	"19"	"9"	"4"	"62"	"27"	"12"	"6"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"16"	"17"	"0"	"207"	"207"	"1"	"0"
"14136"	"4"	"13"	"23"	"2"	"206"	"18"	"7"	"5"	"2"	"23"	"17"	"4"	"4"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"88"	"88"	"7"	"5"	"0"	"100"	"100"	"1"	"0"
"14137"	"4"	"13"	"23"	"2"	"213"	"19"	"6"	"4"	"8"	"26"	"18"	"5"	"2"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"8"	"2"	"0"	"110"	"110"	"1"	"0"
"14138"	"4"	"13"	"23"	"2"	"380"	"22"	"17"	"14"	"44"	"51"	"24"	"10"	"9"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"0"	"13"	"9"	"206"	"206"	"1"	"0"
"14139"	"4"	"13"	"23"	"2"	"344"	"17"	"34"	"10"	"29"	"25"	"30"	"8"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"8"	"5"	"0"	"174"	"174"	"1"	"0"
"14140"	"4"	"13"	"23"	"2"	"343"	"15"	"22"	"5"	"41"	"28"	"29"	"9"	"7"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"1"	"5"	"0"	"166"	"166"	"1"	"0"
"14141"	"4"	"13"	"23"	"2"	"370"	"17"	"3"	"5"	"7"	"13"	"14"	"4"	"5"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"3"	"5"	"0"	"87"	"87"	"1"	"0"
"14142"	"4"	"13"	"23"	"2"	"370"	"11"	"5"	"0"	"3"	"7"	"15"	"2"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"47"	"47"	"1"	"5"	"0"	"53"	"53"	"1"	"0"
