"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PC"	"VIVA"	"BIEN"	"SEMILLA"	"TODOS"	"FCN_NACION"	"VICTORIA"	"UCN"	"VAMOS"	"VALOR"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17120"	"4"	"16"	"11"	"2"	"394"	"33"	"29"	"45"	"55"	"0"	"0"	"9"	"15"	"9"	"13"	"2"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"20"	"12"	"0"	"279"	"279"	"1"	"0"
"17121"	"4"	"16"	"11"	"2"	"400"	"39"	"32"	"50"	"41"	"4"	"1"	"11"	"10"	"2"	"30"	"3"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"13"	"8"	"0"	"278"	"278"	"1"	"0"
"17122"	"4"	"16"	"11"	"2"	"294"	"22"	"30"	"27"	"41"	"5"	"1"	"2"	"13"	"3"	"10"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"9"	"3"	"0"	"191"	"191"	"1"	"0"
"17123"	"4"	"16"	"11"	"2"	"295"	"25"	"36"	"49"	"43"	"0"	"1"	"1"	"18"	"1"	"16"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"6"	"3"	"0"	"223"	"223"	"1"	"0"
"17124"	"4"	"16"	"11"	"2"	"376"	"17"	"32"	"2"	"66"	"1"	"3"	"0"	"67"	"14"	"15"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"11"	"0"	"269"	"269"	"1"	"0"
"17125"	"4"	"16"	"11"	"2"	"380"	"19"	"36"	"4"	"58"	"1"	"2"	"0"	"90"	"13"	"9"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"9"	"3"	"0"	"293"	"293"	"1"	"0"
"17126"	"4"	"16"	"11"	"2"	"365"	"32"	"24"	"6"	"37"	"0"	"1"	"3"	"79"	"33"	"4"	"0"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"7"	"0"	"301"	"301"	"1"	"0"
"17127"	"4"	"16"	"11"	"2"	"367"	"24"	"47"	"5"	"46"	"0"	"1"	"0"	"56"	"24"	"9"	"0"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"4"	"0"	"273"	"273"	"1"	"0"
"17128"	"4"	"16"	"11"	"2"	"376"	"11"	"28"	"10"	"51"	"4"	"1"	"3"	"76"	"15"	"5"	"1"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"3"	"5"	"0"	"253"	"253"	"1"	"0"
"17129"	"4"	"16"	"11"	"2"	"377"	"17"	"22"	"1"	"60"	"1"	"7"	"1"	"59"	"15"	"11"	"0"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"12"	"7"	"0"	"252"	"252"	"1"	"0"
"17130"	"4"	"16"	"11"	"2"	"243"	"10"	"23"	"2"	"49"	"0"	"3"	"0"	"44"	"12"	"2"	"0"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"3"	"5"	"0"	"194"	"194"	"1"	"0"
"17131"	"4"	"16"	"11"	"2"	"243"	"12"	"23"	"4"	"44"	"1"	"4"	"0"	"43"	"7"	"5"	"0"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"2"	"5"	"0"	"191"	"191"	"1"	"0"
"17132"	"4"	"16"	"11"	"2"	"376"	"49"	"32"	"27"	"26"	"31"	"0"	"5"	"45"	"4"	"6"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"24"	"13"	"0"	"287"	"287"	"1"	"0"
"17133"	"4"	"16"	"11"	"2"	"376"	"29"	"58"	"15"	"18"	"38"	"1"	"2"	"58"	"11"	"2"	"2"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"19"	"9"	"0"	"298"	"298"	"1"	"0"
"17134"	"4"	"16"	"11"	"2"	"375"	"41"	"53"	"38"	"30"	"29"	"0"	"1"	"40"	"8"	"5"	"3"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"20"	"11"	"0"	"317"	"317"	"1"	"0"
"17135"	"4"	"16"	"11"	"2"	"387"	"40"	"36"	"43"	"13"	"30"	"1"	"2"	"56"	"1"	"1"	"6"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"21"	"12"	"0"	"287"	"287"	"1"	"0"
"17136"	"4"	"16"	"11"	"2"	"376"	"44"	"37"	"29"	"25"	"21"	"1"	"5"	"27"	"6"	"6"	"4"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"14"	"0"	"269"	"269"	"1"	"0"
"17137"	"4"	"16"	"11"	"2"	"202"	"22"	"17"	"14"	"14"	"24"	"2"	"2"	"15"	"3"	"3"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"12"	"4"	"0"	"148"	"148"	"1"	"0"
"17138"	"4"	"16"	"11"	"2"	"201"	"13"	"31"	"11"	"13"	"18"	"1"	"2"	"24"	"1"	"3"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"2"	"2"	"0"	"140"	"140"	"1"	"0"
